Predictor,Correlation,Category,Abs_Corr
Sex Binary,0.018859421268801854,Demographics,0.018859421268801854
VR Exp,-0.05191620792201383,Self-Report,0.05191620792201383
DASS Dep,-0.06273701982248914,Self-Report,0.06273701982248914
Sleep,-0.07264439487424758,Self-Report,0.07264439487424758
NART,0.09145810189263456,Cognitive,0.09145810189263456
Education,0.091617393023041,Demographics,0.091617393023041
DASS Str,0.17572743254529857,Self-Report,0.17572743254529857
Age,-0.1932892300063889,Demographics,0.1932892300063889
DASS Anx,0.20821457357516268,Self-Report,0.20821457357516268
RAVLT,0.2663741251832889,Cognitive,0.2663741251832889
BVMT,0.3635380404382798,Cognitive,0.3635380404382798
RAVLT DR,0.36507577502950467,Cognitive,0.36507577502950467
RPM,0.45690941036910443,Cognitive,0.45690941036910443
