Model,R2,R2_CI_lower,R2_CI_upper,Cohens_f2
Demographics,0.0421054832280701,0.0081314508499737,0.1832879695644891,0.0439562837983081
+ Cognitive,0.2470940837841923,0.168336849551608,0.4602297174964593,0.2722632352079507
+ Self-Report,0.3036997417622101,0.2374800058029234,0.5425096840856172,0.0812948972922637
