Block,Variance_Explained,R_squared
Demographics,4.21054832280701,0.0421054832280701
Cognitive Tests,20.49886005561222,0.2049886005561222
Self-Report,5.660565797801781,0.05660565797801781
Unexplained,69.630025823779,0.69630025823779
