predictor,context,domain,beta,se,ci_lower,ci_upper
ravlt,univariate,What,0.0268395540704772,0.0593138803605321,-0.08941565143616571,0.14309475957712012
bvmt,univariate,What,0.1019755477294975,0.0759147105467673,-0.0468172849421664,0.2507683804011614
rpm,univariate,What,0.1969068610358607,0.065145654831233,0.06922137756664401,0.32459234450507735
age,univariate,What,0.0019384069838634,0.0671444205070925,-0.1296646572100379,0.13354147117776471
pctret,univariate,What,0.1311401765169741,0.0593495216686556,0.01481511404640913,0.24746523898753908
ravlt,univariate,Where,-0.0107250725079698,0.0626945078040498,-0.1336063078039074,0.1121561627879678
bvmt,univariate,Where,0.1132866571785256,0.080241511495907,-0.043986705353452116,0.2705600197105033
rpm,univariate,Where,0.222901317005151,0.0688586674888056,0.08793832872709204,0.35786430528321
age,univariate,Where,0.0388905360747397,0.0709713539207495,-0.10021331760992933,0.1779943897594087
pctret,univariate,Where,0.1416579393750625,0.0627321805082586,0.01870286557887564,0.26461301317124936
ravlt,univariate,When,-0.0327081999926476,0.029271302162207,-0.09007995223057333,0.024663552245278116
bvmt,univariate,When,0.0401749349714885,0.0374637844879481,-0.03325408262488976,0.11360395256786676
rpm,univariate,When,0.0541820318226966,0.0321492732481676,-0.008830543743711894,0.11719460738910509
age,univariate,When,-0.0186510415248617,0.0331356608136734,-0.08359693671966156,0.04629485366993816
pctret,univariate,When,-0.0102912241571917,0.0292888910890012,-0.06769745069163405,0.04711500237725065
ravlt,multivariate,What,0.0268395540704772,,,
ravlt,multivariate,Where,-0.0107250725079698,,,
ravlt,multivariate,When,-0.0327081999926476,,,
bvmt,multivariate,What,0.1019755477294975,,,
bvmt,multivariate,Where,0.1132866571785256,,,
bvmt,multivariate,When,0.0401749349714885,,,
rpm,multivariate,What,0.1969068610358607,,,
rpm,multivariate,Where,0.222901317005151,,,
rpm,multivariate,When,0.0541820318226966,,,
age,multivariate,What,0.0019384069838634,,,
age,multivariate,Where,0.0388905360747397,,,
age,multivariate,When,-0.0186510415248617,,,
pctret,multivariate,What,0.1311401765169741,,,
pctret,multivariate,Where,0.1416579393750625,,,
pctret,multivariate,When,-0.0102912241571917,,,
