UID,What_theta,Where_theta,When_theta
A010,0.7559712975,0.85377241625,0.3846467515
A011,0.197499705,0.04574041000000001,0.2954700775
A012,0.28557254750000005,0.4314021725,-0.068376345
A013,-0.0996692035,-0.18978555,-0.03945061824999999
A014,0.74598967,0.53824988,0.15698245
A015,1.47161414,1.5632131,0.6342199625
A016,-0.09337775749999999,0.25077893999999995,-0.12734012000000003
A017,0.3815285075,0.2724456705,0.7115668275
A018,-0.195357355,-0.09241068174999999,0.507410645
A019,-0.8542806195000001,-1.3043172,-0.014744444999999995
A020,-0.8206314575,-0.823898624,0.12230662250000002
A021,0.7504667199999999,0.7666108625,0.16662454499999999
A022,0.007409930000000002,0.14046774425,0.164752275
A023,0.09103290249999998,0.12020581125,-0.0527762225
A024,-0.03312249874999999,-0.010031755000000003,0.09422872649999998
A025,0.189649375,0.5341741855,0.473596915
A026,0.2961444006625,0.43731309999999995,0.05207255000000001
A027,-0.12884181,-0.0182978325,-0.323235915
A028,0.22139514999999999,0.059572887500000005,0.19661717750000002
A029,0.9213593250000001,1.1396903675,0.11961852
A030,0.24558417847500003,0.4875274825,-0.55679205
A031,0.37680075249999995,0.429686821,0.145862975
A032,0.758142725,0.707159895,0.52122254425
A033,0.37015001,0.2342642175,0.3011083025
A034,0.48516567,0.6394468405,0.671948605
A035,-0.10476066425,-0.19300862749999997,-0.1505749725
A036,0.017222680500000004,-0.12242224499999999,0.2164744375
A037,0.585846746,0.6870282275,0.3835626675
A038,0.4923451795,0.44869211000000003,0.7115313587500001
A039,1.0299392925,1.2840031975,0.718996055
A040,-0.899793683,-0.8783929349999999,0.015378762499999976
A041,0.08053174874999999,0.14862563,-0.0373437175
A042,-0.576955077,-0.86540437,-0.31882898
A043,0.39494527975,0.5016684,-0.0431736925
A044,-0.7715998625,-0.894388009,-0.05938452999999999
A045,-0.9667633274999999,-1.093600275,0.04784260325000003
A046,-1.11812449,-1.107553625,0.019851305
A047,-0.9367785799999999,-0.961634685,0.147823975
A048,0.312800065,0.327545984,0.32969457
A049,0.40594605250000004,0.5463939874999999,0.58044347875
A050,-0.8558748749999999,-0.684457845,-0.09908123500000003
A051,-0.1630602875,0.121827655,-0.29789281749999996
A052,0.2576208125,-0.13917544739999999,0.16731374999999998
A053,0.368248605,0.45041583999999996,0.36114814
A054,0.8947861675,1.07577951,0.0688088425
A055,0.14997135325,0.119832105,-0.04862603
A056,-0.08393786499999997,-0.10676695500000002,0.08828637249999997
A057,-0.3067310125,-0.4836371725,0.109455435
A058,-0.2719533075,-0.16795675650000003,0.2375050725
A059,1.0114442625,0.9828980350000001,0.46972225749999996
A060,0.34874225875,0.13291352,-0.05936906750000002
A061,0.8467748125,0.8810839875,0.3475837575
A062,0.078300275,0.17265010250000004,0.253064919375
A063,0.2605916275,0.36356943249999996,0.233620417
A064,0.503797009,0.1967466275,0.5805268175
A065,-1.94928755,-1.8336711499999998,-0.37978096
A066,-0.44128004499999995,-0.5372099874999999,-0.4521310925
A067,-0.7244210325,-0.853556675,0.053230098499999975
A068,0.394560105,0.38845414624999997,-0.005009880000000022
A069,-0.8791684799999999,-1.237180955,0.02333636499999997
A070,-0.06834133,-0.2116655225,0.17435118249999998
A071,0.0700237725,0.27933474,-0.21557193000000002
A072,-0.09781446499999999,0.14936966625,0.05900554499999998
A073,0.122970805,0.4645472975,0.22854698
A074,-0.5581603375,-0.05747502999999998,0.012053330000000025
A075,-0.3986804465,-0.15475839250000004,-0.12095585249999996
A076,-1.18215652,-1.09033346,0.09799933250000004
A077,0.498825286,0.40816474999999997,0.1292165575
A078,-0.32265749850000003,-0.49052411500000004,-0.19639593987499998
A079,-0.5118734475,-0.39397081,-0.16838535999999998
A080,0.10170053000000001,0.166260735,0.2317814225
A081,0.231875545,0.4576551375,-0.01614601974999999
A082,0.52830120875,0.4936310675,0.309660549075
A083,0.4622176,0.9057616125,-0.226643435
A084,-0.2665534975,0.103906470575,0.12129878749999998
A085,0.22755188250000002,0.340849349,-0.3276233555
A086,-0.4872433975,-0.33231747,0.057011860000000025
A087,0.5968231325,0.61264055,0.21456976249999998
A088,1.3717229775000002,1.5913601675,0.10655250250000003
A089,0.6689538675000001,0.8781519249999999,0.2660631125
A090,-0.836708325,-0.5851270865,-0.2798590075
A091,-0.2245167425,-0.3205841075,0.6047325649999999
A092,-0.7566670525,-0.617919395,-0.3518523775
A093,0.5506377825,0.4544147425,0.27323658
A094,-0.7701877375,-0.8695100874999999,0.554979985
A095,0.0709018625,-0.05472654499999999,-0.1433507925
A096,-1.488379525,-1.1725043075000001,-0.4808209625
A097,0.136843735,0.14529136,-0.014180437499999976
A098,0.47438697500000004,0.45504327499999997,0.286242425
A099,0.29579097125,0.8399553175,-0.380396625
A100,0.356873705,0.252788495,0.15616126749999998
A101,-1.2126279850000001,-1.021745085,0.17769049000000003
A102,0.028971365749999985,0.014734241000000037,0.05545899500000001
A103,-0.45776419999999995,-0.5087183500000001,-0.0784688575
A104,0.08541996999999996,0.10852401750000001,0.4548566175
A105,0.25559625825,0.343425895,-0.08529756600000002
A106,0.8144010749999999,0.73301778,0.44736552
A107,-1.101252275,-1.207592975,0.3095768075
A108,-0.9493911899999999,-0.64666703,-0.02459387875
A109,-0.6921477,-0.6668261225000001,-0.09993845500000001
