model_type,n,k,r2,power,minimum_detectable_effect
Univariate_What,100,5,0.272509999449006,0.9598523067189911,0.2205410030537184
Univariate_Where,100,5,0.2654311593869448,0.9471505599302537,0.2205410030537184
Univariate_When,100,5,0.0966087891833303,0.1850569709143225,0.2205410030537184
Multivariate,100,5,0.04335096554000584,0.07336920602800379,0.2205410030537184
