predictor,context,domain,p_uncorrected,p_bonferroni,p_fdr,significant
ravlt,univariate,What,0.6519511338901025,1.0,0.8149389173626281,False
ravlt,univariate,Where,0.8645373931497479,1.0,0.9262900640890156,False
ravlt,univariate,When,0.2666646774150562,1.0,0.4771675591668836,False
ravlt,multivariate,What,,,,False
ravlt,multivariate,Where,,,,False
ravlt,multivariate,When,,,,False
bvmt,univariate,What,0.1824118792113801,1.0,0.39088259831010025,False
bvmt,univariate,Where,0.161304415696576,1.0,0.39088259831010025,False
bvmt,univariate,When,0.2863005355001301,1.0,0.4771675591668836,False
bvmt,multivariate,What,,,,False
bvmt,multivariate,Where,,,,False
bvmt,multivariate,When,,,,False
rpm,univariate,What,0.0032298489110021,0.032298489110021,0.02422386683251575,True
rpm,univariate,Where,0.0016685903232089,0.016685903232089,0.02422386683251575,True
rpm,univariate,When,0.0952426784775106,0.952426784775106,0.28572803543253184,False
rpm,multivariate,What,,,,False
rpm,multivariate,Where,,,,False
rpm,multivariate,When,,,,False
age,univariate,What,0.977030099357564,1.0,0.977030099357564,False
age,univariate,Where,0.5850079308321869,1.0,0.7977380874984368,False
age,univariate,When,0.5748640428594416,1.0,0.7977380874984368,False
age,multivariate,What,,,,False
age,multivariate,Where,,,,False
age,multivariate,When,,,,False
pctret,univariate,What,0.029559568794631,0.29559568794631,0.11084838297986625,False
pctret,univariate,Where,0.0262502070961883,0.262502070961883,0.11084838297986625,False
pctret,univariate,When,0.7260974900652708,1.0,0.8378047962291586,False
pctret,multivariate,What,,,,False
pctret,multivariate,Where,,,,False
pctret,multivariate,When,,,,False
