fold,r2_what,r2_where,r2_when,overall_performance
1,-0.3009941052814318,-0.3203567991095888,0.14693927003102591,-0.15813721145333157
2,0.3332601691706608,0.3009168182148999,0.11241703903327949,0.24886467547294674
3,-0.13560520053550396,-0.019765616938711927,0.07074795961076963,-0.028207619287815417
4,0.34903948439255317,0.20005952814119765,-0.08953337186348365,0.15318854689008907
5,0.10793660462662935,0.00046718932247513667,-0.1052644857146825,0.001046436078140663
