domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
What,Young,1.0,0.8877772056363636,0.12998781664318734,0.6330010850157164,1.142553326257011,0.8640040596114873
What,Young,16.9,,,,,
What,Young,17.16,,,,,
What,Young,20.61,1.0619187,,,,0.42750964866491536
What,Young,21.63,0.026050432,,,,0.06718800020333765
What,Young,21.9,0.5321417,,,,0.8857519506964469
What,Young,21.98,,,,,
What,Young,22.09,,,,,
What,Young,22.2,,,,,
What,Young,22.6,,,,,
What,Young,22.64,,,,,
What,Young,22.77,,,,,
What,Young,22.82,0.3311532,,,,0.24509615403612603
What,Young,22.83,,,,,
What,Young,22.96,,,,,
What,Young,22.98,,,,,
What,Young,23.24,,,,,
What,Young,23.33,1.7059261,,,,0.44252343117512405
What,Young,23.35,,,,,
What,Young,23.46,-0.48320502,,,,-0.7780888679208733
What,Young,23.47,,,,,
What,Young,23.54,,,,,
What,Young,23.69,1.9235327,,,,1.506580071470388
What,Young,23.7,1.157818,,,,0.6753300605764527
What,Young,23.91,,,,,
What,Young,24.15,0.13877183,,,,0.17233365940885226
What,Young,24.25,,,,,
What,Young,24.32,,,,,
What,Young,24.37,,,,,
What,Young,24.49,,,,,
What,Young,24.51,,,,,
What,Young,24.57,0.58703774,,,,0.24208435793026895
What,Young,24.65,,,,,
What,Young,24.66,,,,,
What,Young,24.73,,,,,
What,Young,24.77,-0.30207354,,,,0.0011323971502129604
What,Young,24.78,,,,,
What,Young,24.87,,,,,
What,Young,24.96,,,,,
What,Young,25.15,,,,,
What,Young,25.6,-0.16549101,,,,0.5524830527621526
What,Young,25.62,,,,,
What,Young,25.63,-0.49034083,,,,0.19834401117978057
What,Young,25.66,2.0772517,,,,0.7020405559539697
What,Young,25.77,,,,,
What,Young,26.08,0.35502133,,,,0.5876860343315735
What,Young,26.11,,,,,
What,Young,26.17,,,,,
What,Young,26.22,,,,,
What,Young,26.26,,,,,
What,Young,26.48,0.00019577265,,,,0.42478070263790657
What,Young,26.85,-0.5171829,,,,-0.6467676477807338
What,Young,27.12,-0.3073396,,,,0.5475530092982909
What,Young,27.25,,,,,
What,Young,27.26,,,,,
What,Young,27.3,,,,,
What,Young,27.61,,,,,
What,Young,27.97,,,,,
What,Young,28.26,0.33739686,,,,0.013948219205256268
What,Young,28.43,-0.0183022,,,,1.0451946757316564
What,Young,28.65,0.92305565,,,,1.2164440801599643
What,Young,28.68,,,,,
What,Young,28.69,-1.1935377,,,,-0.857114545937087
What,Young,28.75,,,,,
What,Young,28.93,,,,,
What,Young,29.03,,,,,
What,Young,29.12,,,,,
What,Young,29.13,,,,,
What,Young,29.16,0.24968037,,,,0.3506000616120048
What,Young,29.33,,,,,
What,Young,29.57,-0.0904471,,,,0.06638463284347626
What,Young,29.71,,,,,
What,Young,29.91,,,,,
What,Young,30.21,0.8355286,,,,0.753759525834438
What,Young,30.4,,,,,
What,Young,30.49,,,,,
What,Young,30.92,,,,,
What,Young,31.07,,,,,
What,Young,31.14,,,,,
What,Young,31.39,,,,,
What,Young,31.76,,,,,
What,Young,31.78,-1.0088389,,,,0.13630179242330503
What,Young,32.14,,,,,
What,Young,32.31,,,,,
What,Young,32.41,-0.3397794,,,,0.40312748926264413
What,Young,32.71,,,,,
What,Young,32.85,-0.39004326,,,,0.16051162376611783
What,Young,32.95,0.8832621,,,,0.37583731813841137
What,Young,33.61,,,,,
What,Young,33.76,,,,,
What,Young,34.03,-0.36246425,,,,-0.05284575197018304
What,Young,35.16,,,,,
What,Young,37.65,,,,,
What,Young,44.69,,,,,
What,Young,44.76,0.87888414,,,,-0.1539404727458042
What,Young,47.66,,,,,
What,Young,53.88,,,,,
What,Young,57.18,-0.077504,,,,0.5924515268111819
What,Young,61.28,0.66992927,,,,0.14228283405248854
What,Young,64.94,,,,,
What,Young,65.63,,,,,
What,Young,66.08,,,,,
What,Young,66.28,,,,,
What,Young,66.66,,,,,
What,Young,66.9,,,,,
What,Young,68.96,,,,,
What,Young,69.46,,,,,
What,Young,69.99,,,,,
What,Young,70.22,,,,,
What,Young,70.56,0.39994225,,,,0.4158429075699727
What,Young,70.59,1.7069992,,,,1.2032854943718316
What,Young,70.83,,,,,
What,Young,71.17,,,,,
What,Young,71.19,,,,,
What,Young,71.28,,,,,
What,Young,71.31,,,,,
What,Young,71.37,,,,,
What,Young,71.4,,,,,
What,Young,71.45,,,,,
What,Young,71.46,,,,,
What,Young,71.47,-0.35021576,,,,-0.25131941939106295
What,Young,71.56,0.16093041,,,,0.18031294476302354
What,Young,71.85,0.007853324,,,,0.3013038406465184
What,Young,71.93,-0.18143387,,,,0.1541462213589302
What,Young,72.08,0.059776444,,,,0.3756079446953444
What,Young,72.17,,,,,
What,Young,72.2,0.32838494,,,,-0.09091652384487527
What,Young,72.23,,,,,
What,Young,72.26,-0.43044564,,,,-0.07074035686989213
What,Young,72.3,,,,,
What,Young,72.55,-0.32275462,,,,-0.06535911967667539
What,Young,72.6,0.9273771,,,,0.09761488778631526
What,Young,72.62,,,,,
What,Young,72.8,,,,,
What,Young,72.83,,,,,
What,Young,72.86,0.70266676,,,,0.2966924129825219
What,Young,72.87,,,,,
What,Young,72.94,-0.524388,,,,0.1283663188715217
What,Young,73.02,,,,,
What,Young,73.05,,,,,
What,Young,73.19,,,,,
What,Young,73.64,,,,,
What,Young,73.79,,,,,
What,Young,73.83,,,,,
What,Young,74.0,,,,,
What,Young,74.19,0.29306138,,,,0.49654264815870564
What,Young,74.28,0.20019667,,,,0.3024734317621936
What,Young,74.3,,,,,
What,Young,74.46,-0.30076003,,,,-0.13838248050760626
What,Young,74.48,,,,,
What,Young,74.58,-0.7617411,,,,-0.2610169298372855
What,Young,74.88,,,,,
What,Young,74.91,,,,,
What,Young,75.21,,,,,
What,Young,75.27,,,,,
What,Young,75.34,,,,,
What,Young,75.46,0.3868858,,,,0.13196961415952307
What,Young,75.71,,,,,
What,Young,75.74,0.059980888,,,,-0.10601281184107969
What,Young,76.21,,,,,
What,Young,76.85,-1.4562982,,,,-1.094008316166644
What,Young,78.25,-0.46821594,,,,-0.9537390712828097
What,Young,78.28,,,,,
What,Young,78.36,,,,,
What,Young,78.57,,,,,
What,Young,78.76,,,,,
What,Young,78.84,,,,,
What,Young,79.34,,,,,
What,Young,79.66,0.38999763,,,,-0.33751286788377727
What,Young,79.75,,,,,
What,Young,79.78,,,,,
What,Young,79.96,,,,,
What,Young,79.98,-0.35612592,,,,-0.32875930785417645
What,Young,80.13,,,,,
What,Young,80.16,0.7994235,,,,0.48482318127427143
What,Young,80.24,,,,,
What,Young,80.64,0.09681583,,,,-0.1166715688978285
What,Young,80.88,-0.24620515,,,,0.5136982909188864
What,Young,80.98,,,,,
What,Young,81.15,,,,,
What,Young,81.92,,,,,
What,Young,82.55,,,,,
What,Young,82.98,,,,,
What,Young,82.99,,,,,
What,Young,83.54,,,,,
What,Young,83.64,-0.91410375,,,,-0.3318919785922007
What,Young,83.68,-0.94285613,,,,-1.1837424755482033
What,Young,91.47,0.3260986,,,,-0.2703842899689336
What,Young,91.63,,,,,
What,Young,91.97,,,,,
What,Young,92.72,,,,,
What,Young,93.26,1.1595125,,,,0.682958734440703
What,Young,93.39,,,,,
What,Young,94.68,,,,,
What,Young,95.42,,,,,
What,Young,98.84,0.31220362,,,,0.8467000532381249
What,Young,106.41,,,,,
What,Young,111.38,0.13866153,,,,0.12862589747848346
What,Young,136.83,,,,,
What,Young,137.74,-1.4041344,,,,-0.1380944274471001
What,Young,138.91,-0.40401626,,,,-0.34475055861273773
What,Young,140.08,,,,,
What,Young,140.12,,,,,
What,Young,140.22,,,,,
What,Young,140.39,0.7857295,,,,0.23210438780420695
What,Young,140.49,0.20140322,,,,-0.19916054700218958
What,Young,140.95,,,,,
What,Young,141.09,,,,,
What,Young,141.71,0.26840943,,,,-0.40625092208160174
What,Young,141.84,0.045220107,,,,-0.34814066414885786
What,Young,142.61,,,,,
What,Young,143.14,1.0474995,,,,0.4860569417602285
What,Young,143.48,,,,,
What,Young,143.51,,,,,
What,Young,143.53,,,,,
What,Young,143.66,-0.13570116,,,,0.09904930282383306
What,Young,143.85,-0.49845019999999995,0.08642619999999998,-0.667845552,-0.32905484799999996,-0.31531942866924145
What,Young,143.91,,,,,
What,Young,144.07,,,,,
What,Young,144.19,,,,,
What,Young,144.2,,,,,
What,Young,144.22,-1.3712326,,,,-1.3360086668732165
What,Young,144.51,1.3869435,,,,0.2473246928716369
What,Young,144.85,,,,,
What,Young,144.91,,,,,
What,Young,145.06,,,,,
What,Young,145.07,-0.06907465,,,,-0.38761665838528664
What,Young,145.29,,,,,
What,Young,145.31,0.76564074,,,,0.24526762508556943
What,Young,145.38,-0.25343332,,,,0.03640723009803076
What,Young,145.65,-0.4476697,,,,-0.47450181986716167
What,Young,145.77,,,,,
What,Young,145.78,-2.2787354,,,,-1.2245098966655763
What,Young,145.92,-0.9249458,,,,-0.5431779000412498
What,Young,145.95,,,,,
What,Young,146.02,,,,,
What,Young,146.16,,,,,
What,Young,146.2,,,,,
What,Young,146.29,,,,,
What,Young,146.3,,,,,
What,Young,146.54,0.48828286,,,,0.8835625085146968
What,Young,146.56,,,,,
What,Young,146.8,,,,,
What,Young,146.96,,,,,
What,Young,146.99,,,,,
What,Young,147.13,-0.5718052,,,,-0.618606536404551
What,Young,147.21,,,,,
What,Young,147.65,-0.0556293,,,,-0.1489924928024887
What,Young,147.84,,,,,
What,Young,147.94,,,,,
What,Young,148.69,,,,,
What,Young,148.79,,,,,
What,Young,148.85,-0.6501544,,,,-0.3907178296902676
What,Young,148.87,-0.48348227,,,,0.08385148045499119
What,Young,148.9,,,,,
What,Young,149.18,,,,,
What,Young,149.2,,,,,
What,Young,149.21,,,,,
What,Young,149.28,,,,,
What,Young,149.33,,,,,
What,Young,149.72,,,,,
What,Young,149.75,,,,,
What,Young,149.87,,,,,
What,Young,149.93,,,,,
What,Young,149.99,,,,,
What,Young,150.22,,,,,
What,Young,150.41,,,,,
What,Young,150.46,-0.0007534161,,,,-0.1459509100813046
What,Young,150.8,-1.1568888,,,,-0.41008017104853417
What,Young,150.87,0.16954863,,,,-0.6053998803095649
What,Young,151.52,,,,,
What,Young,151.93,,,,,
What,Young,152.12,,,,,
What,Young,152.47,-0.88171935,,,,-0.5897041880781531
