comparison,ICC_slope_diff_simple,ICC_slope_diff_conditional,direction
IFR - ICR,-0.008797249784435746,0.18883981538523276,ICR higher
IFR - IRE,-0.000829869469828895,0.19013843869054614,Equivalent
ICR - IRE,0.00796738031460685,0.0012986233053133844,ICR higher
