UID,cluster
A010,3
A011,3
A012,0
A013,0
A014,3
A015,3
A016,3
A017,3
A018,1
A019,0
A020,1
A021,0
A022,2
A023,0
A024,0
A025,1
A026,0
A027,3
A028,3
A029,3
A030,0
A031,1
A032,0
A033,0
A034,3
A035,0
A036,2
A037,1
A038,0
A039,3
A040,1
A041,0
A042,2
A043,3
A044,2
A045,2
A046,0
A047,0
A048,0
A049,3
A050,1
A051,3
A052,0
A053,0
A054,3
A055,1
A056,0
A057,1
A058,1
A059,2
A060,0
A061,3
A062,1
A063,2
A064,0
A065,2
A066,2
A067,1
A068,3
A069,1
A070,1
A071,3
A072,3
A073,0
A074,1
A075,2
A076,2
A077,0
A078,2
A079,0
A080,3
A081,0
A082,0
A083,0
A084,2
A085,3
A086,3
A087,3
A088,0
A089,3
A090,2
A091,0
A092,0
A093,3
A094,2
A095,3
A096,0
A097,2
A098,0
A099,0
A100,3
A101,2
A102,0
A103,2
A104,1
A105,3
A106,0
A107,2
A108,2
A109,0
