UID,PC1,PC2,cluster
A010,0.29321558462359965,-0.18314660120859233,3
A011,1.1506054638412069,-0.6036670008953101,3
A012,0.9701688558363714,0.8329995142874649,0
A013,-0.4566752182263579,0.4538682256793407,0
A014,1.4534907771977112,-0.13955063358179853,3
A015,1.371946923483157,-1.223249045250984,3
A016,0.8575922139376047,-0.5344974412136472,3
A017,2.9533492396165664,0.4311972577522482,3
A018,-0.9125922100324995,-2.4586832933878022,1
A019,-0.3288882703968161,1.3559427591450628,0
A020,-0.24996682324094813,-0.8154394677598655,1
A021,1.1644518667637955,0.5577381640143119,0
A022,-2.1867298536582283,1.1641021444688027,2
A023,1.1028680149182388,1.0012373076674312,0
A024,0.068156253563581,0.6490376433630862,0
A025,0.05068837632253163,-2.5882889952060477,1
A026,0.9540662252138601,1.9819640805051404,0
A027,0.4620709351427897,-1.1351272488217703,3
A028,0.419481272579221,-1.0685172432812553,3
A029,2.027015610096725,-0.9303807248169392,3
A030,0.7535001918458111,1.4514084511957368,0
A031,0.6313445796428895,-2.454574306824012,1
A032,-0.16893647441063528,1.050196179886824,0
A033,-0.017646636130731037,0.49655217620957826,0
A034,2.430662644769465,-0.6416799070416634,3
A035,0.5963752949518478,0.09724463755308373,0
A036,-1.9733031620759531,0.29495289527130725,2
A037,-0.2684050275047021,-2.063790966157993,1
A038,1.2967302312578302,1.0049753991294355,0
A039,2.3686185738843912,0.5050095822339026,3
A040,-1.9253447428779604,-1.4965091276450837,1
A041,0.3177933518590059,0.6320296373526866,0
A042,-1.6470492128700607,1.9480251819626595,2
A043,2.498440995271883,-0.6271782048761199,3
A044,-1.897928658463876,0.6543747143965073,2
A045,-0.47023565877325463,0.6727347004912457,2
A046,-0.22246914512752552,0.2679093887289275,0
A047,-0.20381183644802248,-0.19910159316244164,0
A048,0.28512671559923203,0.15027194888129375,0
A049,0.35725504294819344,-0.5994546512442047,3
A050,-2.14414222379932,-3.295335144991228,1
A051,1.088726933117818,-0.759639654940875,3
A052,0.1894641173545391,0.17522061221507432,0
A053,-0.43915086366464573,0.3859917941132841,0
A054,2.331271965622637,0.35276136674955194,3
A055,-0.929776780835994,-0.5831381185311728,1
A056,-0.6472961800031579,0.04066783908608705,0
A057,-1.7768088807202764,-2.362552193608792,1
A058,-1.3897855523112403,-0.6830701532005191,1
A059,-0.7886965810135115,0.9896304422508242,2
A060,1.5749867028450721,2.2383329419553655,0
A061,2.29317181332977,0.24536544690382003,3
A062,-0.3409809082556662,-1.9702663763729944,1
A063,-1.0297402667394755,-0.07533933464401174,2
A064,-0.064183290425208,0.4096864358056516,0
A065,-1.516742780717948,0.5519276174427513,2
A066,-1.0202319802636834,0.04994719861470653,2
A067,-3.089385131552766,-1.2946378907683445,1
A068,2.2734612663865144,-1.2992902768959762,3
A069,-2.220752907203057,-0.9357081062769097,1
A070,-2.0002879655241417,-2.0120663142200366,1
A071,0.31008807527187,-0.9697936740125482,3
A072,1.6185062239793406,-0.7547256575264286,3
A073,0.15734543593196954,1.1933400857094776,0
A074,-0.9686190999584032,-0.6225285770231788,1
A075,-1.5220633006814326,1.770589254045388,2
A076,-1.866085466796757,0.05199924286681449,2
A077,-0.4493699121530907,0.45107717742339853,0
A078,-2.0808045822987027,0.9438051388057856,2
A079,-0.14384152152110818,0.3160060286872956,0
A080,0.7025738124927616,-1.0148534745632463,3
A081,0.963173336117404,0.9696026864816963,0
A082,-0.7141716840839517,-0.10020761015669269,0
A083,0.7647069195421803,0.5469584831384751,0
A084,-0.9431133365481921,1.0874562371558716,2
A085,0.8225457782559822,-1.8425544162129925,3
A086,1.0593512241624676,-0.15094821784205112,3
A087,1.3399177904445787,-0.47455345461810583,3
A088,1.4872727652030022,1.4668007984490212,0
A089,1.1124886636035067,-0.1331049500286792,3
A090,-1.5075014153748916,0.7753151669811257,2
A091,0.5591034516644139,0.9977459902581346,0
A092,-0.15526178514645703,-0.03915508807711053,0
A093,0.8448129848329201,-0.38903053175466157,3
A094,-1.828735662880188,0.08466524132724905,2
A095,0.17192826564999755,-0.7524108882546765,3
A096,1.220956986034539,0.7160959237301876,0
A097,-1.6407947673000023,1.3372697464032308,2
A098,0.6545787946024603,0.675116413660534,0
A099,2.190578092044821,2.5079029263790598,0
A100,1.6506903509390156,-0.539368331377413,3
A101,-1.906908058337217,0.17432432358853128,2
A102,-0.26096394078596213,0.8167322135117493,0
A103,-3.4731666857954258,1.443241353189964,2
A104,-0.2745913009228684,-5.121301419664034,1
A105,1.5951114996448994,-0.9499925937994765,3
A106,0.12134068797309977,0.6741653241173872,0
A107,-2.191848688312026,2.119715020492194,2
A108,-2.1161019570177237,2.6243584906896147,2
A109,0.43871921696697286,2.0508219493323048,0
