UID,Source_intercept,Source_slope,Destination_intercept,Destination_slope
A010,0.0565525727562692,0.1632747059583646,0.0695787421701445,-0.1089089201472477
A011,0.3767438600759091,0.0014541989553309,0.7178564269699138,-0.0899879580020166
A012,0.363743413951634,0.29337456468278,0.293969319893002,0.0801613806785623
A013,-0.3723583563404701,0.0238814180618345,-0.0599180370626689,0.0567079276157698
A014,0.5255990485172553,0.1367116975762746,0.731879987479024,-0.0391047347472839
A015,0.9137194573708168,0.0480197178285464,0.2927217020892845,-0.2094514758335627
A016,0.4482827141297097,-0.1572785830656688,0.5014210266505176,4.646007082421517e-05
A017,1.079995932306394,0.6060779984692368,1.1693184070430385,-0.0789088545120311
A018,-0.0265813028751887,-0.388652553926661,-0.5405225574378149,-0.3661031437992029
A019,-0.3785455120594006,0.1645620217051556,-0.0478743704021946,0.1876601715767553
A020,0.0668962750078709,-0.2640714953186714,-0.0805279584277438,-0.0518352693527826
A021,0.5135188629906193,0.474861804939752,0.1438063032232434,-0.0531007340305398
A022,-0.5613849818810194,0.0788851294328105,-1.6126259121118764,0.1457080674406617
A023,0.3180524759629618,0.2606126973493063,0.5100143929977844,0.1314515774295056
A024,0.2159978077292674,-0.080935328482032,-0.0828152198988703,0.1939138049860123
A025,0.5860590192626636,-0.5608249373153547,-0.0947806105444036,-0.2590865810273626
A026,0.0481608889810625,0.3914256281126619,0.5482581544189208,0.263254401918786
A027,0.2297396119509958,-0.3297527886839359,0.5058032276375817,-0.0686989061404682
A028,0.1803564814821323,-0.2489730551999702,0.4413127916635277,-0.0962505911542085
A029,0.9765759925200996,-0.0447328856781794,0.9675721844299048,-0.0876166197130868
A030,0.2550575286064407,0.4922451591350398,0.016653464818424,0.1100727466807589
A031,0.5416438770394659,-0.4487662720272423,0.4253136606438639,-0.2767023967766253
A032,0.1070201015321071,0.1048812902784628,-0.3707776740557576,0.1824777296332773
A033,0.1394971827929323,0.2618702659063064,-0.4151133144703749,-0.0076821175766486
