UID,Source_intercept_z,Source_slope_z,Destination_intercept_z,Destination_slope_z
A010,0.09513095871332243,0.5289143575211503,0.10140264126830417,-0.6933617773484468
A011,0.6337466688357827,0.004710752358438849,1.0461893313359052,-0.5729026641332687
A012,0.6118777273672255,0.950361652660446,0.4284248975944883,0.5103423788138433
A013,-0.6263695124225587,0.0773617984287792,-0.08732332646815025,0.36102744778165713
A014,0.8841461837598432,0.44286577804415084,1.066626982711268,-0.24895782962917912
A015,1.5370301250364617,0.1555557430316805,0.42660664482583444,-1.3334596225530964
A016,0.7540870784705686,-0.5094904334736817,0.7307607884818086,0.000295785113274459
A017,1.8167351800171756,1.9633375132202382,1.704140823182173,-0.502368249901104
A018,-0.044714231433184884,-1.2590064986029947,-0.7877465628117047,-2.3307725954335816
A019,-0.6367773511213777,0.5330845060885252,-0.06977113205019568,1.1947266571558384
A020,0.11253080922199679,-0.8554368814587914,-0.11735980596701943,-0.33000597599524656
A021,0.8638252757166937,1.5382739475585974,0.20958037646338276,-0.3380624771244021
A022,-0.9443441550178082,0.2555415874554834,-2.350208149293323,0.927641229736475
A023,0.535017868946523,0.8442324031225774,0.7432845855183828,0.8368781844365959
A024,0.3633447167438217,-0.2621830308226267,-0.12069321423525592,1.234540020190433
A025,0.9858500444414509,-1.8167441163705487,-0.13813133078380085,-1.6494583920709662
A026,0.08101473227398781,1.2679896337606302,0.799020264249898,1.6759925611458233
A027,0.3864607474803522,-1.068205778377251,0.7371473189190826,-0.4373672569615772
A028,0.30338999902802377,-0.8065267841593922,0.6431602714337723,-0.6127733234641501
A029,1.6427654109609384,-0.1449083331656689,1.4101199886455407,-0.557805688343923
A030,0.42904975036155985,1.5945858273552624,0.024270420335100178,0.7007712056368687
A031,0.9111362895201429,-1.4537397146314732,0.6198434638458407,-1.7616083729984946
A032,0.18002584788183323,0.33975391312459763,-0.5403638280874971,1.1617329670882406
A033,0.23465777223067308,0.8483061882288517,-0.6049776871505178,-0.04890771747202455
A034,1.8912670033718177,0.009970691020455094,1.6967816544413667,-0.20311132287413847
A035,0.24244475588592723,0.3140321305812295,0.4985942674291191,-0.04018465051040732
A036,-1.5235782464453769,0.15487739791149802,-1.4640275923480255,-0.29645888942744675
A037,0.3639321298677087,-1.72220931672683,-0.03642503122396373,-1.1918314521958264
A038,0.5976020490190038,1.2270299801766498,0.7990202025046852,0.5201892852387316
A039,1.1394941423629543,1.0254431716045658,1.9101788415599734,0.2529460860893646
A040,-0.9319001584187424,-1.3148788638655042,-1.3628373436929702,-1.2607525044022643
A041,0.6264306682101112,0.8118679124618915,-0.47438983892699366,0.2990667084359664
A042,-1.5995663915203997,0.3255489847239461,-0.9573559541447505,1.8454234314859719
A043,1.4452548345074456,0.13378427471702647,2.167143980701911,-0.3972597516508045
A044,-1.8127055912836634,0.08111716135326032,-1.039559343237092,0.20819437309545952
A045,-1.0992344899262405,0.8118568135992336,0.031598705834965025,-0.13338665354609405
A046,-0.5683676615815851,0.322881289267125,0.08638097539835363,-0.08724790929410717
A047,-0.23781914152054154,-0.23215214477494805,0.02773801042561719,-0.13622406514760993
A048,0.30334866354691215,-0.06797972031376244,0.15602738228669183,0.37174022656096856
A049,0.7242042844511376,-0.41213209539404033,-0.008490159526620475,-0.2376125949985737
A050,-0.5710387312473586,-3.2697952713847513,-1.2183274661326915,-1.8653644104495812
A051,0.6268616320539384,-0.25021688613052023,1.069901199820971,-0.5592128150201606
A052,0.1714217756948298,0.006814948171478784,0.11160973955156027,0.2957032503456473
A053,-0.4124409370965992,-0.25320020694101225,-0.12471352489826718,0.627303503425181
A054,1.8622107266265397,1.1363808721598476,1.1156218213210747,0.10686658064707294
A055,-0.4076768879598317,-1.4900007153720454,-0.32630831248054115,0.38986517449007685
A056,-0.5280905748717085,-0.327004596121314,-0.29129667680566024,0.17007017115138823
A057,-0.6837248671681964,-2.4467027302599855,-0.9144205160458371,-1.331211326977087
A058,-0.9952637051684821,-0.764316756913056,-0.747327631796262,-0.6093675842855754
A059,-0.34971731611598134,1.013314619186665,-1.2244616765746976,0.26307376706207314
A060,0.34399003850374427,1.4777690710355216,1.362010018469987,1.9602056124329643
A061,0.6772164114070612,1.0103151210057253,2.2428095202711904,-0.20927793322880905
A062,0.3329645851072109,-1.0432547927757223,-0.40312316064457104,-1.7089957373439868
A063,-0.8880494220773721,-0.14563434796713537,-0.5824381840544812,-0.28304122047434493
A064,0.17902341499654892,-0.8954478100434863,0.1318269629058149,1.4358235378601112
A065,-1.4526094068944535,0.013984618150532414,-0.804403632654993,0.2528227388562812
A066,-0.7048033169737232,0.42546058019365196,-0.987359537510063,-0.5968254598738787
A067,-1.6007251565750527,-2.1914488486135677,-2.027187335255594,-0.4417785129138991
A068,1.7061388465741745,0.0100566941734718,1.6315832799208745,-1.172289083750816
A069,-1.8293923992061356,-1.0084194288202668,-1.05473788607923,-1.0131312627502664
A070,-0.6760013786479167,-1.8932244069223663,-1.4767607184325269,-1.38230106183163
A071,0.6550162922052218,-0.15170296976347106,-0.13121309034492587,-1.013238021922879
A072,1.2738786809244491,-0.7698106211890108,1.4442017062362464,0.137967377685642
A073,-0.04421763926247981,1.0087999317063783,-0.13996675071781947,0.7167259975050398
A074,-0.2706121682457146,-1.0239732271163244,-0.7153536763861155,-0.06968500814406452
A075,-1.2263848085707623,0.540021201885943,-1.2287846544176781,1.5015953880656299
A076,-1.4507047006032878,-0.3212608216230052,-1.1779459760494388,-0.16123573394324625
A077,-0.09352255710123505,0.0795781833037198,-0.5859813451386813,0.4822484534082155
A078,-1.2749858094106077,-0.4810394163353344,-1.5681833666414309,1.2407057061907498
A079,-0.38042583746866304,0.33170703561333587,0.018176412127316823,0.023552000024696595
A080,0.45347351279764997,-0.43230308887593527,0.7493927286008818,-0.8227010900214733
A081,0.618036864378304,0.4800839220818207,0.6184381997846421,1.1376340910674367
A082,0.2310306999566546,-0.43708123463144455,-1.0676406630271094,0.2510546823875734
A083,0.4557614344917122,0.2557527807469828,0.57367228819044,0.703475825918714
A084,-1.0552368855723646,0.6428571353404426,-0.61301987586951,0.560171430853303
A085,0.8320885611303139,-0.13092837936450866,0.41399611376601864,-2.145805551034562
A086,1.0506816398312326,-0.41524629005661146,0.7075148081205337,0.5336482778921653
A087,0.5531849669976074,1.0771798724104018,0.9367555856731766,-1.3924459712717243
A088,0.7502442815769952,0.9958484974340787,1.03904434763511,1.4293434586335108
A089,1.0230225718056871,0.3741331486874944,0.4703371664874888,-0.17748281123733134
A090,-1.4365460755347519,0.2095550786692335,-0.8859867635240237,0.38446785503681735
A091,0.07873764472515771,0.5263763116798574,0.5284731643568827,0.9648347283689234
A092,0.37009959339148624,-0.30378033082068273,-0.44742241217376755,0.3007142297093133
A093,0.33015897524022964,0.025812027121970182,0.8885730927082697,-0.3985592523776454
A094,-1.5117911246783247,-0.5611436825072987,-0.9613251736866352,0.09643997608920503
A095,0.28712732149066944,-0.30512796945452236,0.09059540771390272,-0.6710530831383165
A096,0.3461854454886981,0.8005217561998651,1.107075173953796,0.4503579935632114
A097,-1.5770578831203246,0.31491402486332803,-0.9783279930905074,1.0167349060780437
A098,1.1392206424810587,0.3107529737697837,-0.25861181677688916,0.9805547378868856
A099,0.8420405700309445,2.201368737033657,1.4714845101903722,1.8397430001945512
A100,0.9443683994939436,-0.24216259264246173,1.581861950157065,-0.13019220392633396
A101,-1.467980934552358,-0.19640591046887748,-1.2718456381537226,-0.1164840712785314
A102,0.004336821796448404,0.5851452630307394,-0.6170102641038134,0.5595894008399971
A103,-2.897424624601306,0.5085980300880029,-2.4529810840598265,0.4852412101292981
A104,0.7458059646908104,-3.3537111262110035,0.22907306830589583,-3.811527092814028
A105,1.1459942491557944,-0.14608111945695573,1.2587665089854123,-0.7451846460645972
A106,-0.23736145258024757,0.5218335425251556,0.1912280834066133,0.4025333349018409
A107,-2.2943301905805487,0.92925039075803,-1.3403772212380318,1.3013414396170366
A108,-2.030566685160894,1.2527803010326577,-1.6111332988008291,1.768289895860377
A109,-0.35206387553835095,1.5457672114841237,0.34757194545904746,1.3580644013670167
