K,inertia,BIC,optimal
1,399.9999999999999,157.0501168559414,False
2,271.8296670643325,136.84190749985993,False
3,196.08982294575208,122.60230709181056,False
4,155.7438089992479,117.98694510439847,True
5,131.77948808723718,119.69938320863292,False
6,115.29147833529957,124.75341745656233,False
