UID,Total_Intercept_What,Total_Intercept_Where,Total_Slope_What,Total_Slope_Where
A010,0.5922592682209925,0.6238596548070653,0.0045969359760204,0.0664376365445699
A011,0.1268755153773359,-0.0164585344240594,0.0333190798290782,0.0210003379783512
A012,0.2901978606928109,0.3843577353070218,-0.0077988944785986,-0.0139012156118349
A013,-0.0582372501195664,-0.1688358076352048,-0.032085236074675,-0.0519563026796232
A014,0.5838630027850895,0.381966644599023,0.0064317810751116,0.0321900419573487
A015,1.185510136622848,1.2272440283445478,-0.0328212731124744,0.0073467321041411
A016,-0.0825393357320951,0.1625731662826731,0.0376903904327654,0.0602965298743767
A017,0.3273123320883302,0.1709610307549097,-0.0745316281545507,-0.0373032356570353
A018,-0.1218963055628701,-0.0795351720456896,-0.0173414832724429,-0.0219328789982156
A019,-0.6837859798071976,-1.080762911749099,0.0235730401938808,-0.0197930447247306
A020,-0.6898987800545918,-0.721305164189492,0.0524861254873369,0.0268119075126278
A021,0.6294287797977484,0.6002095451337643,-0.0406185974359032,-0.0145802949804181
A022,0.0322962660450873,0.0918307432797643,-0.0506970766645216,-0.0509225466205943
A023,0.086606213561399,0.0622529537292755,-0.0291300961733409,-0.0152664829117231
A024,0.0162140938377677,-0.0224627597386758,-0.0370117370591975,-0.0073491687610537
A025,0.0893764812842242,0.3577512190887721,0.0656571386793526,0.056108419820636
A026,0.2502596706063899,0.3227102837686391,-0.0210306956134404,-0.0027370352752172
A027,-0.1296671295138344,-0.0641583889238495,0.0403820459122446,0.0314933755414985
A028,0.1366123213289943,-0.0318612240242064,0.033671430710273,0.0582654632696188
A029,0.792698061438243,0.9154862735004644,-0.061769741933353,-0.0039562930756465
A030,0.2281981186492914,0.3943891697796393,-0.0324803656280981,-0.0496909223673492
A031,0.2728451895396074,0.2825349437702016,0.0486553881941371,0.0887748311595871
A032,0.7012955324378645,0.618434086486118,-0.0734143500070268,-0.0647419439323223
A033,0.3423403082196997,0.1807543769260713,-0.0527778467865341,-0.0306251736657778
A034,0.3682176077441224,0.4599462752730648,0.0216175358025335,0.0504579666429095
A035,-0.0363558426426332,-0.1462760867669572,-0.0160286896066371,-0.0218747735154146
A036,-0.0193674088740423,-0.1794724688013731,0.0220639325977591,0.052093503294455
A037,0.4487827093639166,0.4984342608737441,0.0094490842629833,0.0314148123511902
A038,0.4624430185517796,0.3949367365703115,-0.0133471065253328,0.0051560724451677
A039,0.8757792174030771,1.058573512512006,-0.0007250866216899,0.0377204590278709
A040,-0.7577510843157746,-0.763969005034758,0.0463081512376994,0.0003974839167452
A041,0.0714856228396186,0.09703340361729,0.0006422684259809,-0.0071359674598219
A042,-0.4345383222026909,-0.7101051039902802,-0.036160293843014,-0.0750898305227766
A043,0.3189340854577235,0.354436772748705,-0.0219697146857552,0.0158703083175162
A044,-0.5826377024116263,-0.7201643762279997,0.0282843139714764,0.0177974579268671
