UID,Total_Intercept_What_z,Total_Intercept_Where_z,Total_Slope_What_z,Total_Slope_Where_z
A010,1.1350187452262448,1.1422979953260348,0.12162739689185152,1.6020997391503027
A011,0.24314704047785946,-0.03013586586941872,0.8815682810424691,0.5064092846622267
A012,0.5561415909965831,0.7037657703078211,-0.20634597458269588,-0.3352186360610846
A013,-0.11160715264901967,-0.3091413318923317,-0.8489227961364026,-1.2528919344443747
A014,1.1189279566628665,0.6993876411864013,0.17017439303588577,0.7762416080004387
A015,2.2719378149445477,2.247105390694593,-0.8683971306475896,0.17716159393712852
A016,-0.15818020637457283,0.29767432547939854,0.9972260001200566,1.4540110065264318
A017,0.6272685838752478,0.31303265278566667,-1.9719848102816457,-0.8995428980304855
A018,-0.23360477279362485,-0.14563029823398285,-0.45882724485903614,-0.528896895636609
A019,-1.3104225572278754,-1.9788958910887127,0.6237040347233219,-0.4772962049787564
A020,-1.322137262659935,-1.3207224360850618,1.388696916655847,0.646551446833698
A021,1.2062512183241245,1.098994228748266,-1.074701561496151,-0.3515941866654418
A022,0.06189327770605727,0.16814370531817008,-1.3413616149752199,-1.2279635896287944
A023,0.16597406088810485,0.1139862526774034,-0.7707346343857427,-0.3681411555663347
A024,0.031073047616465448,-0.04112970797400751,-0.9792699433793248,-0.17722035230974803
A025,0.17128306315014893,0.6550487713729959,1.7371803537386352,1.3530174978225293
A026,0.4796031612398665,0.5908882027865948,-0.5564377610718967,-0.06600179850661823
A027,-0.2484969514786302,-0.11747513801597954,1.0684427956130753,0.7594419573632638
A028,0.26180687049953005,-0.05833846130463459,0.8908909082654338,1.405033176384979
A029,1.5191440764438853,1.676271460912941,-1.6343262027632497,-0.0954033953366669
A030,0.4373239157072393,0.7221335031785406,-0.859377276962019,-1.1982637839541683
A031,0.52288654866049,0.5173264489720296,1.2873418820025728,2.140746438932604
A032,1.343978250693051,1.1323636843495712,-1.942423460418095,-1.561209231404162
A033,0.656068529316629,0.330964441790858,-1.3964153844405525,-0.738505842369335
A034,0.7056603577810077,0.8421697158226753,0.5719645913264924,1.2167605502105585
A035,-0.06967313997775527,-0.26783408638551376,-0.4240928746043736,-0.527495720283596
A036,-0.03711613021190667,-0.32861724547875193,0.583775519402797,1.2562004366829493
A037,0.8600570982899349,0.9126418940714671,0.25000729353497525,0.7575474579011208
A038,0.8862360165876313,0.7231361075984167,-0.3531425782701125,0.12433528266619834
A039,1.6783626390818378,1.9382667109987461,-0.019184604435930848,0.9096039641422327
A040,-1.4521709174722401,-1.3988406786977021,1.2252378365276955,0.00958506220953139
A041,0.13699662679971,0.17766986785829428,0.01699337062020802,-0.17207914369886032
A042,-0.8327588400612111,-1.3002149289646547,-0.9567421504046494,-1.8107416842361062
A043,0.611212326948393,0.6489799618567831,-0.5812826677647942,0.3827020065451997
A044,-1.1165797639590336,-1.3186336332726605,0.7483566225781264,0.4291739469546607
A045,-1.4819264718611624,-1.6650715198334516,-0.15612761473511938,-1.508138026296756
A046,-1.7501536688611454,-1.6881877894392878,0.5054255526185156,-1.526574157297105
A047,-1.483667820092666,-1.4939515677816164,0.7001449848099845,-0.852158076556988
A048,0.5201135728998137,0.4048829012137461,-0.9017241834360489,0.45240245140579266
A049,0.6457818080328105,0.8033038189559005,0.879642741746653,0.6830729089110643
A050,-1.2916664995403264,-1.0490304521240017,0.043302679251998856,-0.7127167571603528
A051,-0.36489900291185845,-0.0020005716012173767,0.9696665767461119,1.400088213106753
A052,0.4163552889782861,-0.23073925333114245,0.19741787891865778,-0.3422616081205749
A053,0.596303999938087,0.6082082184194909,-0.11176983926880338,0.8662838601748876
A054,1.4414024353154773,1.562855709077753,-2.5298137983555504,-2.0790176806964125
A055,0.2514069506571097,0.0949078736837258,-0.7454583348229352,0.026333049921861404
A056,-0.11718849677169298,-0.2219022595060942,0.14079552823820227,0.42526817795321414
A057,-0.49841096021588505,-0.8126441141732708,0.30649054106931767,0.21833144768707805
A058,-0.4938369624290474,-0.3753530093801981,0.7933953246594213,0.5710310516732774
A059,1.6350883518653092,1.4652863363430504,-1.3017779226457378,-1.0086378113650545
A060,0.6096477593950446,0.18226957044363795,-1.1932841814678792,-1.012849580177334
A061,1.2596184296226687,1.2272043907147714,1.542736132576596,2.184422258204461
A062,0.15643585991456604,0.2391884959328329,1.0462420126639633,1.4391491149039704
