test,time_numeric,proportion_overconfident,prop_CI_lower,prop_CI_upper,mean_calibration,mean_CI_lower,mean_CI_upper
T1,0,0.54,0.4426486032336822,0.6343919169097589,0.1017885694783062,0.0133834002772297,0.1901937386793827
T2,1,0.39,0.3001687400639441,0.4879698295415926,0.0097345316726196,-0.0793927175886158,0.098861780933855
T3,3,0.37,0.2818236053432452,0.4677947041905709,-0.0316482146610348,-0.1159253921748735,0.0526289628528039
T4,6,0.35,0.2636424824309752,0.4474555670311202,-0.0798748864898911,-0.1696388669767455,0.0098890939969632
