test,N_total,N_overconfident,proportion_overconfident,CI_lower,CI_upper
T1,100,54,0.54,0.44264860323368227,0.6343919169097589
T2,100,39,0.39,0.3001687400639441,0.4879698295415926
T3,100,37,0.37,0.28182360534324524,0.4677947041905709
T4,100,35,0.35,0.26364248243097527,0.44745556703112027
