composite_ID,theta_All,se_All
A053_T2,-0.35076645,0.07339282
A053_T3,-0.35888958,0.07339282
A053_T4,-0.38389128,0.07339282
A054_T1,1.6660749,0.07339282
A054_T2,0.7989242,0.07339282
A054_T3,0.90146124,0.07339282
A054_T4,0.721319,0.07339282
A055_T1,0.8933571,0.07339282
A055_T2,-0.30982408,0.07339282
A055_T3,-0.7091042,0.07339282
A055_T4,-0.52702236,0.07339282
A056_T1,0.35512546,0.07339282
A056_T2,-0.11481737,0.07339282
A056_T3,-0.09799757,0.07339282
A056_T4,-0.4329056,0.07339282
A057_T1,0.7148236,0.07339282
A057_T2,0.027630882,0.07339282
A057_T3,-0.79511607,0.07339282
A057_T4,-1.8122908,0.07339282
A058_T1,0.6129219,0.07339282
A058_T2,-1.2515614,0.07339282
A058_T3,-1.0903395,0.07339282
A058_T4,-1.8317188,0.07339282
A059_T1,0.35930577,0.07339282
A059_T2,-0.2759761,0.07339282
A059_T3,-0.64548576,0.07339282
A059_T4,-0.47585383,0.07339282
A060_T1,1.1899056,0.07339282
A060_T2,1.1297755,0.07339282
A060_T3,0.7342384,0.07339282
A060_T4,1.113592,0.07339282
A061_T1,3.035337,0.07339282
A061_T2,2.2201235,0.07339282
A061_T3,0.58240455,0.07339282
A061_T4,1.2262194,0.07339282
A062_T1,0.8056381,0.07339282
A062_T2,-0.1124377,0.07339282
A062_T3,-0.80934817,0.07339282
A062_T4,-1.309975,0.07339282
A063_T1,-0.22373737,0.07339282
A063_T2,-0.5303791,0.07339282
A063_T3,-1.2802118,0.07339282
A063_T4,-1.7153044,0.07339282
A064_T1,0.97024375,0.07339282
A064_T2,0.085474685,0.07339282
A064_T3,0.11236071,0.07339282
A064_T4,-0.03018738,0.07339282
A065_T1,-0.13690929,0.07339282
A065_T2,-1.1207016,0.07339282
A065_T3,-1.3502693,0.07339282
A065_T4,-1.8451918,0.07339282
A066_T1,0.46811906,0.07339282
A066_T2,-0.1757307,0.07339282
A066_T3,-0.5405086,0.07339282
A066_T4,-1.2039877,0.07339282
A067_T1,0.24262358,0.07339282
A067_T2,-1.4350314,0.07339282
A067_T3,-1.9365375,0.07339282
A067_T4,-1.7372146,0.07339282
A068_T1,2.2656133,0.07339282
A068_T2,1.3492081,0.07339282
A068_T3,0.6539339,0.07339282
A068_T4,0.16218548,0.07339282
A069_T1,0.25422466,0.07339282
A069_T2,-1.0452298,0.07339282
A069_T3,-1.6103827,0.07339282
A069_T4,-1.5714215,0.07339282
A070_T1,0.26595566,0.07339282
A070_T2,-0.2891156,0.07339282
A070_T3,-1.5362434,0.07339282
A070_T4,-2.3315032,0.07339282
A071_T1,1.4062483,0.07339282
A071_T2,0.008745952,0.07339282
A071_T3,-0.64396226,0.07339282
A071_T4,-0.40711495,0.07339282
A072_T1,1.1476082,0.07339282
A072_T2,0.8802795,0.07339282
A072_T3,0.34604254,0.07339282
A072_T4,-0.07694118,0.07339282
A073_T1,0.005702734,0.07339282
A073_T2,-0.51583505,0.07339282
A073_T3,0.010290367,0.07339282
A073_T4,-0.37375993,0.07339282
A074_T1,0.4057072,0.07339282
A074_T2,-0.26989007,0.07339282
A074_T3,-1.2212816,0.07339282
A074_T4,-0.7347055,0.07339282
A075_T1,0.21868351,0.07339282
A075_T2,-0.06407137,0.07339282
A075_T3,-1.966908,0.07339282
A075_T4,-0.76381415,0.07339282
A076_T1,-0.25764796,0.07339282
A076_T2,-0.64143974,0.07339282
A076_T3,-0.8713531,0.07339282
A076_T4,-2.0592318,0.07339282
A077_T1,1.0828195,0.07339282
A077_T2,-0.061775867,0.07339282
A077_T3,-0.057523195,0.07339282
A077_T4,0.02102494,0.07339282
A078_T1,-0.9361496,0.07339282
A078_T2,-0.96595,0.07339282
A078_T3,-1.7301757,0.07339282
A078_T4,-1.7319458,0.07339282
A079_T1,0.3822094,0.07339282
A079_T2,0.10216686,0.07339282
A079_T3,-0.4006794,0.07339282
A079_T4,-0.75433517,0.07339282
A080_T1,1.1243324,0.07339282
A080_T2,0.6892572,0.07339282
A080_T3,0.62320197,0.07339282
A080_T4,-0.8472369,0.07339282
A081_T1,1.2758523,0.07339282
A081_T2,0.6858867,0.07339282
A081_T3,0.8307492,0.07339282
A081_T4,0.7054321,0.07339282
A082_T1,0.1739859,0.07339282
A082_T2,-0.04442855,0.07339282
A082_T3,-0.4148056,0.07339282
A082_T4,-0.8596984,0.07339282
A083_T1,1.2734162,0.07339282
A083_T2,0.3070551,0.07339282
A083_T3,0.6661916,0.07339282
A083_T4,0.5780402,0.07339282
A084_T1,-0.42285675,0.07339282
A084_T2,-1.4664562,0.07339282
A084_T3,-1.013821,0.07339282
A084_T4,-1.0321283,0.07339282
A085_T1,0.8677166,0.07339282
A085_T2,1.0242546,0.07339282
A085_T3,0.7863214,0.07339282
A085_T4,-0.55458117,0.07339282
A086_T1,1.277961,0.07339282
A086_T2,1.1118082,0.07339282
A086_T3,-0.3442445,0.07339282
A086_T4,-0.2083888,0.07339282
A087_T1,1.4973053,0.07339282
A087_T2,0.72297037,0.07339282
A087_T3,0.12718847,0.07339282
A087_T4,0.21799015,0.07339282
A088_T1,0.25304648,0.07339282
A088_T2,0.75527453,0.07339282
A088_T3,0.05704416,0.07339282
A088_T4,0.31973332,0.07339282
A089_T1,1.3327537,0.07339282
A089_T2,0.91714174,0.07339282
A089_T3,0.1780254,0.07339282
A089_T4,-0.008746256,0.07339282
A090_T1,-0.65424925,0.07339282
A090_T2,-0.8496225,0.07339282
A090_T3,-1.6408993,0.07339282
A090_T4,-1.4168081,0.07339282
A091_T1,0.9867957,0.07339282
A091_T2,0.32842198,0.07339282
A091_T3,-0.17302956,0.07339282
A091_T4,-0.13599955,0.07339282
A092_T1,0.22590114,0.07339282
A092_T2,0.14786519,0.07339282
A092_T3,-0.3949276,0.07339282
A092_T4,-0.5185454,0.07339282
A093_T1,1.615065,0.07339282
A093_T2,0.5044622,0.07339282
A093_T3,0.049923185,0.07339282
A093_T4,-0.3427646,0.07339282
A094_T1,-0.15748604,0.07339282
A094_T2,-0.38972417,0.07339282
A094_T3,-1.3148012,0.07339282
A094_T4,-1.2071853,0.07339282
A095_T1,1.0626495,0.07339282
A095_T2,-0.13491769,0.07339282
A095_T3,-0.06304094,0.07339282
A095_T4,-0.4148814,0.07339282
A096_T1,1.2504172,0.07339282
A096_T2,0.58374166,0.07339282
A096_T3,0.73835707,0.07339282
A096_T4,0.8100288,0.07339282
A097_T1,-0.40680176,0.07339282
A097_T2,-0.94182014,0.07339282
A097_T3,-0.5738898,0.07339282
A097_T4,-1.1440835,0.07339282
A098_T1,0.7665425,0.07339282
A098_T2,0.114959404,0.07339282
A098_T3,0.95175016,0.07339282
A098_T4,0.45389512,0.07339282
A099_T1,1.5797538,0.07339282
A099_T2,1.2974577,0.07339282
A099_T3,0.8571293,0.07339282
A099_T4,1.3113091,0.07339282
A100_T1,0.9444509,0.07339282
A100_T2,0.846625,0.07339282
A100_T3,0.7006375,0.07339282
A100_T4,0.07112359,0.07339282
A101_T1,-0.32381263,0.07339282
A101_T2,-0.8049391,0.07339282
A101_T3,-2.0506682,0.07339282
A101_T4,-1.7474207,0.07339282
A102_T1,0.7623854,0.07339282
A102_T2,0.3141226,0.07339282
A102_T3,-0.36135077,0.07339282
A102_T4,-0.24279404,0.07339282
A103_T1,-1.8178651,0.07339282
A103_T2,-2.9925668,0.07339282
A103_T3,-2.6570177,0.07339282
A103_T4,-2.9122403,0.07339282
A104_T1,1.6208797,0.07339282
A104_T2,0.573565,0.07339282
A104_T3,-0.157371,0.07339282
A104_T4,-1.8637626,0.07339282
A105_T1,2.0030143,0.07339282
A105_T2,1.3873036,0.07339282
A105_T3,0.4621537,0.07339282
A105_T4,0.38215855,0.07339282
A106_T1,0.900686,0.07339282
A106_T2,0.14128786,0.07339282
A106_T3,0.43720695,0.07339282
A106_T4,-0.07177689,0.07339282
A107_T1,-1.6444446,0.07339282
A107_T2,-0.80871445,0.07339282
A107_T3,-1.256739,0.07339282
A107_T4,-1.820972,0.07339282
A108_T1,-0.31995967,0.07339282
A108_T2,-1.9271332,0.07339282
A108_T3,-0.52692664,0.07339282
A108_T4,-0.62428236,0.07339282
A109_T1,0.48572227,0.07339282
A109_T2,-0.036711782,0.07339282
A109_T3,0.40579683,0.07339282
A109_T4,0.20902646,0.07339282
