composite_ID,TSVR_hours,test
A073_2,66.66,2
A073_3,66.9,3
A073_4,140.12,4
A074_1,1.0,1
A074_2,29.33,2
A074_3,73.02,3
A074_4,147.21,4
A075_1,1.0,1
A075_2,28.68,2
A075_3,71.37,3
A075_4,244.53,4
A076_1,1.0,1
A076_2,27.3,2
A076_3,74.88,3
A076_4,149.28,4
A077_1,1.0,1
A077_2,53.88,2
A077_3,78.36,3
A077_4,149.75,4
A078_1,1.0,1
A078_2,26.17,2
A078_3,72.3,3
A078_4,140.08,4
A079_1,1.0,1
A079_2,26.11,2
A079_3,74.0,3
A079_4,194.42,4
A080_1,1.0,1
A080_2,29.03,2
A080_3,72.87,3
A080_4,145.77,4
A081_1,1.0,1
A081_2,31.39,2
A081_3,80.13,3
A081_4,154.53,4
A082_1,1.0,1
A082_2,27.97,2
A082_3,75.71,3
A082_4,170.25,4
A083_1,1.0,1
A083_2,25.15,2
A083_3,74.3,3
A083_4,144.91,4
A084_1,1.0,1
A084_2,27.25,2
A084_3,91.97,3
A084_4,162.51,4
A085_1,1.0,1
A085_2,24.51,2
A085_3,71.4,3
A085_4,170.65,4
A086_1,1.0,1
A086_2,23.47,2
A086_3,145.29,3
A086_4,169.55,4
A087_1,1.0,1
A087_2,31.07,2
A087_3,72.8,3
A087_4,144.2,4
A088_1,1.0,1
A088_2,24.25,2
A088_3,74.91,3
A088_4,149.93,4
A089_1,1.0,1
A089_2,32.14,2
A089_3,79.34,3
A089_4,146.96,4
A090_1,1.0,1
A090_2,23.54,2
A090_3,95.42,3
A090_4,144.07,4
A091_1,1.0,1
A091_2,22.2,2
A091_3,73.64,3
A091_4,142.61,4
A092_1,1.0,1
A092_2,22.83,2
A092_3,71.31,3
A092_4,146.16,4
A093_1,1.0,1
A093_2,22.09,2
A093_3,70.22,3
A093_4,140.95,4
A094_1,1.0,1
A094_2,22.98,2
A094_3,76.21,3
A094_4,149.99,4
A095_1,1.0,1
A095_2,29.71,2
A095_3,78.76,3
A095_4,148.79,4
A096_1,1.0,1
A096_2,24.49,2
A096_3,71.19,3
A096_4,143.66,4
A097_1,1.0,1
A097_2,24.37,2
A097_3,70.83,3
A097_4,144.85,4
A098_1,1.0,1
A098_2,25.77,2
A098_3,78.84,3
A098_4,146.29,4
A099_1,1.0,1
A099_2,28.75,2
A099_3,78.57,3
A099_4,143.51,4
A100_1,1.0,1
A100_2,31.14,2
A100_3,75.34,3
A100_4,146.8,4
A101_1,1.0,1
A101_2,29.12,2
A101_3,75.21,3
A101_4,150.22,4
A102_1,1.0,1
A102_2,29.13,2
A102_3,75.27,3
A102_4,150.41,4
A103_1,1.0,1
A103_2,27.26,2
A103_3,80.24,3
A103_4,149.72,4
A104_1,1.0,1
A104_2,22.6,2
A104_3,72.62,3
A104_4,145.78,4
A105_1,1.0,1
A105_2,22.77,2
A105_3,69.46,3
A105_4,146.2,4
A106_1,1.0,1
A106_2,22.64,2
A106_3,66.08,3
A106_4,147.13,4
A107_1,1.0,1
A107_2,26.22,2
A107_3,71.45,3
A107_4,145.95,4
A108_1,1.0,1
A108_2,27.61,2
A108_3,68.96,3
A108_4,152.12,4
A109_1,1.0,1
A109_2,24.65,2
A109_3,71.17,3
A109_4,149.87,4
