model_name,AIC,BIC,log_likelihood,num_params,converged,delta_AIC,relative_likelihood,akaike_weight,is_best
Linear+Logarithmic,693.4727918246458,721.4130436544017,-339.7363959123229,10,True,0.0,1.0,0.6417819004450616,True
Quadratic+Logarithmic,695.0499018339956,726.9816182108594,-339.5249509169978,11,True,1.5771100093497807,0.45450107293474107,0.29169056234237767,False
Logarithmic,698.0290265427898,721.9778138254377,-343.0145132713949,9,True,4.556234718143969,0.10247695252803772,0.0657678533452624,False
Quadratic,706.9509946713652,734.891246501121,-346.4754973356826,10,True,13.478202846719341,0.0011837103333256001,0.000759683867298161,False
Linear,765.898696847958,789.847484130606,-376.949348423979,9,True,72.42590502331223,1.874625631428004e-16,1.203100800360888e-16,False
