model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,renorm_weight
Root_033,709.8820410772892,725.8478992657211,-350.9410205386446,3.0,True,0.0,0.06305359321317,0.06305359321317,0.06368493059510413
CubeRoot,709.8858614452943,725.8517196337262,-350.94293072264713,3.0,True,0.0038203680051083,0.0629332642099672,0.1259868574231373,0.06356339677241395
PowerLaw_04,709.9399210931324,725.9057792815644,-350.9699605465662,3.0,True,0.0578800158432386,0.0612549732939845,0.1872418307171219,0.06186830161516559
PowerLaw_05,710.2120598093056,726.1779179977376,-351.1060299046528,3.0,True,0.3300187320164696,0.0534622439754051,0.2407040746925271,0.053997545953036186
LogLog,710.2686478491592,726.2345060375911,-351.1343239245796,3.0,True,0.3866067718699923,0.0519707814128314,0.2926748561053585,0.052491149807433767
PowerLaw_03,710.3451861245162,726.3110443129482,-351.1725930622581,3.0,True,0.4631450472270444,0.0500194798759204,0.342694335981279,0.050520310452915565
FourthRoot,710.3848605581429,726.3507187465749,-351.19243027907146,3.0,True,0.5028194808537592,0.0490370095648865,0.3917313455461655,0.04952800295097172
PowerLaw_06,711.1130917666619,727.0789499550939,-351.5565458833309,3.0,True,1.2310506893727506,0.0340714471310679,0.4258027926772334,0.03441259467134705
SquareRoot+Lin,711.4294621762115,731.3867849117514,-350.71473108810574,4.0,True,1.5474210989223138,0.0290865102447577,0.4548893029219911,0.029377745054571677
PowerLaw_02,711.4615755558634,727.4274337442954,-351.7307877779317,3.0,True,1.57953447857426,0.0286232066863336,0.4835125096083247,0.028909802571691245
SquareRoot+Recip,711.6484310014862,731.6057537370261,-350.8242155007431,4.0,True,1.7663899241970284,0.0260701267172643,0.5095826363255891,0.026331159351720583
Root_Multi,711.7077467412564,731.6650694767964,-350.8538733706282,4.0,True,1.8257056639672555,0.0253082952807475,0.5348909316063366,0.025561699917494286
Log+LogLog,711.7240618392348,731.6813845747747,-350.8620309196174,4.0,True,1.842020761945605,0.0251026814149774,0.5599936130213141,0.025354027299588276
Recip+Log,711.749331822245,731.706654557785,-350.8746659111225,4.0,True,1.8672907449558809,0.0247875045698937,0.5847811175912079,0.025035694679962927
Log+Recip,711.749331822245,731.706654557785,-350.8746659111225,4.0,True,1.8672907449558809,0.0247875045698937,0.6095686221611016,0.025035694679962927
SquareRoot+PowerLaw,711.781159120369,731.738481855909,-350.8905795601845,4.0,True,1.899118043079852,0.0243961669841784,0.6339647891452801,0.02464043874424999
CubeRoot+Log,711.8266540319655,731.7839767675055,-350.9133270159828,4.0,True,1.9446129546763584,0.0238474805240233,0.6578122696693034,0.024086258445352254
Recip+Lin,711.8309540449109,731.7882767804508,-350.91547702245543,4.0,True,1.948912967621709,0.0237962633648809,0.6816085330341843,0.024034528463616957
Exp+Recip,711.8309540449109,731.7882767804508,-350.91547702245543,4.0,True,1.948912967621709,0.0237962633648809,0.7054047963990653,0.024034528463616957
PowerLaw_Lin,711.848409126023,731.8057318615629,-350.9242045630115,4.0,True,1.966368048733784,0.0235894841607555,0.7289942805598209,0.02382567883915992
Exp+PowerLaw,711.848409126023,731.8057318615629,-350.9242045630115,4.0,True,1.966368048733784,0.0235894841607555,0.7525837647205764,0.02382567883915992
PowerLaw_Log,711.9023260979834,731.8596488335234,-350.9511630489917,4.0,True,2.0202850206942458,0.0229620428165448,0.7755458075371213,0.0231919551063432
Log+PowerLaw05,711.9023260979839,731.8596488335238,-350.951163048992,4.0,True,2.0202850206947005,0.0229620428165396,0.798507850353661,0.023191955106337946
Recip+PowerLaw05,711.988475115963,731.9457978515029,-350.9942375579815,4.0,True,2.1064340386737967,0.021993963544118,0.8205018138977791,0.02221418273631144
Recip+PowerLaw,711.988475115963,731.9457978515029,-350.9942375579815,4.0,True,2.1064340386737967,0.021993963544118,0.8424957774418972,0.02221418273631144
Tanh+Log,712.4823655451705,732.4396882807105,-351.24118277258526,4.0,True,2.6003244678813644,0.0171813211960615,0.8596770986379587,0.017353352793141444
PowerLaw_07,712.582902916201,728.548761104633,-352.2914514581005,3.0,True,2.700861838911805,0.0163389876343567,0.8760160862723154,0.016502585189243933
Exp+Log,712.6496019470374,732.6069246825773,-351.3248009735187,4.0,True,2.767560869748195,0.0158030761767373,0.8918191624490528,0.015961307805285364
Lin+Log,712.6496019470374,732.6069246825773,-351.3248009735187,4.0,True,2.767560869748195,0.0158030761767373,0.9076222386257902,0.015961307805285364
PowerLaw_01,713.3055528697678,729.2714110581998,-352.6527764348839,3.0,True,3.423511792478621,0.0113842310253674,0.9190064696511576,0.011498218036172481
Recip+Quad,713.454969196528,737.403756479176,-350.727484598264,5.0,True,3.5729281192388957,0.0105647289055697,0.9295711985567272,0.010670510478802755
PowerLaw+Recip+Log,713.6227489820358,737.5715362646837,-350.8113744910179,5.0,True,3.740707904746614,0.0097146115581925,0.93928581011492,0.009811881152439434
Lin+Log+PowerLaw,713.7990672450865,737.7478545277344,-350.89953362254323,5.0,True,3.917026167797303,0.008894845634576,0.948180655749496,0.008983907149859612
Quad+Log,714.4042821425219,738.3530694251698,-351.20214107126094,5.0,True,4.52224106523272,0.0065723044082575,0.9547529601577536,0.006638110990355929
Lin+Quad+Log,714.4042821425219,738.3530694251698,-351.20214107126094,5.0,True,4.52224106523272,0.0065723044082575,0.961325264566011,0.006638110990355929
PowerLaw_08,714.55332688621,730.519185074642,-353.276663443105,3.0,True,4.671285808920857,0.0061003255964758,0.9674255901624867,0.006161406391316535
Sin+Log,714.8397466747233,734.7970694102632,-352.41987333736165,4.0,True,4.957705597434142,0.0052863723366854,0.9727119624991724,0.005339303253083593
Quad+Log+SquareRoot,714.953316083373,742.8935679131289,-350.4766580416865,6.0,True,5.071275006083852,0.0049945511472116,0.977706513646384,0.005044560142488939
Log2,715.8748805273744,731.8407387158064,-353.9374402636872,3.0,True,5.992839450085285,0.0031505130911235,0.9808570267375076,0.00318205826698643
Log,715.8748805273744,731.8407387158064,-353.9374402636872,3.0,True,5.992839450085285,0.0031505130911235,0.9840075398286312,0.00318205826698643
Log10,715.8748805273744,731.8407387158064,-353.9374402636872,3.0,True,5.992839450085285,0.0031505130911235,0.9871580529197548,0.00318205826698643
Quartic,716.0210325517232,743.9612843814791,-351.0105162758616,6.0,True,6.138991474434079,0.0029284969746324,0.9900865498943872,0.00295781916736955
