item_name,dimension,a,b1,b2,b3,b4
TC_ICR-D-i1,All,1.2824281,-0.7693497538566589,0.36186835169792175,1.2437232732772827,1.75694739818573
TC_ICR-D-i2,All,1.5651956,-0.4573862552642822,0.5490712523460388,1.2011767625808716,1.6769909858703613
TC_ICR-D-i3,All,1.1753014,-0.8821374177932739,0.11118925362825394,0.9026051163673401,1.3401707410812378
TC_ICR-D-i4,All,1.6583222,-0.7281843423843384,0.3072658181190491,0.985681414604187,1.3911635875701904
TC_ICR-D-i5,All,1.3587221,-0.4585948884487152,0.7951386570930481,1.48611581325531,1.9033492803573608
TC_ICR-D-i6,All,1.349756,-0.6437212228775024,0.43985047936439514,1.1664438247680664,1.5295566320419312
TC_ICR-N-i1,All,1.5693263,-1.8021854162216187,-1.1810988187789917,-0.6409901976585388,-0.17356188595294952
TC_ICR-N-i2,All,1.4616491,-2.0468525886535645,-1.3338392972946167,-0.8152629733085632,-0.3014037609100342
TC_ICR-N-i3,All,1.4686308,-2.3022265434265137,-1.7726452350616455,-1.1780445575714111,-0.6638217568397522
TC_ICR-N-i4,All,1.5370173,-2.1825549602508545,-1.6193910837173462,-1.1203399896621704,-0.6709741950035095
TC_ICR-N-i5,All,1.6489165,-1.9480873346328735,-1.3603365421295166,-0.7233356833457947,-0.14811399579048157
TC_ICR-N-i6,All,1.3817409,-2.085149049758911,-1.3405156135559082,-0.9056333303451538,-0.41235581040382385
TC_ICR-O-i1,All,1.3183118,-0.01298166811466217,1.2543460130691528,2.346510648727417,3.0905346870422363
TC_ICR-O-i2,All,1.3579359,0.10320330411195755,1.2409212589263916,2.1950175762176514,2.837794780731201
TC_ICR-O-i3,All,1.323398,-0.19375844299793243,0.7989600896835327,1.6007620096206665,1.9869518280029297
TC_ICR-O-i4,All,1.1414655,-0.03064730390906334,1.1263206005096436,1.8861029148101807,2.4302945137023926
TC_ICR-O-i5,All,1.1678519,0.20794084668159485,1.3737770318984985,2.215766429901123,2.9219212532043457
TC_ICR-O-i6,All,1.3877103,0.2884504199028015,1.2800967693328857,2.338655948638916,3.1012895107269287
TC_ICR-U-i1,All,1.7201855,-1.05657160282135,-0.20803232491016388,0.2878575026988983,0.5730186104774475
TC_ICR-U-i2,All,1.4311508,-1.4163404703140259,-0.49046429991722107,-0.09147445857524872,0.4444839358329773
TC_ICR-U-i3,All,1.6698475,-1.2668923139572144,-0.6015335917472839,-0.011499143205583096,0.35914939641952515
TC_ICR-U-i4,All,1.5876322,-1.445601224899292,-0.6124277710914612,0.0026815440505743027,0.41837242245674133
TC_ICR-U-i5,All,1.5815772,-1.0736067295074463,-0.23457495868206024,0.24804164469242096,0.6829729676246643
TC_ICR-U-i6,All,1.2876656,-1.067545771598816,-0.16498635709285736,0.3874050974845886,0.7740609645843506
TC_IFR-D-i1,All,1.0668081,-0.8653106689453125,0.3395058810710907,1.2414565086364746,1.801552176475525
TC_IFR-D-i2,All,1.3339462,-0.32711106538772583,0.4441128671169281,1.0894865989685059,1.5977582931518555
TC_IFR-D-i3,All,1.3253855,-0.39182448387145996,0.5207116007804871,1.0797955989837646,1.5316493511199951
