time,probability,CI_lower,CI_upper,domain,n
1.0,0.7192236217590574,0.6635876462051401,0.7688633697145076,What,100
28.769699999999997,0.5400490052680389,0.47700765373893744,0.6018343613485951,What,100
78.6681,0.43175919402499563,0.3694619299464055,0.49629288982072395,What,100
151.3752,0.32351785115556647,0.26647626473093966,0.3863386878285832,What,100
1.0,0.7271388071167234,0.6704686504333899,0.7773003627829644,When,100
28.769699999999997,0.5096109219305073,0.4339832886175849,0.5848011765786635,When,100
78.6681,0.3922307167432898,0.3228453184768397,0.46626039722180435,When,100
151.3752,0.32295648781154485,0.25999851838272536,0.3930619181695075,When,100
1.0,0.7206626492286446,0.671074959228787,0.7653882001633934,Where,100
28.769699999999997,0.5397013452536145,0.47607690202626207,0.602057708102342,Where,100
78.6681,0.41585470341000397,0.35714284675375224,0.4770558931940987,Where,100
151.3752,0.3280592091041656,0.27282717758426933,0.38849885221208696,Where,100
