model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Ultimate,299.937146486458,376.2882990230994,-134.968573243229,14.0,True,0.0,0.5563119181294955,0.5563119181294955
Quad+Log+SquareRoot,301.1326980946433,367.30369695973246,-137.56634904732164,12.0,True,1.1955516081852693,0.30599027998230355,0.8623021981117991
CubeRoot,305.8549137279533,356.7556820857142,-142.92745686397666,9.0,True,5.917767241495312,0.02885968158023983,0.891161879692039
Root_033,305.85534493664454,356.75611329440545,-142.92767246832227,9.0,True,5.918198450186537,0.028853459978204453,0.9200153396702434
SquareRoot+Recip,307.26619769889476,363.25704289243174,-142.63309884944738,10.0,True,7.329051212436752,0.01425066446226461,0.934266004132508
Exp+Recip,307.38429031168744,363.3751355052244,-142.69214515584372,10.0,True,7.447143825229432,0.01343357577867619,0.9476995799111843
Root_Multi,307.6864789027677,363.6773240963047,-142.84323945138385,10.0,True,7.749332416309699,0.011549740077730008,0.9592493199889143
FourthRoot,307.7668125985583,358.6675809563192,-143.88340629927916,9.0,True,7.829666112100313,0.011095016956968306,0.9703443369458826
PowerLaw+Recip+Log,308.8222577800734,369.90317980938653,-142.4111288900367,11.0,True,8.88511129361541,0.0065454718762139345,0.9768898088220965
CubeRoot+Log,309.39757703390205,365.38842222743904,-143.69878851695103,10.0,True,9.460430547444048,0.00490921409587272,0.9817990229179693
Lin+Log+PowerLaw,309.65691155225613,370.73783358156925,-142.82845577612807,11.0,True,9.719765065798128,0.004312193070978958,0.9861112159889482
SquareRoot+PowerLaw,311.0248692397108,367.0157144332478,-144.5124346198554,10.0,True,11.08772275325282,0.0021759552513610724,0.9882871712403093
Log+Recip,311.14819270789303,367.13903790143,-144.57409635394652,10.0,True,11.211046221435026,0.0020458350223878366,0.9903330062626972
Exp+PowerLaw,312.4801012563712,368.4709464499082,-145.2400506281856,10.0,True,12.542954769913194,0.0010511152631055606,0.9913841215258027
Log+LogLog,312.7053506516768,368.69619584521377,-145.3526753258384,10.0,True,12.768204165218776,0.0009391566926792044,0.9923232782184819
LogLog,313.2371452933385,364.1379136510994,-146.61857264666924,9.0,True,13.299998806880467,0.0007198803490451993,0.9930431585675271
PowerLaw_03,313.40299276545556,364.3037611232165,-146.70149638272778,9.0,True,13.46584627899756,0.0006625932351498311,0.993705751802677
PowerLaw_04,313.58753465830887,364.4883030160698,-146.79376732915443,9.0,True,13.650388171850864,0.0006041909762684399,0.9943099427789454
Log+PowerLaw05,314.114575252348,370.105420445885,-146.057287626174,10.0,True,14.17742876589,0.0004642253195388364,0.9947741680984842
SquareRoot+Lin,314.121692506611,370.112537700148,-146.0608462533055,10.0,True,14.184546020152993,0.0004625762506724956,0.9952367443491567
PowerLaw_02,314.1577893081849,365.0585576659458,-147.07889465409244,9.0,True,14.22064282172687,0.0004543023787801484,0.9956910467279368
Recip+Lin,314.2733466321988,370.2641918257358,-146.1366733160994,10.0,True,14.336200145740804,0.00042879731449058263,0.9961198440424275
PowerLaw_05,314.5245538514391,365.42532220920003,-147.26227692571956,9.0,True,14.587407364981118,0.00037818395749110087,0.9964980279999186
Exp_slow,314.7365366584836,365.6373050162445,-147.3682683292418,9.0,True,14.799390172025596,0.0003401508969614463,0.9968381788968801
SquareRoot,314.7365366584836,365.6373050162445,-147.3682683292418,9.0,True,14.799390172025596,0.0003401508969614463,0.9971783297938416
Recip+Log,315.06742873163057,371.05827392516755,-146.53371436581529,10.0,True,15.130282245172566,0.0002882831904459716,0.9974666129842875
Log+SquareRoot,315.1355004898596,371.1263456833966,-146.5677502449298,10.0,True,15.198354003401619,0.0002786363197472883,0.9977452493040349
SquareRoot+Log,315.17646268227327,371.16730787581025,-146.58823134113663,10.0,True,15.239316195815263,0.00027298758606216357,0.998018236890097
Recip+PowerLaw,315.51146819316455,371.50231338670153,-146.75573409658227,10.0,True,15.574321706706542,0.00023088588090713376,0.9982491227710042
Recip+PowerLaw05,315.51146819316455,371.50231338670153,-146.75573409658227,10.0,True,15.574321706706542,0.00023088588090713376,0.9984800086519113
Quartic,315.63379039511165,381.80478926020083,-144.81689519755582,12.0,True,15.696643908653641,0.0002171878105073258,0.9986971964624186
PowerLaw_06,316.0360854362225,366.9368537939834,-148.01804271811125,9.0,True,16.098938949764488,0.0001776144064872642,0.9988748108689058
PowerLaw_01,316.0390328055546,366.9398011633155,-148.0195164027773,9.0,True,16.101886319096593,0.00017735285163197957,0.9990521637205378
PowerLaw_Log,316.100469482104,372.091314675641,-147.050234741052,10.0,True,16.163322995646013,0.00017198769300138272,0.9992241514135393
