composite_ID,UID,test,domain,TSVR_hours,ma_theta,ma_theta_se
A010_T1,A010,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A010_T2,A010,T2,What,21.9,-0.6791018148077316,0.007394467785379674
A010_T3,A010,T3,What,80.88,-0.8510141761297947,0.0047827781168530425
A010_T4,A010,T4,What,145.31,-1.0178278218261847,0.009101161046817187
A011_T1,A011,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A011_T2,A011,T2,What,24.57,-0.6766893004085849,0.0040540752148384655
A011_T3,A011,T3,What,72.55,-0.8188038851819401,0.007463806011942741
A011_T4,A011,T4,What,148.85,-1.0218720269097938,0.008818871453271008
A012_T1,A012,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A012_T2,A012,T2,What,25.6,-0.6763606665211154,0.004962317217299828
A012_T3,A012,T3,What,166.33,-1.0337002616264384,0.0063846350971332715
A012_T4,A012,T4,What,166.87,-1.0338509729201084,0.006291219818355603
A013_T1,A013,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A013_T2,A013,T2,What,24.77,-0.676600229806144,0.004158065742998731
A013_T3,A013,T3,What,79.66,-0.8463882391644115,0.0050863348058643116
A013_T4,A013,T4,What,147.13,-1.0199765768407847,0.008966131767623732
A014_T1,A014,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A014_T2,A014,T2,What,25.66,-0.6763513468076088,0.005036356684246422
A014_T3,A014,T3,What,70.56,-0.8109350178452936,0.008253393538664796
A014_T4,A014,T4,What,148.87,-1.021893294207961,0.008817047936456733
A015_T1,A015,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A015_T2,A015,T2,What,23.69,-0.6772296633129727,0.004220275306635393
A015_T3,A015,T3,What,70.59,-0.8110539871331003,0.0082412295446856
A015_T4,A015,T4,What,146.54,-1.0192961227956723,0.009012260922046714
A016_T1,A016,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A016_T2,A016,T2,What,32.85,-0.6820845185344355,0.01372794516287705
A016_T3,A016,T3,What,80.64,-0.8501070208263035,0.004839321440798153
A016_T4,A016,T4,What,150.8,-1.023862034731361,0.008629207252845345
A017_T1,A017,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A017_T2,A017,T2,What,20.61,-0.6811189537042299,0.010998962948428795
A017_T3,A017,T3,What,61.28,-0.773949227019564,0.012192888757091146
A017_T4,A017,T4,What,140.49,-1.011426244594891,0.009353683932414664
A018_T1,A018,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A018_T2,A018,T2,What,34.03,-0.6841371931237513,0.014622723317050607
A018_T3,A018,T3,What,83.64,-0.8613398330989278,0.004258107676559687
A018_T4,A018,T4,What,150.87,-1.0239303322759261,0.008621956370651107
A019_T1,A019,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A019_T2,A019,T2,What,28.69,-0.6771999804790355,0.00926168484833476
A019_T3,A019,T3,What,83.68,-0.8614879812968176,0.0042523332123926404
A019_T4,A019,T4,What,154.76,-1.0273840393202847,0.008172267459746103
A020_T1,A020,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A020_T2,A020,T2,What,26.85,-0.676382374339244,0.006680382232669139
A020_T3,A020,T3,What,78.25,-0.8409983544955045,0.005483374881621954
A020_T4,A020,T4,What,145.78,-1.0183968148629141,0.009068354253203927
A021_T1,A021,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A021_T2,A021,T2,What,30.21,-0.6785269437279299,0.011138801365381767
A021_T3,A021,T3,What,74.19,-0.8252480926498401,0.00684458825937816
A021_T4,A021,T4,What,140.39,-1.0112825060672281,0.009357291601972033
A022_T1,A022,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A022_T2,A022,T2,What,24.15,-0.6769167765538089,0.003997953887035658
A022_T3,A022,T3,What,74.46,-0.8263049730579738,0.006745885193607232
A022_T4,A022,T4,What,141.71,-1.0131441023551233,0.00930430826894307
A023_T1,A023,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A023_T2,A023,T2,What,25.63,-0.6763558735775848,0.004999153707271562
A023_T3,A023,T3,What,72.2,-0.8174235261262647,0.0075999205245676
A023_T4,A023,T4,What,145.07,-1.0175334868031096,0.009117356862038427
A024_T1,A024,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A024_T2,A024,T2,What,29.57,-0.6778998753791827,0.010382398616282597
A024_T3,A024,T3,What,91.47,-0.8894291481626458,0.004177932632388439
A024_T4,A024,T4,What,145.65,-1.018240415695817,0.009077572677735273
A025_T1,A025,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A025_T2,A025,T2,What,23.33,-0.677521745346676,0.00459845704971141
A025_T3,A025,T3,What,72.94,-0.8203399935534287,0.007313686303868962
A025_T4,A025,T4,What,137.74,-1.0073117254007689,0.009428549950427736
A026_T1,A026,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A026_T2,A026,T2,What,26.48,-0.676329303221713,0.006148541440354637
A026_T3,A026,T3,What,75.46,-0.8302084377158822,0.006389338615473997
A026_T4,A026,T4,What,147.65,-1.0205634783956372,0.008923612411151981
A027_T1,A027,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A027_T2,A027,T2,What,28.26,-0.6769288462131431,0.008682473363643986
A027_T3,A027,T3,What,74.58,-0.8267743057210224,0.006702337491093482
A027_T4,A027,T4,What,145.92,-1.0185644050296716,0.009058303551134982
A028_T1,A028,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A028_T2,A028,T2,What,22.82,-0.6780076049482094,0.005394806660485205
A028_T3,A028,T3,What,72.26,-0.8176602768543807,0.007576496020220798
A028_T4,A028,T4,What,138.91,-1.0091032780832194,0.009402879997321544
A029_T1,A029,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A029_T2,A029,T2,What,28.43,-0.6770303632081607,0.008913761492864115
A029_T3,A029,T3,What,93.26,-0.8955728060365694,0.00440179664928606
A029_T4,A029,T4,What,143.14,-1.0150735065822607,0.009233852091027988
A030_T1,A030,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A030_T2,A030,T2,What,32.95,-0.6822480046426845,0.013809773400542165
A030_T3,A030,T3,What,71.93,-0.8163575600202825,0.007705781322765996
A030_T4,A030,T4,What,150.46,-1.023527210071061,0.008663992683909735
A031_T1,A031,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A031_T2,A031,T2,What,32.41,-0.6813889936014025,0.013354283653551615
A031_T3,A031,T3,What,71.56,-0.814895275315288,0.007852007795559035
A031_T4,A031,T4,What,143.85,-1.0159977150402129,0.00919384638943186
A032_T1,A032,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A032_T2,A032,T2,What,57.18,-0.7577863315443729,0.013887361688794252
A032_T3,A032,T3,What,80.16,-0.8482884687456224,0.004957145213491269
A032_T4,A032,T4,What,144.51,-1.0168367528640987,0.009153680176946486
A033_T1,A033,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A033_T2,A033,T2,What,29.16,-0.6775499440596982,0.009871557727795103
