time,theta,CI_lower,CI_upper,domain,n
1.0,0.6435623934,0.47016931444363513,0.8169554723563648,What,100
28.769699999999997,0.12590327137000001,-0.041705672418888284,0.2935122151588883,What,100
78.6681,-0.16290804853600002,-0.33534425771958515,0.009528160647585104,What,100
151.3752,-0.470139179945,-0.6525788378707265,-0.2876995220192735,What,100
1.0,0.595539546747,0.43691244999730305,0.754166643496697,When,100
28.769699999999997,0.041969945179999996,-0.1367713372128643,0.2207112275728643,When,100
78.6681,-0.23807186076499998,-0.41605794801093,-0.06008577351906999,When,100
151.3752,-0.41575905172,-0.5954951401033198,-0.23602296333668019,When,100
1.0,0.678637880841,0.5153771574677717,0.8418986042142282,Where,100
28.769699999999997,0.13006890835,-0.04724735058846102,0.30738516728846105,Where,100
78.6681,-0.21701090292,-0.38950445468155553,-0.04451735115844446,Where,100
151.3752,-0.479370488298,-0.6625602352166442,-0.29618074137935585,Where,100
