composite_ID,TSVR_hours,test
A010_T1,1.0,T1
A010_T2,21.9,T2
A010_T3,80.88,T3
A010_T4,145.31,T4
A011_T1,1.0,T1
A011_T2,24.57,T2
A011_T3,72.55,T3
A011_T4,148.85,T4
A012_T1,1.0,T1
A012_T2,25.6,T2
A012_T3,166.33,T3
A012_T4,166.87,T4
A013_T1,1.0,T1
A013_T2,24.77,T2
A013_T3,79.66,T3
A013_T4,147.13,T4
A014_T1,1.0,T1
A014_T2,25.66,T2
A014_T3,70.56,T3
A014_T4,148.87,T4
A015_T1,1.0,T1
A015_T2,23.69,T2
A015_T3,70.59,T3
A015_T4,146.54,T4
A016_T1,1.0,T1
A016_T2,32.85,T2
A016_T3,80.64,T3
A016_T4,150.8,T4
A017_T1,1.0,T1
A017_T2,20.61,T2
A017_T3,61.28,T3
A017_T4,140.49,T4
A018_T1,1.0,T1
A018_T2,34.03,T2
A018_T3,83.64,T3
A018_T4,150.87,T4
A019_T1,1.0,T1
A019_T2,28.69,T2
A019_T3,83.68,T3
A019_T4,154.76,T4
A020_T1,1.0,T1
A020_T2,26.85,T2
A020_T3,78.25,T3
A020_T4,145.78,T4
A021_T1,1.0,T1
A021_T2,30.21,T2
A021_T3,74.19,T3
A021_T4,140.39,T4
A022_T1,1.0,T1
A022_T2,24.15,T2
A022_T3,74.46,T3
A022_T4,141.71,T4
A023_T1,1.0,T1
A023_T2,25.63,T2
A023_T3,72.2,T3
A023_T4,145.07,T4
A024_T1,1.0,T1
A024_T2,29.57,T2
A024_T3,91.47,T3
A024_T4,145.65,T4
A025_T1,1.0,T1
A025_T2,23.33,T2
A025_T3,72.94,T3
A025_T4,137.74,T4
A026_T1,1.0,T1
A026_T2,26.48,T2
A026_T3,75.46,T3
A026_T4,147.65,T4
A027_T1,1.0,T1
A027_T2,28.26,T2
A027_T3,74.58,T3
A027_T4,145.92,T4
A028_T1,1.0,T1
A028_T2,22.82,T2
A028_T3,72.26,T3
A028_T4,138.91,T4
A029_T1,1.0,T1
A029_T2,28.43,T2
A029_T3,93.26,T3
A029_T4,143.14,T4
A030_T1,1.0,T1
A030_T2,32.95,T2
A030_T3,71.93,T3
A030_T4,150.46,T4
A031_T1,1.0,T1
A031_T2,32.41,T2
A031_T3,71.56,T3
A031_T4,143.85,T4
A032_T1,1.0,T1
A032_T2,57.18,T2
A032_T3,80.16,T3
A032_T4,144.51,T4
A033_T1,1.0,T1
A033_T2,29.16,T2
A033_T3,72.6,T3
A033_T4,168.33,T4
A034_T1,1.0,T1
A034_T2,26.08,T2
A034_T3,74.28,T3
A034_T4,145.38,T4
A035_T1,1.0,T1
A035_T2,44.76,T2
A035_T3,79.98,T3
A035_T4,152.47,T4
A036_T1,1.0,T1
A036_T2,21.63,T2
A036_T3,71.47,T3
A036_T4,143.85,T4
A037_T1,1.0,T1
A037_T2,23.7,T2
A037_T3,72.08,T3
A037_T4,143.66,T4
A038_T1,1.0,T1
A038_T2,71.85,T2
A038_T3,72.86,T3
A038_T4,152.89,T4
A039_T1,1.0,T1
A039_T2,28.65,T2
A039_T3,98.84,T3
A039_T4,246.24,T4
A040_T1,1.0,T1
A040_T2,26.26,T2
A040_T3,71.28,T3
A040_T4,143.53,T4
A041_T1,1.0,T1
A041_T2,31.78,T2
A041_T3,75.74,T3
A041_T4,141.84,T4
A042_T1,1.0,T1
A042_T2,28.93,T2
A042_T3,72.17,T3
A042_T4,146.02,T4
A043_T1,1.0,T1
A043_T2,25.62,T2
A043_T3,64.94,T3
A043_T4,149.33,T4
A044_T1,1.0,T1
A044_T2,47.66,T2
A044_T3,91.63,T3
A044_T4,155.27,T4
A045_T1,1.0,T1
A045_T2,24.66,T2
A045_T3,72.23,T3
A045_T4,151.52,T4
A046_T1,1.0,T1
A046_T2,24.32,T2
A046_T3,73.05,T3
A046_T4,147.94,T4
A047_T1,1.0,T1
A047_T2,23.46,T2
A047_T3,76.85,T3
A047_T4,144.22,T4
A048_T1,1.0,T1
A048_T2,23.91,T2
A048_T3,81.15,T3
A048_T4,146.3,T4
A049_T1,1.0,T1
A049_T2,27.12,T2
A049_T3,111.38,T3
A049_T4,168.86,T4
A050_T1,1.0,T1
A050_T2,24.73,T2
A050_T3,93.39,T3
A050_T4,148.69,T4
A051_T1,1.0,T1
A051_T2,17.16,T2
A051_T3,65.63,T3
A051_T4,146.99,T4
A052_T1,1.0,T1
A052_T2,31.76,T2
A052_T3,80.98,T3
A052_T4,153.27,T4
A053_T1,1.0,T1
A053_T2,32.71,T2
A053_T3,78.28,T3
A053_T4,148.9,T4
A054_T1,1.0,T1
A054_T2,16.9,T2
A054_T3,72.83,T3
A054_T4,136.83,T4
A055_T1,1.0,T1
A055_T2,23.24,T2
A055_T3,74.48,T3
