composite_ID,theta_What,theta_Where,theta_When
A039_T4,-0.58008456,-0.5829361,-0.47295642
A040_T1,-0.6970588,-0.4017266,-0.18659891
A040_T2,-0.7691323,-0.48326045,-0.36371547
A040_T3,-0.77506536,-0.91053617,-0.43623802
A040_T4,-1.1014721,-0.80098236,-0.5220473
A041_T1,-0.14199288,-0.053022992,-0.09239064
A041_T2,-0.319344,-0.57343215,-0.5080048
A041_T3,-0.23154925,-0.5869637,-0.28127408
A041_T4,-0.62750417,-0.25168344,-0.5415185
A042_T1,-0.7107582,-0.9887161,-0.88528746
A042_T2,-1.0012134,-1.3712572,-1.3520074
A042_T3,-0.912052,-1.0677525,-1.5333139
A042_T4,-1.1347266,-1.3189137,-0.86586165
A043_T1,0.04892652,0.0764133,0.26159275
A043_T2,-0.10843749,0.14288305,-0.036807828
A043_T3,-0.13326636,-0.35368058,-0.13224447
A043_T4,-0.484459,-0.5119028,-0.2727149
A044_T1,-1.1892142,-1.0788252,-1.2621444
A044_T2,-1.0392059,-1.0115542,-0.732893
A044_T3,-1.1329389,-1.5923297,-1.4863783
A044_T4,-1.6890951,-2.1946876,-1.9410253
A045_T1,-0.6257483,-0.78722435,-0.23049356
A045_T2,-0.593401,-0.91305506,-0.5667067
A045_T3,-0.7782343,-0.6200845,-0.30196097
A045_T4,-0.9648333,-1.1087615,-0.6121528
A046_T1,-0.9063086,-0.8697148,-0.3950769
A046_T2,-1.1701665,-0.91280913,-1.0880048
A046_T3,-1.9860176,-1.6639705,-1.7858182
A046_T4,-1.0147238,-1.2999191,-0.65339905
A047_T1,-1.0830257,-0.74380946,-1.0930673
A047_T2,-0.6639803,-1.0145134,-0.46923438
A047_T3,-1.4815022,-1.471186,-1.6353317
A047_T4,-2.0934942,-2.3868499,-1.9790753
A048_T1,-0.6284435,-0.24701324,-0.270393
A048_T2,-0.5796271,-0.44145307,-0.40703955
A048_T3,-0.760365,-0.50626874,-0.30790168
A048_T4,-0.58579195,-0.6491903,-0.44391742
A049_T1,-0.2116448,-0.06294507,0.056422774
A049_T2,-0.5638283,-0.69370794,-0.49550664
A049_T3,-0.37564683,-0.38595775,-0.5376334
A049_T4,-0.5774049,-0.5832282,-0.36535683
A050_T1,-0.42287263,-0.36178616,-0.36584878
A050_T2,-0.43648311,-0.4725317,-0.30141634
A050_T3,-1.0299709,-0.75545967,-1.4891255
A050_T4,-1.0414252,-1.2916528,-1.1910441
A051_T1,-0.14727834,-0.26239568,0.18343249
A051_T2,-0.22153668,-0.33902845,0.13343063
A051_T3,-0.63959575,-0.7808797,-0.41977927
A051_T4,-0.6500405,-0.8386645,-0.45129406
A052_T1,-0.47576472,-0.56775326,-0.018610764
A052_T2,-0.6463823,-0.51569283,-1.0683197
A052_T3,-1.006661,-0.72437257,-0.97867095
A052_T4,-0.66724753,-0.96979094,-0.26739392
A053_T1,-0.5527678,-0.32716423,-0.08502038
A053_T2,-1.2998157,-1.31081,-1.1574997
A053_T3,-1.4460309,-1.3124368,-1.5159471
A053_T4,-1.3424246,-1.5747085,-1.2614434
A054_T1,-0.010698893,0.04480597,0.15533759
A054_T2,-0.32851967,-0.3352206,-0.26944205
A054_T3,-0.22610237,-0.33057252,-0.43893543
A054_T4,-0.47328517,-0.14014612,-0.20068726
A055_T1,-0.5363119,-0.26737776,-0.35800064
A055_T2,-0.8289479,-0.8997421,-1.0338244
A055_T3,-0.95640945,-0.8300395,-1.4997674
A055_T4,-0.93987375,-1.2196255,-0.83918184
A056_T1,-0.49617058,-0.7111716,-0.32862476
A056_T2,-0.98517495,-1.0561782,-1.2040669
A056_T3,-0.89595854,-0.7928314,-1.051764
A056_T4,-1.2052184,-0.98227644,-1.29618
A057_T1,-0.40966684,-0.52722853,-0.21358171
A057_T2,-0.32671973,-0.85633445,-0.37000984
A057_T3,-0.6543599,-1.1658437,-0.58418906
A057_T4,-1.3364934,-1.4252695,-1.476217
A058_T1,-0.50493246,-0.2113685,-0.18342066
A058_T2,-0.6090426,-0.6888368,-0.7613501
A058_T3,-0.5491983,-0.8918688,-0.3906964
A058_T4,-1.1876487,-1.1060226,-1.3270326
A059_T1,-0.73470205,-0.55872375,-0.7384075
A059_T2,-0.4889424,-0.543509,-0.7093997
A059_T3,-0.76569885,-0.7414035,-0.5706433
A059_T4,-0.7211721,-0.7605379,-0.13338895
A060_T1,-0.6521186,-0.7345365,-0.35611865
A060_T2,-0.32915124,-0.52909,-0.41408816
A060_T3,-0.52048606,-0.24922341,-0.57479054
A060_T4,-0.10856633,-0.16883858,-0.2654439
A061_T1,0.07041081,0.28313136,0.2538349
A061_T2,-0.22703744,0.017001087,-0.049571685
A061_T3,-0.27437422,-0.24850823,-0.6341318
A061_T4,-0.27913383,-0.35313225,0.111837454
A062_T1,-0.025706012,-0.430132,-0.164748
A062_T2,-0.8947107,-0.64850175,-0.7581154
A062_T3,-1.1198639,-0.8085027,-0.8484453
A062_T4,-1.6989232,-1.3478737,-1.3191681
A063_T1,-1.0210048,-1.3478978,-0.65157485
A063_T2,-1.7673504,-2.0114355,-1.9174051
A063_T3,-2.1477082,-2.317177,-2.1539063
A063_T4,-2.477313,-1.8540944,-2.374919
A064_T1,-0.4705508,-0.21037821,-0.42353612
A064_T2,-0.43880627,-0.7588211,-0.3590531
A064_T3,-0.6070419,-1.0215553,-0.39704904
A064_T4,-0.55356926,-0.7785181,-0.46549562
A065_T1,-0.7599667,-0.64995366,0.08937529
A065_T2,-1.4849308,-1.3680072,-1.383815
A065_T3,-2.2474854,-1.9698241,-2.246682
A065_T4,-1.7795594,-2.057982,-1.7254683
A066_T1,-0.81996965,-0.5925036,-0.31498852
A066_T2,-0.46592626,-0.80298775,-0.5624048
A066_T3,-0.8389682,-0.7284924,-1.1266986
A066_T4,-1.3690192,-1.3858626,-1.4521872
A067_T1,-0.47319022,-0.7475646,-0.20953402
A067_T2,-1.5407175,-1.2339615,-2.0746818
A067_T3,-1.3362082,-1.2788206,-1.3943987
A067_T4,-1.2376945,-1.7866027,-1.1951592
A068_T1,0.043350097,-0.06365305,0.5519894
A068_T2,-0.38292572,-0.010693989,-0.13739412
A068_T3,-0.39800465,-0.3387619,-0.36083764
A068_T4,-0.7517871,-0.6417966,-0.35325882
A069_T1,-0.9856775,-0.6827684,-0.56914175
A069_T2,-1.4256461,-1.4523125,-1.2960443
A069_T3,-1.7863635,-2.1103454,-1.5133365
A069_T4,-1.3407162,-1.4253707,-1.1899556
A070_T1,-0.29940233,-0.56214064,-0.1907042
A070_T2,-0.38949186,-0.66862917,-0.41843098
A070_T3,-0.965894,-1.2401359,-1.0528623
A070_T4,-1.3122176,-1.4741727,-1.3135697
A071_T1,-0.03096188,-0.20272009,-0.055496324
A071_T2,-0.709585,-0.8167532,-0.8283154
A071_T3,-1.4961342,-0.9436975,-1.1486038
A071_T4,-0.97358733,-0.9248061,-0.63722336
A072_T1,-0.007103957,-0.06567177,-0.18340689
A072_T2,-0.044950858,-0.19989994,-0.5217862
A072_T3,-0.5401528,-0.6804046,-0.8697994
A072_T4,-0.7525621,-0.8203476,-0.78975534
A073_T1,-0.83740723,-0.9430426,-0.4960986
A073_T2,-1.1371781,-0.90134287,-0.86024266
A073_T3,-1.0209675,-0.81500846,-0.8511773
A073_T4,-1.0217786,-1.2174141,-0.8683183
A074_T1,-0.18597467,-0.31399783,-0.34152573
A074_T2,-0.53408575,-0.6636127,-0.42513478
A074_T3,-0.86386716,-0.84206283,-0.23766808
A074_T4,-0.7869516,-0.7249949,0.065352984
A075_T1,-0.61729574,-0.59508604,-0.61248755
A075_T2,-0.6755973,-0.4867723,-0.48478758
A075_T3,-1.5873282,-1.6831306,-1.4838032
A075_T4,-1.1416014,-0.78669363,-1.5544668
A076_T1,-0.84134424,-0.7429717,-0.53186536
A076_T2,-0.8928892,-1.1343815,-0.9322328
A076_T3,-1.2276068,-1.0241452,-1.0961763
A076_T4,-1.6442255,-1.6557899,-1.5946274
A077_T1,-0.29585537,-0.16781874,-0.6221063
A077_T2,-0.53061026,-0.8854789,-0.28609315
A077_T3,-0.7001903,-0.8848828,0.0030661898
A077_T4,-0.4655254,-0.53065467,-0.49924725
