composite_ID,theta_What,theta_Where,theta_When
A087_T2,1.0223712,0.9016217,0.23852973
A087_T3,0.53783053,0.21317299,-0.4597207
A087_T4,0.8739344,0.33601102,-0.89415056
A088_T1,-0.13302828,0.488286,0.102710515
A088_T2,0.68090934,0.8503725,0.427203
A088_T3,-0.15474798,0.09471131,0.27176479
A088_T4,0.12153509,0.5010605,0.08162263
A089_T1,1.7988781,1.2640462,0.8621174
A089_T2,0.8016815,0.9612729,0.664206
A089_T3,0.33276638,0.23240505,-0.11982057
A089_T4,-0.047085766,0.27376997,-0.62059766
A090_T1,-0.97624826,-0.59878546,0.15773875
A090_T2,-0.8481622,-0.8018884,-0.5929859
A090_T3,-1.6789742,-1.5006781,-1.0464703
A090_T4,-1.7028028,-1.208907,-0.661908
A091_T1,0.80779296,0.8984745,0.91154855
A091_T2,0.31605542,0.2671938,0.16202284
A091_T3,0.106944054,-0.16796325,-0.68400383
A091_T4,0.11557507,-0.047618575,-0.9814974
A092_T1,0.3520036,0.5168742,-0.7171196
A092_T2,0.12881538,0.25904572,-0.26639915
A092_T3,-0.208342,-0.3265568,-0.98642325
A092_T4,-0.88486344,-0.2821617,-0.59627813
A093_T1,0.79724985,1.372792,1.9085764
A093_T2,-0.320619,0.47719043,1.4060937
A093_T3,-0.6391208,0.05668932,0.9262369
A093_T4,-1.0721954,-0.26243943,0.6522124
A094_T1,-0.117767975,-0.18714571,-0.05898093
A094_T2,-0.46431118,-0.51752,0.2860124
A094_T3,-1.1637247,-1.483635,-0.5332728
A094_T4,-0.84041435,-1.2376266,-1.363332
A095_T1,0.62459344,1.0383806,1.0645463
A095_T2,-0.07929593,-0.19728795,0.21105714
A095_T3,0.06406841,-0.18621647,0.17395338
A095_T4,-0.5523047,-0.5228787,0.16098651
A096_T1,0.5438646,1.11829,1.6483939
A096_T2,-0.24021225,0.54621583,1.2862716
A096_T3,-0.13885248,0.6747714,1.5068442
A096_T4,0.08453484,0.7535761,1.4824094
A097_T1,0.007555119,-0.6054455,-0.15038106
A097_T2,-1.3507438,-0.86325246,-0.0679462
A097_T3,-1.1234001,-0.58220613,0.34340164
A097_T4,-1.3516196,-0.94127893,-0.6421057
A098_T1,0.6142812,0.8259491,0.74023485
A098_T2,0.42022583,0.19363531,-0.27293673
A098_T3,0.86099195,1.0400692,0.64951617
A098_T4,0.5447764,0.35191956,0.5982778
A099_T1,1.62814,1.398868,1.2836928
A099_T2,1.2389412,1.4392582,0.7319454
A099_T3,0.9480827,0.7189396,0.6911144
A099_T4,1.2942866,1.2968155,0.7787554
A100_T1,-0.010470745,0.87422824,1.8261513
A100_T2,-0.26305306,0.91958153,1.9218776
A100_T3,0.05599848,0.57554746,1.611555
A100_T4,-0.47966006,-0.0028434598,1.1321312
A101_T1,-0.24537537,-0.31849185,-0.28269854
A101_T2,-0.6077567,-0.7193976,-0.76570874
A101_T3,-1.7241049,-2.1082728,-1.7474173
A101_T4,-1.7069975,-1.6341498,-1.6566659
A102_T1,0.7787876,0.86285913,0.40624583
A102_T2,0.61114806,0.21021327,0.0576672
A102_T3,0.27444145,-0.2510155,-1.6707351
A102_T4,0.42317986,-0.15439707,-1.6053035
A103_T1,-1.6385428,-1.7959346,-1.5942272
A103_T2,-2.598691,-2.9300141,-1.7682257
A103_T3,-2.3614843,-2.6242678,-1.8832636
A103_T4,-3.0464115,-2.6838179,-1.2489905
A104_T1,1.6138388,1.779639,1.0286368
A104_T2,1.0220463,0.7880577,-0.3241287
A104_T3,0.4812982,-0.025808405,-1.2740018
A104_T4,-1.3308946,-1.8218672,-2.3180053
A105_T1,1.7355443,1.9104522,1.6383241
A105_T2,1.2362686,1.2345402,1.1226085
A105_T3,0.51175326,0.5764208,-0.09322317
A105_T4,-0.085163504,0.5058135,0.45964625
A106_T1,1.4419143,0.75347304,0.6714463
A106_T2,0.52502817,0.049917344,-0.0925156
A106_T3,0.6690886,0.4332857,0.22721194
A106_T4,0.34149697,-0.032226257,-0.7576169
A107_T1,-1.7034028,-1.6308054,-1.0215781
A107_T2,-1.6004415,-0.7624829,0.3707026
A107_T3,-1.8906562,-1.0135703,-0.12095768
A107_T4,-1.9085972,-1.6421236,-0.92464155
A108_T1,-0.076599054,-0.4636177,-0.19981498
A108_T2,-1.953766,-1.9671607,-0.49290237
A108_T3,-0.6508035,-0.6616915,0.1525917
A108_T4,-0.8216549,-0.71917284,0.097682364
A109_T1,-0.08069838,0.202598,1.4259844
A109_T2,-0.39955252,-0.20400009,0.81896096
A109_T3,-0.17963219,0.2744838,1.2695006
A109_T4,-0.5578063,0.12525354,1.2759217
