UID,location,random_intercept,random_slope
A010,Source,0.22781932002050367,0.019298512442498993
A011,Source,-0.12407107519908682,-0.010785194984695655
A012,Source,0.17281458192270854,0.01752452879393456
A013,Source,-0.24557561071216027,-0.023671595121896965
A014,Source,0.06773439701080096,0.004512473991855837
A015,Source,0.48272389497438667,0.04885870275487829
A016,Source,0.2076940328015075,0.013959973943140878
A017,Source,0.2523460956231091,0.03672334277849985
A018,Source,0.15715878306062747,0.015368990383685712
A019,Source,-0.42448249044631975,-0.03860359232814053
A020,Source,-0.18386554751308332,-0.023719195477516216
A021,Source,0.3362081166739155,0.03645572955375374
A022,Source,0.32744612623718417,0.04194853763636587
A023,Source,0.21583773966773095,0.022217521222584812
A024,Source,-0.10217406838850177,-0.013476851163683
A025,Source,0.2959023616310314,0.027518934932597636
A026,Source,0.13036913561679966,0.013137957583136916
A027,Source,0.06529968607849418,0.005310293405971813
A028,Source,-0.03379948206180078,-0.01051320871207268
A029,Source,0.3565041473358047,0.03575272489035334
A030,Source,0.4827801530719697,0.05635849147008846
A031,Source,-0.00383219586391027,-0.007855175143792232
A032,Source,0.23827190973189022,0.027110027806220204
A033,Source,0.10132801194984568,0.015627156269245542
A034,Source,0.4148664685237089,0.04003869597433254
A035,Source,-0.14217773055290173,-0.010106415320019447
A036,Source,-0.13314439392322072,-0.018144763663939113
A037,Source,0.17659683965283174,0.014751170745671283
A038,Source,0.19633700967277828,0.021419699294697447
A039,Source,0.4729998501796043,0.05147889643214756
A040,Source,-0.413035988690512,-0.04182326781106071
A041,Source,0.10416597507642819,0.011591690790480018
A042,Source,-0.5371953620450141,-0.054591274845497466
A043,Source,0.04949191505356097,0.004533434162615718
A044,Source,-0.4586276327849583,-0.0449536398988422
A045,Source,-0.33942290077648285,-0.029996011173808842
A046,Source,-0.565496872740161,-0.054620775979562754
A047,Source,-0.4471158363909775,-0.04836078921936927
A048,Source,0.17096408298691265,0.01486677282027421
A049,Source,0.1106555199720581,0.011591622986098424
A050,Source,-0.22039598579110825,-0.020802190162840652
A051,Source,-0.015161596499441033,-0.0064221628378976795
A052,Source,0.029456393106782303,0.0008589758604441966
A053,Source,0.054945732733523704,-9.826667792360053e-05
A054,Source,0.42210095937744363,0.054805777831739726
A055,Source,-0.2658547896216,-0.03188777771222115
A056,Source,-0.06772487038248928,-0.012097974290867019
A057,Source,-0.4472881770814244,-0.04940185398682753
A058,Source,0.01702570286924214,-0.0031028138289049094
A059,Source,0.48857509910548563,0.05685104612741783
A060,Source,0.07199177437774747,0.01833466841128197
A061,Source,0.2689624871494002,0.020844652357082445
A062,Source,-0.11476539712264293,-0.01566437872018517
A063,Source,0.18697790116743973,0.013690413327423618
A064,Source,0.08377941860791764,0.004575251704971563
A065,Source,-0.5362658889516297,-0.050475235347836704
A066,Source,-0.3582528957202806,-0.039363788513914165
A067,Source,-0.5134219686021848,-0.05912009240707214
A068,Source,0.22793231670408395,0.022099435475451325
A069,Source,-0.5195642152033085,-0.04918833564512173
A070,Source,-0.22823604149634,-0.02374131089685794
A071,Source,0.1812411548821869,0.021267725570221
A072,Source,0.16142624179992562,0.011592438256738752
A073,Source,0.572312054339763,0.06461146224649505
A074,Source,0.015324520205168531,-0.003901540455738131
A075,Source,-0.04664155624401906,-0.013084338592409551
A076,Source,-0.3967640733093476,-0.043519211080496126
A077,Source,0.014872569534556932,0.0015651838328500291
A078,Source,-0.3151953656847464,-0.03128135707753447
A079,Source,-0.12253592034991126,-0.011429464019594496
A080,Source,0.015480989354767561,0.003609202157572785
A081,Source,0.10880042762708057,0.015586759522109195
A082,Source,0.23399252658293998,0.028763017524283188
A083,Source,0.2789670534804552,0.026729741291296967
A084,Source,0.043339850159987515,0.0020191841334084213
A085,Source,0.07804401623702728,0.01172644264829382
A086,Source,-0.0889683371082749,-0.015373546533263161
A087,Source,0.1958288643164733,0.028951711896437565
