composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age,Age_c,Time,Time_recip,Time_log
A023_T3,A023,T3,0.6461154,0.07339282,72.2,26.0,-18.57,72.2,0.01366120218579235,4.293195420967266
A023_T4,A023,T4,0.7143073,0.07339282,145.07,26.0,-18.57,145.07,0.006846032724036421,4.984085958862719
A024_T1,A024,T1,0.5364075,0.07339282,1.0,29.0,-15.57,1.0,0.5,0.6931471805599453
A024_T2,A024,T2,0.20124167,0.07339282,29.57,29.0,-15.57,29.57,0.03271180896303565,3.420019135902743
A024_T3,A024,T3,0.3713352,0.07339282,91.47,29.0,-15.57,91.47,0.010814318157240186,4.526884267589547
A024_T4,A024,T4,0.009039989,0.07339282,145.65,29.0,-15.57,145.65,0.006818956699624957,4.9880487954234605
A025_T1,A025,T1,0.7685537,0.07339282,1.0,26.0,-18.57,1.0,0.5,0.6931471805599453
A025_T2,A025,T2,0.37906578,0.07339282,23.33,26.0,-18.57,23.33,0.04110152075626799,3.1917101567954314
A025_T3,A025,T3,-0.37838924,0.07339282,72.94,26.0,-18.57,72.94,0.01352447930754666,4.303253953508486
A025_T4,A025,T4,-2.0631132,0.07339282,137.74,26.0,-18.57,137.74,0.00720772668300418,4.932601677957155
A026_T1,A026,T1,0.56117547,0.07339282,1.0,29.0,-15.57,1.0,0.5,0.6931471805599453
A026_T2,A026,T2,0.14260052,0.07339282,26.48,29.0,-15.57,26.48,0.036390101892285295,3.3134584673541485
A026_T3,A026,T3,0.47051916,0.07339282,75.46,29.0,-15.57,75.46,0.013078733978550878,4.336767728268267
A026_T4,A026,T4,0.6031819,0.07339282,147.65,29.0,-15.57,147.65,0.006727211570803902,5.001594549444107
A027_T1,A027,T1,1.0715036,0.07339282,1.0,28.0,-16.57,1.0,0.5,0.6931471805599453
A027_T2,A027,T2,0.56911445,0.07339282,28.26,28.0,-16.57,28.26,0.034176349965823645,3.3762213955919784
A027_T3,A027,T3,-0.28420392,0.07339282,74.58,28.0,-16.57,74.58,0.013231013495633766,4.325191697921343
A027_T4,A027,T4,-0.9887715,0.07339282,145.92,28.0,-16.57,145.92,0.006806425265450586,4.989888220951467
A028_T1,A028,T1,1.2547947,0.07339282,1.0,26.0,-18.57,1.0,0.5,0.6931471805599453
A028_T2,A028,T2,0.59293026,0.07339282,22.82,26.0,-18.57,22.82,0.041981528127623846,3.170525563927154
A028_T3,A028,T3,-0.35394546,0.07339282,72.26,26.0,-18.57,72.26,0.01365001365001365,4.294014757350668
A028_T4,A028,T4,-0.23738918,0.07339282,138.91,26.0,-18.57,138.91,0.007147451933385748,4.940999358745194
A029_T1,A029,T1,1.6053915,0.07339282,1.0,25.0,-19.57,1.0,0.5,0.6931471805599453
A029_T2,A029,T2,1.1294532,0.07339282,28.43,25.0,-19.57,28.43,0.03397893306150187,3.382014562245381
A029_T3,A029,T3,0.56202656,0.07339282,93.26,25.0,-19.57,93.26,0.010608953957139825,4.546056921495585
A029_T4,A029,T4,0.8559158,0.07339282,143.14,25.0,-19.57,143.14,0.006937699458859443,4.970785049496295
A030_T1,A030,T1,0.23597223,0.07339282,1.0,31.0,-13.57,1.0,0.5,0.6931471805599453
