composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age
A010_T1,A010,T1,0.9966144,0.07339282,1.0,22.0
A010_T2,A010,T2,0.15345456,0.07339282,21.9,22.0
A010_T3,A010,T3,-0.33591253,0.07339282,80.88,22.0
A010_T4,A010,T4,-0.29618156,0.07339282,145.31,22.0
A011_T1,A011,T1,2.008585,0.07339282,1.0,21.0
A011_T2,A011,T2,0.74341935,0.07339282,24.57,21.0
A011_T3,A011,T3,0.42186868,0.07339282,72.55,21.0
A011_T4,A011,T4,-0.1016792,0.07339282,148.85,21.0
A012_T1,A012,T1,1.096769,0.07339282,1.0,21.0
A012_T2,A012,T2,0.21001981,0.07339282,25.6,21.0
A012_T3,A012,T3,0.28759786,0.07339282,166.33,21.0
A012_T4,A012,T4,0.20642641,0.07339282,166.87,21.0
A013_T1,A013,T1,0.14108829,0.07339282,1.0,22.0
A013_T2,A013,T2,-0.5918755,0.07339282,24.77,22.0
A013_T3,A013,T3,-0.03260356,0.07339282,79.66,22.0
A013_T4,A013,T4,-0.68100774,0.07339282,147.13,22.0
A014_T1,A014,T1,1.5729513,0.07339282,1.0,22.0
A014_T2,A014,T2,1.2684107,0.07339282,25.66,22.0
A014_T3,A014,T3,1.0899367,0.07339282,70.56,22.0
A014_T4,A014,T4,0.5533023,0.07339282,148.87,22.0
A015_T1,A015,T1,1.4229563,0.07339282,1.0,23.0
A015_T2,A015,T2,0.4972281,0.07339282,23.69,23.0
A015_T3,A015,T3,0.28848577,0.07339282,70.59,23.0
A015_T4,A015,T4,0.38678306,0.07339282,146.54,23.0
A016_T1,A016,T1,0.6762369,0.07339282,1.0,21.0
A016_T2,A016,T2,0.21624197,0.07339282,32.85,21.0
A016_T3,A016,T3,-0.04119006,0.07339282,80.64,21.0
A016_T4,A016,T4,-0.40759152,0.07339282,150.8,21.0
A017_T1,A017,T1,1.2367781,0.07339282,1.0,24.0
A017_T2,A017,T2,2.2045667,0.07339282,20.61,24.0
A017_T3,A017,T3,2.0331683,0.07339282,61.28,24.0
A017_T4,A017,T4,1.1423697,0.07339282,140.49,24.0
A018_T1,A018,T1,0.4011214,0.07339282,1.0,23.0
A018_T2,A018,T2,-0.6122024,0.07339282,34.03,23.0
A018_T3,A018,T3,-0.9603171,0.07339282,83.64,23.0
