age_tertile,test,mean_theta,se_theta,CI_lower,CI_upper,N
High,T1,0.5424212193939394,0.16038457147649376,0.2280674593000116,0.8567749794878672,33
High,T2,0.03275832945454544,0.16607908407875857,-0.29275667533982136,0.3582733342489122,33
High,T3,-0.27670904893939396,0.16448164526568737,-0.5990930736601412,0.045674975781353266,33
High,T4,-0.49919123109090907,0.1625440779994731,-0.8177776239698764,-0.1806048382119418,33
Low,T1,0.9001882878787879,0.13151924970614953,0.6424105584547348,1.157966017302841,33
Low,T2,0.3492626362727273,0.1434341221115415,0.06813175693410595,0.6303935156113487,33
Low,T3,0.10773238712121211,0.12757772935714765,-0.14231996241879727,0.35778473666122146,33
Low,T4,-0.24997883636363638,0.14855856550309318,-0.5411536247496991,0.04119595202242626,33
Medium,T1,0.6859249828529412,0.1444468035132327,0.4028092479670052,0.9690407177388773,34
Medium,T2,-0.0052648564117647005,0.15010597266684866,-0.2994725628387881,0.28894285001525866,34
Medium,T3,-0.46613839670588236,0.14250804947488221,-0.7454541736766516,-0.18682261973511322,34
Medium,T4,-0.7300085886764706,0.16759508583795996,-1.0584949569188722,-0.40152222043406904,34
