term,estimate,se,z,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
Age_c,-0.010686303212409121,0.006178695280380819,-1.7295404171073605,0.08371241936650611,0.08371241936650611,False,False
Time_log:Age_c,0.00020321752336758465,0.0010645008125730053,0.19090405659380147,0.8486007619236772,0.8486007619236772,False,False
