composite_ID,UID,test,TSVR_hours,log_TSVR,paradigm,theta
A032_T4,A032,T4,144.51,4.980244812772187,IFR,0.18063033
A033_T1,A033,T1,1.0,0.6931471805599453,IFR,-0.03859947
A033_T2,A033,T2,29.16,3.4065165431397553,IFR,-0.11002181
A033_T3,A033,T3,72.6,4.298645025734831,IFR,0.6104876
A033_T4,A033,T4,168.33,5.131849473677249,IFR,-0.17260191
A034_T1,A034,T1,1.0,0.6931471805599453,IFR,1.518007
A034_T2,A034,T2,26.08,3.298795448044074,IFR,1.4478754
A034_T3,A034,T3,74.28,4.3212144952771245,IFR,0.5345562
A034_T4,A034,T4,145.38,4.986205980173081,IFR,-0.11561268
A035_T1,A035,T1,1.0,0.6931471805599453,IFR,0.035047524
A035_T2,A035,T2,44.76,3.8234103470715426,IFR,0.6542571
A035_T3,A035,T3,79.98,4.394202210604015,IFR,-0.27981663
A035_T4,A035,T4,152.47,5.033505108187003,IFR,-0.5662699
A036_T1,A036,T1,1.0,0.6931471805599453,IFR,-0.7164409
A036_T2,A036,T2,21.63,3.119276459645446,IFR,-1.2684394
A036_T3,A036,T3,71.47,4.28317268312119,IFR,-1.1275177
A036_T4,A036,T4,143.85,4.975698724215359,IFR,-1.5840323
A037_T1,A037,T1,1.0,0.6931471805599453,IFR,0.8888299
A037_T2,A037,T2,23.7,3.2068032436339315,IFR,0.6731586
A037_T3,A037,T3,72.08,4.291554731509806,IFR,-0.525637
A037_T4,A037,T4,143.66,4.974386161421135,IFR,-0.97713006
A038_T1,A038,T1,1.0,0.6931471805599453,IFR,1.3778287
A038_T2,A038,T2,71.85,4.288402532641213,IFR,1.5058181
A038_T3,A038,T3,72.86,4.3021714094244174,IFR,1.3470376
A038_T4,A038,T4,152.89,5.0362380614757605,IFR,0.7396804
A039_T1,A039,T1,1.0,0.6931471805599453,IFR,2.1263494
A039_T2,A039,T2,28.65,3.3894621254437345,IFR,1.8127987
A039_T3,A039,T3,98.84,4.603568904621118,IFR,1.1250316
A039_T4,A039,T4,246.24,5.510359524791073,IFR,0.46434185
A040_T1,A040,T1,1.0,0.6931471805599453,IFR,-0.0072261244
A040_T2,A040,T2,26.26,3.3054204262683866,IFR,0.19315363
A040_T3,A040,T3,71.28,4.280547465724028,IFR,-0.89366555
A040_T4,A040,T4,143.53,4.97348709846075,IFR,-1.3991143
A041_T1,A041,T1,1.0,0.6931471805599453,IFR,1.1841989
A041_T2,A041,T2,31.78,3.4898185733156835,IFR,-0.3145056
A041_T3,A041,T3,75.74,4.340423084818807,IFR,0.23010083
A041_T4,A041,T4,141.84,4.961725122726247,IFR,-0.18036772
A042_T1,A042,T1,1.0,0.6931471805599453,IFR,-1.5427378
A042_T2,A042,T2,28.93,3.3988613218646075,IFR,-0.4776334
A042_T3,A042,T3,72.17,4.292785500895938,IFR,-0.57906073
A042_T4,A042,T4,146.02,4.9905686319459415,IFR,-0.71413696
A043_T1,A043,T1,1.0,0.6931471805599453,IFR,2.1977189
A043_T2,A043,T2,25.62,3.2816628129669656,IFR,1.7545252
A043_T3,A043,T3,64.94,4.188745237643585,IFR,1.4070431
A043_T4,A043,T4,149.33,5.012832877639743,IFR,0.7182775
A044_T1,A044,T1,1.0,0.6931471805599453,IFR,-1.2280133
A044_T2,A044,T2,47.66,3.8848573373553763,IFR,-0.50659543
