contrast,estimate,se,z,p_uncorrected,p_bonferroni,cohens_d
IFR vs ICR,0.048994,0.018490,2.649768,0.008055,0.024164,0.113154
IRE vs ICR,-0.013743,0.018490,-0.743266,0.457321,1.000000,-0.031740
IFR vs IRE,0.062737,0.018490,3.393034,0.000691,0.002074,0.144894
