time,probability,CI_lower,CI_upper,paradigm,n
1.0,0.7303415051706018,0.6735344831750608,0.7804853445742317,ICR,100
28.769699999999997,0.5396831686871499,0.47309825703318875,0.604881162702049,ICR,100
78.6681,0.42366507387953284,0.3609161059936155,0.4889764670931499,ICR,100
151.3752,0.30654055182026924,0.24868951223158464,0.3712001486987876,ICR,100
1.0,0.6666066487767995,0.6008351811929684,0.7264743908092366,IFR,100
28.769699999999997,0.5658782290364027,0.503534851077737,0.626204476473407,IFR,100
78.6681,0.43797330098414033,0.37438338425285905,0.5036685782979095,IFR,100
151.3752,0.31814175005478856,0.2610645798578986,0.38125924710318926,IFR,100
1.0,0.7163250759943306,0.6657484290837038,0.7619848441996463,IRE,100
28.769699999999997,0.5421770990813639,0.48316904809027,0.6000251238045939,IRE,100
78.6681,0.4155427489545732,0.35982760607767283,0.47350388599291554,IRE,100
151.3752,0.32458820253666243,0.27236823467028587,0.3815698362864266,IRE,100
