item_name,Difficulty,Overall_Discrimination,Discrim_IFR,Discrim_ICR,Discrim_IRE
TC_ICR-D-i1,0.6479376554489136,1.397622,0.0,1.397622,0.0
TC_ICR-D-i2,0.724794864654541,1.8125323,0.0,1.8125323,0.0
TC_ICR-D-i3,0.3899454474449157,1.2581302,0.0,1.2581302,0.0
TC_ICR-D-i4,0.5181081295013428,1.6528983,0.0,1.6528983,0.0
TC_ICR-D-i5,0.9293159246444702,1.4315171,0.0,1.4315171,0.0
TC_ICR-D-i6,0.6561130285263062,1.3733894,0.0,1.3733894,0.0
TC_ICR-N-i1,-0.8938618898391724,1.6323109,0.0,1.6323109,0.0
TC_ICR-N-i2,-1.0260469913482666,1.5990769,0.0,1.5990769,0.0
TC_ICR-N-i3,-1.3713889122009275,1.5999699,0.0,1.5999699,0.0
TC_ICR-N-i4,-1.3031439781188965,1.6283588,0.0,1.6283588,0.0
TC_ICR-N-i5,-0.9722233414649964,1.740834,0.0,1.740834,0.0
TC_ICR-N-i6,-1.0994257926940918,1.4720339,0.0,1.4720339,0.0
TC_ICR-O-i1,1.5903892517089844,1.474957,0.0,1.474957,0.0
TC_ICR-O-i2,1.4707584381103516,1.612983,0.0,1.612983,0.0
TC_ICR-O-i3,1.0068442821502686,1.5212516,0.0,1.5212516,0.0
TC_ICR-O-i4,1.308854341506958,1.2608199,0.0,1.2608199,0.0
TC_ICR-O-i5,1.558598518371582,1.359613,0.0,1.359613,0.0
TC_ICR-O-i6,1.63235342502594,1.6137705,0.0,1.6137705,0.0
TC_ICR-U-i1,-0.0603329837322235,1.8372012,0.0,1.8372012,0.0
TC_ICR-U-i2,-0.3173803389072418,1.62696,0.0,1.62696,0.0
TC_ICR-U-i3,-0.3119982481002807,1.8558995,0.0,1.8558995,0.0
TC_ICR-U-i4,-0.3714593350887298,1.5665252,0.0,1.5665252,0.0
TC_ICR-U-i5,-0.0470296889543533,1.736885,0.0,1.736885,0.0
TC_ICR-U-i6,0.0179667472839355,1.4273553,0.0,1.4273553,0.0
TC_IFR-D-i1,0.6645503640174866,1.0565846,1.0565846,0.0,0.0
TC_IFR-D-i2,0.6976940631866455,1.4687194,1.4687194,0.0,0.0
TC_IFR-D-i3,0.6861159801483154,1.5316522,1.5316522,0.0,0.0
TC_IFR-D-i4,0.8628649711608887,1.827663,1.827663,0.0,0.0
TC_IFR-D-i5,1.1995223760604858,1.6236062,1.6236062,0.0,0.0
TC_IFR-D-i6,1.408806324005127,1.666241,1.666241,0.0,0.0
TC_IFR-N-i1,0.0168801993131637,1.5611051,1.5611051,0.0,0.0
TC_IFR-N-i2,0.3423391580581665,1.2593005,1.2593005,0.0,0.0
TC_IFR-N-i3,-0.2987249493598938,1.0427974,1.0427974,0.0,0.0
TC_IFR-N-i4,-0.3868157863616943,0.7575973,0.7575973,0.0,0.0
TC_IFR-N-i5,0.5114697813987732,1.2276843,1.2276843,0.0,0.0
TC_IFR-N-i6,0.4097927212715149,1.4039807,1.4039807,0.0,0.0
TC_IFR-O-i1,1.2148451805114746,1.309536,1.309536,0.0,0.0
TC_IFR-O-i2,1.446988582611084,1.6920663,1.6920663,0.0,0.0
TC_IFR-O-i3,1.0658986568450928,1.7278079,1.7278079,0.0,0.0
TC_IFR-O-i4,1.731401443481445,1.8412118,1.8412118,0.0,0.0
TC_IFR-O-i5,1.879246950149536,1.9135339,1.9135339,0.0,0.0
TC_IFR-O-i6,1.9758144617080688,1.8329595,1.8329595,0.0,0.0
TC_IFR-U-i1,-0.5613893866539001,1.2813069,1.2813069,0.0,0.0
TC_IFR-U-i2,0.113564945757389,1.3145798,1.3145798,0.0,0.0
TC_IFR-U-i3,-0.0297909528017044,1.524153,1.524153,0.0,0.0
TC_IFR-U-i4,0.6077619791030884,1.8467648,1.8467648,0.0,0.0
TC_IFR-U-i5,0.7360897064208984,1.8331058,1.8331058,0.0,0.0
TC_IFR-U-i6,1.4398304224014282,1.6363422,1.6363422,0.0,0.0
TC_IRE-D-i1,0.410455048084259,1.1849155,0.0,0.0,1.1849155
TC_IRE-D-i2,0.6060747504234314,1.7711034,0.0,0.0,1.7711034
TC_IRE-D-i3,0.2045848965644836,1.3252897,0.0,0.0,1.3252897
TC_IRE-D-i4,0.3778132200241089,1.5641645,0.0,0.0,1.5641645
TC_IRE-D-i5,0.6558367609977722,1.3053789,0.0,0.0,1.3053789
TC_IRE-D-i6,0.4539420008659363,1.3449318,0.0,0.0,1.3449318
TC_IRE-N-i1,-2.484069347381592,1.2136103,0.0,0.0,1.2136103
TC_IRE-N-i2,-2.4600980281829834,1.3694943,0.0,0.0,1.3694943
TC_IRE-N-i3,-2.0861740112304688,1.2541175,0.0,0.0,1.2541175
TC_IRE-N-i4,-2.2946157455444336,1.3547918,0.0,0.0,1.3547918
TC_IRE-N-i5,-2.36896014213562,1.1947271,0.0,0.0,1.1947271
TC_IRE-N-i6,-2.4813058376312256,1.158665,0.0,0.0,1.158665
TC_IRE-O-i1,1.7567737102508545,1.2288561,0.0,0.0,1.2288561
TC_IRE-O-i2,1.5449035167694092,1.534536,0.0,0.0,1.534536
TC_IRE-O-i3,0.967710018157959,1.3995342,0.0,0.0,1.3995342
TC_IRE-O-i4,1.2039669752120972,1.2646424,0.0,0.0,1.2646424
TC_IRE-O-i5,1.5229816436767578,1.3441619,0.0,0.0,1.3441619
TC_IRE-O-i6,1.5858010053634644,1.6636546,0.0,0.0,1.6636546
TC_IRE-U-i1,-0.4972553253173828,1.6044824,0.0,0.0,1.6044824
TC_IRE-U-i2,-0.6805577874183655,1.3413913,0.0,0.0,1.3413913
TC_IRE-U-i3,-0.6560120582580566,1.5359156,0.0,0.0,1.5359156
TC_IRE-U-i4,-0.6053128838539124,1.2620066,0.0,0.0,1.2620066
TC_IRE-U-i5,-0.283898115158081,1.5496622,0.0,0.0,1.5496622
TC_IRE-U-i6,-0.3518015742301941,1.3441811,0.0,0.0,1.3441811
