composite_ID,UID,test,paradigm,TSVR_hours,ma_theta,ma_theta_se
A033_T2,A033,T2,IFR,29.16,-0.6374527502924002,0.0
A033_T3,A033,T3,IFR,72.6,-0.7758931294035871,0.0
A033_T4,A033,T4,IFR,168.33,-1.0809782466299667,0.0
A034_T1,A034,T1,IFR,1.0,-0.5477087107949089,0.0
A034_T2,A034,T2,IFR,26.08,-0.6276369959723621,0.0
A034_T3,A034,T3,IFR,74.28,-0.7812471772145171,0.0
A034_T4,A034,T4,IFR,145.38,-1.0078381292127996,0.0
A035_T1,A035,T1,IFR,1.0,-0.5477087107949089,0.0
A035_T2,A035,T2,IFR,44.76,-0.6871689085367492,0.0
A035_T3,A035,T3,IFR,79.98,-0.7994126965730292,0.0
A035_T4,A035,T4,IFR,152.47,-1.030433485748212,0.0
A036_T1,A036,T1,IFR,1.0,-0.5477087107949089,0.0
A036_T2,A036,T2,IFR,21.63,-0.6134551431398395,0.0
A036_T3,A036,T3,IFR,71.47,-0.7722918948640927,0.0
A036_T4,A036,T4,IFR,143.85,-1.0029621213849884,0.0
A037_T1,A037,T1,IFR,1.0,-0.5477087107949089,0.0
A037_T2,A037,T2,IFR,23.7,-0.6200520949068782,0.0
A037_T3,A037,T3,IFR,72.08,-0.7742359241287755,0.0
A037_T4,A037,T4,IFR,143.66,-1.0023566040730378,0.0
A038_T1,A038,T1,IFR,1.0,-0.5477087107949089,0.0
A038_T2,A038,T2,IFR,71.85,-0.7735029294879934,0.0
A038_T3,A038,T3,IFR,72.86,-0.7767217320409929,0.0
A038_T4,A038,T4,IFR,152.89,-1.0317719977009445,0.0
A039_T1,A039,T1,IFR,1.0,-0.5477087107949089,0.0
A039_T2,A039,T2,IFR,28.65,-0.6358274143497965,0.0
A039_T3,A039,T3,IFR,98.84,-0.8595182571171588,0.0
A039_T4,A039,T4,IFR,246.24,-1.3292722138618398,0.0
A040_T1,A040,T1,IFR,1.0,-0.5477087107949089,0.0
A040_T2,A040,T2,IFR,26.26,-0.6282106439521046,0.0
A040_T3,A040,T3,IFR,71.28,-0.7716863775521422,0.0
A040_T4,A040,T4,IFR,143.53,-1.001942302754335,0.0
A041_T1,A041,T1,IFR,1.0,-0.5477087107949089,0.0
A041_T2,A041,T2,IFR,31.78,-0.6458025153308742,0.0
A041_T3,A041,T3,IFR,75.74,-0.7859000997168728,0.0
A041_T4,A041,T4,IFR,141.84,-0.9965563856111973,0.0
A042_T1,A042,T1,IFR,1.0,-0.5477087107949089,0.0
A042_T2,A042,T2,IFR,28.93,-0.6367197556516182,0.0
A042_T3,A042,T3,IFR,72.17,-0.7745227481186467,0.0
A042_T4,A042,T4,IFR,146.02,-1.0098777664741063,0.0
A043_T1,A043,T1,IFR,1.0,-0.5477087107949089,0.0
A043_T2,A043,T2,IFR,25.62,-0.626171006690798,0.0
A043_T3,A043,T3,IFR,64.94,-0.7514812209323235,0.0
A043_T4,A043,T4,IFR,149.33,-1.0204265154349264,0.0
A044_T1,A044,T1,IFR,1.0,-0.5477087107949089,0.0
A044_T2,A044,T2,IFR,47.66,-0.6964110148770448,0.0
A044_T3,A044,T3,IFR,91.63,-0.8365404685952513,0.0
A044_T4,A044,T4,IFR,155.27,-1.0393568987664283,0.0
A045_T1,A045,T1,IFR,1.0,-0.5477087107949089,0.0
A045_T2,A045,T2,IFR,24.66,-0.6231115507988381,0.0
A045_T3,A045,T3,IFR,72.23,-0.7747139641118943,0.0
A045_T4,A045,T4,IFR,151.52,-1.02740589918846,0.0
A046_T1,A046,T1,IFR,1.0,-0.5477087107949089,0.0
A046_T2,A046,T2,IFR,24.32,-0.6220279935037689,0.0
A046_T3,A046,T3,IFR,73.05,-0.7773272493529434,0.0
A046_T4,A046,T4,IFR,147.94,-1.015996678258026,0.0
A047_T1,A047,T1,IFR,1.0,-0.5477087107949089,0.0
A047_T2,A047,T2,IFR,23.46,-0.6192872309338882,0.0
A047_T3,A047,T3,IFR,76.85,-0.7894375955919514,0.0
A047_T4,A047,T4,IFR,144.22,-1.0041412866766812,0.0
A048_T1,A048,T1,IFR,1.0,-0.5477087107949089,0.0
