time,theta,CI_lower,CI_upper,paradigm,n
1.0,0.6758873911700001,0.5016841132414607,0.8500906690985395,ICR,100
28.769699999999997,0.13992108103,-0.03084933122645342,0.3106914932864534,ICR,100
78.6681,-0.15889583275,-0.32766026260783054,0.009868597107830585,ICR,100
151.3752,-0.48445958013,-0.6696281730449657,-0.29929098721503433,ICR,100
1.0,0.497714932736,0.3093709749368708,0.6860588905351291,IFR,100
28.769699999999997,0.21392074998000002,0.04747821507640332,0.3803632848835967,IFR,100
78.6681,-0.12733363347999999,-0.30250032927470616,0.047833062314706215,IFR,100
151.3752,-0.46758511057,-0.6520731129425059,-0.2830971081974941,IFR,100
1.0,0.7094516466199999,0.5374743697806077,0.8814289234593922,IRE,100
28.769699999999997,0.16066384814999998,-0.010713570336374212,0.3320412666363742,IRE,100
78.6681,-0.209116992398,-0.3794469758189961,-0.03878700897700388,IRE,100
151.3752,-0.49298333474000006,-0.674083727577445,-0.31188294190255517,IRE,100
