domain,model_name,var_intercept,var_slope,cov_intercept_slope,var_residual,icc_intercept,icc_slope_simple
what,PowerLaw_04,0.42301240567668574,0.12350109443996021,-0.11368717941914094,0.31915305088010365,0.5699704856100608,0.2790013281151179
what,PowerLaw_05,0.407202241363429,0.12266720638432278,-0.10301567163992657,0.3167099420412241,0.5625022629793353,0.27918431084521667
what,LogLog,0.316584414252087,0.023107687597993577,-0.0016983650895015109,0.3204790470584036,0.496943292903422,0.06725430660500425
what,PowerLaw_03,0.44464035451391787,0.12135060774840188,-0.12597618450010692,0.32214461092414054,0.5798762033106611,0.2736232604978812
what,Root_033,0.31597456090769965,0.010033496611336864,-0.002286465944334174,0.3220416058593806,0.4952453830579062,0.03021454043583898
what,CubeRoot,0.3159165123557834,0.010015955626088681,-0.00226686831226217,0.3220542675776963,0.4951896266921873,0.030162161272563378
what,PowerLaw_06,0.3964015073096819,0.12300357329332001,-0.09557877226555796,0.314670650992275,0.5574701564132257,0.2810391073271353
what,FourthRoot,0.31098566680102846,0.018382629272190032,-0.004089226579866113,0.32107293670220544,0.4920203048852848,0.0541532710457209
what,SquareRoot+Lin,0.300980040910193,0.00020512956412141047,0.007781412997615409,0.3248583764422283,0.48092292285838617,0.0006310445815391024
what,PowerLaw_02,0.47376275691252767,0.11311450280466644,-0.13804375737076932,0.32526780539373895,0.5929219472470385,0.2580270706396127
where,PowerLaw_04,0.42606700472148507,0.17771135584179046,-0.10328391460711137,0.3205168409959193,0.5706887540703087,0.35668666881910177
where,PowerLaw_05,0.41658640268959635,0.173874040523029,-0.09289796330239115,0.3183469948095793,0.5668355855199295,0.35324382348986194
where,LogLog,0.40240050663331867,0.05261506591742063,-0.04384854646939679,0.31987147457944903,0.5571315475337247,0.14125360300867784
where,PowerLaw_03,0.43592316543575926,0.17840810266710969,-0.11273325325993039,0.3234293870780054,0.5740721671280052,0.3555097144251294
where,Root_033,0.41060922770467256,0.02257787292616527,-0.03053947325435494,0.3204047492612011,0.5616981899702326,0.06582803753197533
where,CubeRoot,0.41032204276892703,0.022457183156516246,-0.0303850221985252,0.320453407432883,0.5614885429657127,0.0654899083691657
where,PowerLaw_06,0.40843129302828307,0.16803147678473968,-0.08283816936876842,0.317021632208091,0.5630017866358511,0.3464187192483767
where,FourthRoot,0.43682866446432334,0.04415285117250143,-0.055816774826167474,0.32082253944221834,0.5765564183254532,0.12097487202667495
where,SquareRoot+Lin,0.37427117093688467,0.003092966147794239,-0.005486159438707056,0.3271770112771488,0.5335692363697409,0.00936496308840892
where,PowerLaw_02,0.44440493630704847,0.17928429711628124,-0.12067857419212441,0.32641875065451875,0.5765325376271243,0.35452484992247535
