effect,coef,se,p
Age_c,-0.03378358574840856,0.0235438172444899,0.15130878808246276
Time_within_phase_log:Age_c,0.0059244091148826965,0.005290477228102794,0.26278830710597234
Phase[T.Practice]:Age_c,0.021496233375532442,0.023478115651731347,0.35988409090527473
Time_within_phase_log:Phase[T.Practice]:Age_c,-0.0045264876855174475,0.005531826573603519,0.41320716495838117
