UID,test,item,correct,TSVR_hours,age,log_TSVR,Age_c
A010,4,TQ_RFR-N-OBJ2,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-N-OBJ3,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-N-OBJ4,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-N-STRA,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-N-PORT,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-N-LAND,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i1,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i2,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i3,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i4,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i5,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i6,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-O-RORD,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-O-TMOD,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-N-WEAT,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-OBJ1,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-OBJ2,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-OBJ3,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-OBJ4,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-DOOR,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-WIND,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-PORT,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-LAND,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_RFR-L-STRA,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i1,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i2,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i3,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i4,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i5,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i6,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i1,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i2,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i3,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i4,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i5,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i6,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i1,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i2,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i3,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i4,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i5,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i6,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_TCR-O-TSK1,0,145.31,22,4.978869391332604,-22.57
A010,4,TQ_TCR-O-TSK2,1,145.31,22,4.978869391332604,-22.57
A010,4,TQ_TCR-O-TSK3,1,145.31,22,4.978869391332604,-22.57
