effect,coef_averaged,se_averaged,z_averaged,p_averaged,n_models,weight_sum
Age_c,-0.01108768246220421,0.0157192262392617,-0.705358030569638,0.4805874553704186,40,1.0
sqrt_Days:Age_c,0.00013396727942659663,0.006776688128744243,0.019768842372774428,0.9842277732089528,5,0.9999999999999999
Time:Age_c,2.1798723605725544e-05,0.00044183390308577205,0.04933691926645524,0.9606507980096113,11,1.0
tanh_Days:Age_c,0.004489310845320117,0.005049086088465054,0.8891333533758162,0.3739314155959428,2,1.0
Days_pow_50:Age_c,-0.012013993346087272,0.05627600739769005,-0.2134833990831483,0.8309499362874244,8,1.0
Time_log:Age_c,0.0012558889708576227,0.008982828870452746,0.1398099628713426,0.8888101413816716,10,1.0
recip_Days:Age_c,0.01023779493021165,0.0650279115660609,0.1574369325979541,0.8749005083701447,6,0.9999999999999999
log_log_Days:Age_c,-0.002952951137188835,0.028297671569296082,-0.10435314898462832,0.9168891013116731,2,1.0
log10_Days:Age_c,0.002664103282428055,0.0027126044031284572,0.9821200906979043,0.32604068884376813,1,1.0
neg_Days:Age_c,-1.934664106980812e-05,4.844406576943244e-05,-0.3993603914644091,0.6896276744662369,5,1.0
Days_sq:Age_c,-4.669654072189727e-07,4.429614479159692e-06,-0.1054189725575299,0.9160433620211732,6,0.9999999999999999
Days_cube:Age_c,2.3816481925452542e-08,5.546606403041539e-08,0.42938835379399787,0.6676406277655715,4,1.0
Days_quart:Age_c,-1.4055655603313161e-10,1.6110636627182092e-10,-0.8724456971239897,0.3829652802147221,1,1.0
Days_pow_30:Age_c,-0.008032385092773955,0.008470006138065193,-0.9483328538187807,0.3429600305694276,1,1.0
sin_Days:Age_c,-0.000877254676297608,0.005179825607758495,-0.16935988636058136,0.8655135737159738,3,1.0
cos_Days:Age_c,-0.0022005487716137166,0.0025058207946081655,-0.8781748384995008,0.37984884444475964,2,1.0
Days_pow_33:Age_c,-0.007803002156920897,0.008254472041771656,-0.9453060253198386,0.34450266319432954,1,1.0
Days_pow_40:Age_c,-0.007474396836825376,0.007977954173790087,-0.9368813951552838,0.3488195703142303,1,1.0
Days_pow_60:Age_c,-0.007389350598597205,0.008106055531457958,-0.9115840090066781,0.36198774344623375,1,1.0
Days_pow_67:Age_c,-0.007531903502378672,0.00829883509292063,-0.9075856331696247,0.36409718763869847,1,1.0
Days_pow_70:Age_c,-0.00758761156811837,0.008439022864997401,-0.8991102038115768,0.36859396356657603,1,1.0
