composite_ID,UID,TEST,TSVR_hours,theta,se_all,age,Age_c,Time,Time_log
A010_1,A010,1,1.0,2.7277744,0.3,22.0,-22.57,1.0,0.6931471805599453
A010_2,A010,2,21.9,0.4830945,0.3,22.0,-22.57,21.9,3.131136910560194
A010_3,A010,3,80.88,-0.063471645,0.3,22.0,-22.57,80.88,4.405254760793088
A010_4,A010,4,145.31,0.7356485,0.3,22.0,-22.57,145.31,4.985727658390071
A011_1,A011,1,1.0,0.99576205,0.3,21.0,-23.57,1.0,0.6931471805599453
A011_2,A011,2,24.57,0.40040046,0.3,21.0,-23.57,24.57,3.2414197893030954
A011_3,A011,3,72.55,-0.62277347,0.3,21.0,-23.57,72.55,4.297965447047447
A011_4,A011,4,148.85,-0.48618072,0.3,21.0,-23.57,148.85,5.009634793762673
A012_1,A012,1,1.0,1.5109797,0.3,21.0,-23.57,1.0,0.6931471805599453
A012_2,A012,2,25.6,-0.3742091,0.3,21.0,-23.57,25.6,3.2809112157876537
A012_3,A012,3,166.33,0.8594104,0.3,21.0,-23.57,166.33,5.119967910506483
A012_4,A012,4,166.87,-0.57650775,0.3,21.0,-23.57,166.87,5.123189870334323
A013_1,A013,1,1.0,0.2579466,0.3,22.0,-22.57,1.0,0.6931471805599453
A013_2,A013,2,24.77,-0.576954,0.3,22.0,-22.57,24.77,3.2492110246642736
A013_3,A013,3,79.66,0.15941933,0.3,22.0,-22.57,79.66,4.390242789445222
A013_4,A013,4,147.13,-0.50066453,0.3,22.0,-22.57,147.13,4.998090266593961
A014_1,A014,1,1.0,0.9670465,0.3,22.0,-22.57,1.0,0.6931471805599453
A014_2,A014,2,25.66,1.7351536,0.3,22.0,-22.57,25.66,3.2831643147505627
A014_3,A014,3,70.56,0.37096328,0.3,22.0,-22.57,70.56,4.270536258640519
A014_4,A014,4,148.87,-0.60555935,0.3,22.0,-22.57,148.87,5.009768251656904
A015_1,A015,1,1.0,1.7906865,0.3,23.0,-21.57,1.0,0.6931471805599453
A015_2,A015,2,23.69,1.9530646,0.3,23.0,-21.57,23.69,3.206398303357088
A015_3,A015,3,70.59,1.7458305,0.3,23.0,-21.57,70.59,4.270955399408094
A015_4,A015,4,146.54,0.74841046,0.3,23.0,-21.57,146.54,4.9940993254561565
A016_1,A016,1,1.0,1.3865802,0.3,21.0,-23.57,1.0,0.6931471805599453
A016_2,A016,2,32.85,0.23833106,0.3,21.0,-23.57,32.85,3.521938999358284
A016_3,A016,3,80.64,-0.063229874,0.3,21.0,-23.57,80.64,4.402319337941644
A016_4,A016,4,150.8,-1.1086501,0.3,21.0,-23.57,150.8,5.02256386496153
A017_1,A017,1,1.0,-0.12061626,0.3,24.0,-20.57,1.0,0.6931471805599453
A017_2,A017,2,20.61,1.2353034,0.3,24.0,-20.57,20.61,3.0731561705187946
A017_3,A017,3,61.28,0.18662216,0.3,24.0,-20.57,61.28,4.131640346965797
A017_4,A017,4,140.49,0.04002261,0.3,24.0,-20.57,140.49,4.952229043207861
A018_1,A018,1,1.0,0.34396127,0.3,23.0,-21.57,1.0,0.6931471805599453
A018_2,A018,2,34.03,-0.10368377,0.3,23.0,-21.57,34.03,3.5562048372093953
A018_3,A018,3,83.64,-0.6740158,0.3,23.0,-21.57,83.64,4.438406968109989
A018_4,A018,4,150.87,0.015628511,0.3,23.0,-21.57,150.87,5.023024891742178
A019_1,A019,1,1.0,-0.44238952,0.3,20.0,-24.57,1.0,0.6931471805599453
A019_2,A019,2,28.69,-1.233944,0.3,20.0,-24.57,28.69,3.3908102887756684
A019_3,A019,3,83.68,-1.1916012,0.3,20.0,-24.57,83.68,4.4388794462666645
A019_4,A019,4,154.76,-1.652823,0.3,20.0,-24.57,154.76,5.048316361063944
A020_1,A020,1,1.0,-0.036810145,0.3,26.0,-18.57,1.0,0.6931471805599453
A020_2,A020,2,26.85,-0.4131784,0.3,26.0,-18.57,26.85,3.326832966373293
A020_3,A020,3,78.25,-0.9177355,0.3,26.0,-18.57,78.25,4.37260741275739
A020_4,A020,4,145.78,-2.2843106,0.3,26.0,-18.57,145.78,4.9889348671169165
A021_1,A021,1,1.0,1.366235,0.3,28.0,-16.57,1.0,0.6931471805599453
A021_2,A021,2,30.21,0.648662,0.3,28.0,-16.57,30.21,3.440738556282688
A021_3,A021,3,74.19,0.3772473,0.3,28.0,-16.57,74.19,4.320018243389936
A021_4,A021,4,140.39,0.77024406,0.3,28.0,-16.57,140.39,4.951522029603749
A022_1,A022,1,1.0,0.1020859,0.3,28.0,-16.57,1.0,0.6931471805599453
A022_2,A022,2,24.15,0.4643598,0.3,28.0,-16.57,24.15,3.224857896545748
A022_3,A022,3,74.46,-0.11233316,0.3,28.0,-16.57,74.46,4.323602714536165
A022_4,A022,4,141.71,0.0056279004,0.3,28.0,-16.57,141.71,4.9608145991123
A023_1,A023,1,1.0,0.8812526,0.3,26.0,-18.57,1.0,0.6931471805599453
A023_2,A023,2,25.63,-0.48242265,0.3,26.0,-18.57,25.63,3.282038399825841
A023_3,A023,3,72.2,0.13040453,0.3,26.0,-18.57,72.2,4.293195420967266
A023_4,A023,4,145.07,0.004668119,0.3,26.0,-18.57,145.07,4.984085958862719
A024_1,A024,1,1.0,0.33348504,0.3,29.0,-15.57,1.0,0.6931471805599453
A024_2,A024,2,29.57,0.10314593,0.3,29.0,-15.57,29.57,3.420019135902743
A024_3,A024,3,91.47,0.1529355,0.3,29.0,-15.57,91.47,4.526884267589547
A024_4,A024,4,145.65,-0.7700928,0.3,29.0,-15.57,145.65,4.9880487954234605
A025_1,A025,1,1.0,0.99917114,0.3,26.0,-18.57,1.0,0.6931471805599453
A025_2,A025,2,23.33,1.6789465,0.3,26.0,-18.57,23.33,3.1917101567954314
A025_3,A025,3,72.94,-0.15189764,0.3,26.0,-18.57,72.94,4.303253953508486
A025_4,A025,4,137.74,-1.1388493,0.3,26.0,-18.57,137.74,4.932601677957155
A026_1,A026,1,1.0,1.0569059,0.3,29.0,-15.57,1.0,0.6931471805599453
A026_2,A026,2,26.48,0.062489662,0.3,29.0,-15.57,26.48,3.3134584673541485
A026_3,A026,3,75.46,0.7757372,0.3,29.0,-15.57,75.46,4.336767728268267
A026_4,A026,4,147.65,-0.26765063,0.3,29.0,-15.57,147.65,5.001594549444107
A027_1,A027,1,1.0,0.9770042,0.3,28.0,-16.57,1.0,0.6931471805599453
A027_2,A027,2,28.26,0.3337341,0.3,28.0,-16.57,28.26,3.3762213955919784
A027_3,A027,3,74.58,-0.7031997,0.3,28.0,-16.57,74.58,4.325191697921343
A027_4,A027,4,145.92,-0.8390413,0.3,28.0,-16.57,145.92,4.989888220951467
A028_1,A028,1,1.0,1.5710772,0.3,26.0,-18.57,1.0,0.6931471805599453
A028_2,A028,2,22.82,-0.19436406,0.3,26.0,-18.57,22.82,3.170525563927154
A028_3,A028,3,72.26,-0.0985842,0.3,26.0,-18.57,72.26,4.294014757350668
A028_4,A028,4,138.91,-0.7637951,0.3,26.0,-18.57,138.91,4.940999358745194
A029_1,A029,1,1.0,1.7016916,0.3,25.0,-19.57,1.0,0.6931471805599453
A029_2,A029,2,28.43,0.3401657,0.3,25.0,-19.57,28.43,3.382014562245381
A029_3,A029,3,93.26,1.2822845,0.3,25.0,-19.57,93.26,4.546056921495585
A029_4,A029,4,143.14,0.7683035,0.3,25.0,-19.57,143.14,4.970785049496295
A030_1,A030,1,1.0,0.33380765,0.3,31.0,-13.57,1.0,0.6931471805599453
A030_2,A030,2,32.95,1.2043047,0.3,31.0,-13.57,32.95,3.5248888540047054
A030_3,A030,3,71.93,-0.12868379,0.3,31.0,-13.57,71.93,4.289500076996142
A030_4,A030,4,150.46,0.33196774,0.3,31.0,-13.57,150.46,5.020321563685677
A031_1,A031,1,1.0,2.2557483,0.3,32.0,-12.57,1.0,0.6931471805599453
