Age_tertile,TEST,theta_mean,theta_std,theta_count,Time_within_phase_mean,Age_c_mean
Young,1,0.9326165304411764,0.87986729447827,34,0.0,-16.57
Young,2,0.2443439211764706,0.8145681579801718,34,28.514411764705883,-16.57
Middle,1,0.5238678950303031,0.8975414957292581,33,0.0,0.21787878787878767
Middle,2,-0.0024831953636363755,0.7790520962432131,33,29.365757575757577,0.21787878787878767
Older,1,0.5172281558787879,0.8233923304152427,33,0.0,16.854242424242422
Older,2,0.06994722042424242,0.9432334522481725,33,25.406363636363636,16.854242424242422
