term,coef,se,z,p
Intercept,0.8067212307999733,0.09613997436530394,8.39111135743252,4.815679183152132e-17
Time,-0.002072763238000371,0.0009703551173368185,-2.136087295225648,0.03267229911811721
Time_log,-0.198082392532538,0.033901286482935944,-5.84291668790333,5.129467462936131e-09
Age_c,-0.01245647630569116,0.006640621578942767,-1.8757997512146019,0.06068278217793956
Time:Age_c,1.4583044981291232e-05,6.812879615035184e-05,0.2140511179605794,0.8305071944784143
Time_log:Age_c,0.0007181431767292746,0.0023624489217390623,0.30398252005407594,0.7611412083721039
