age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Older,140.39,,,,,
Older,140.49,,,,,
Older,140.95,0.5149613,,,,-0.06670634763636474
Older,141.09,,,,,
Older,141.71,,,,,
Older,141.84,,,,,
Older,142.61,-0.80276793,,,,-0.7994018182348412
Older,143.14,,,,,
Older,143.48,,,,,
Older,143.51,0.8498486,,,,0.1657037377000834
Older,143.53,,,,,
Older,143.66,-1.4557325,,,,-1.600667173170883
Older,143.85,,,,,
Older,143.91,,,,,
Older,144.07,-1.1440647,,,,-1.103717714912143
Older,144.19,,,,,
Older,144.2,0.27864328,,,,0.012308607729003884
Older,144.22,,,,,
Older,144.51,,,,,
Older,144.85,0.086306766,,,,-0.3573590283189205
Older,144.91,-0.03377411,,,,0.13819203704923178
Older,145.06,,,,,
Older,145.07,,,,,
Older,145.29,-1.1229844,,,,-0.7892539399901939
Older,145.31,,,,,
Older,145.38,,,,,
Older,145.65,,,,,
Older,145.77,-0.8033879,,,,-0.4417314971489662
Older,145.78,-1.7777252,,,,-0.4530062773549087
Older,145.92,,,,,
Older,145.95,-1.2497748,,,,-1.445694540268951
Older,146.02,,,,,
Older,146.16,-1.3833519,,,,-1.1071024755903744
Older,146.2,0.29649377,,,,-0.2443503382101363
Older,146.29,-0.6924288,,,,-0.1857695201202041
Older,146.3,,,,,
Older,146.54,,,,,
Older,146.56,,,,,
Older,146.8,0.06164612,,,,-0.24665397240366016
Older,146.96,0.3647498,,,,0.2492061362778739
Older,146.99,,,,,
Older,147.13,1.0106606,,,,0.07536404915923889
Older,147.21,-1.1428367,,,,-0.7133179736226333
Older,147.65,,,,,
Older,147.84,,,,,
Older,147.94,,,,,
Older,148.69,,,,,
Older,148.79,-0.7580661,,,,-0.4996701268619613
Older,148.85,,,,,
Older,148.87,,,,,
Older,148.9,,,,,
Older,149.18,,,,,
Older,149.2,,,,,
Older,149.21,,,,,
Older,149.28,-2.5163941,,,,-1.5327862641722283
Older,149.33,,,,,
Older,149.72,-0.96813315,,,,-0.8976932795843228
Older,149.75,,,,,
Older,149.87,-1.2962439,,,,-1.0969139676402189
Older,149.93,1.1879628,,,,0.8057087285600003
Older,149.99,-1.1788263,,,,-1.2880105608088401
Older,150.22,-1.1640573,,,,-1.4046628563698649
Older,150.41,-0.5023084,,,,-0.47326848396578247
Older,150.46,,,,,
Older,150.8,,,,,
Older,150.87,,,,,
Older,151.52,,,,,
Older,151.93,,,,,
Older,152.12,-1.1333818,,,,-1.1400833857299264
Older,152.47,,,,,
Older,152.89,,,,,
Older,153.27,,,,,
Older,154.53,0.18450806,,,,-0.18529692946556225
Older,154.76,,,,,
Older,154.89,,,,,
Older,155.27,,,,,
Older,155.59,,,,,
Older,156.21,,,,,
Older,162.51,-0.024996497,,,,-0.5105380354140717
Older,164.93,,,,,
Older,166.33,,,,,
Older,166.87,,,,,
Older,168.33,,,,,
Older,168.86,,,,,
Older,169.55,-1.1456217,,,,-0.8659099378164008
Older,170.25,-0.08527875,,,,-0.126287110970962
Older,170.65,-0.5059031,,,,-0.27138399737793534
Older,187.43,,,,,
Older,194.42,,,,,
Older,244.53,-0.5980336,,,,-0.9617941540940018
Older,246.24,,,,,
