days,difference,se,ci_lower,ci_upper,sig
0.000000,-0.379429,0.067430,-0.511593,-0.247266,1
0.051558,-0.339142,0.046445,-0.430175,-0.248109,1
0.103116,-0.315465,0.044922,-0.403511,-0.227418,1
0.154673,-0.294558,0.043582,-0.379979,-0.209136,1
0.206231,-0.275558,0.042344,-0.358552,-0.192563,1
0.257789,-0.258075,0.041233,-0.338892,-0.177257,1
0.309347,-0.241867,0.040263,-0.320782,-0.162951,1
0.360905,-0.226761,0.039434,-0.304051,-0.149471,1
0.412462,-0.212624,0.038736,-0.288547,-0.136701,1
0.464020,-0.199348,0.038158,-0.274137,-0.124558,1
0.515578,-0.186843,0.037685,-0.260706,-0.112980,1
0.567136,-0.175035,0.037303,-0.248149,-0.101921,1
0.618693,-0.163859,0.036999,-0.236377,-0.091340,1
0.670251,-0.153258,0.036761,-0.225310,-0.081207,1
0.721809,-0.143185,0.036578,-0.214877,-0.071493,1
0.773367,-0.133595,0.036440,-0.205019,-0.062172,1
0.824925,-0.124452,0.036341,-0.195680,-0.053223,1
0.876482,-0.115721,0.036273,-0.186815,-0.044626,1
0.928040,-0.107371,0.036230,-0.178382,-0.036360,1
0.979598,-0.099376,0.036208,-0.170345,-0.028408,1
1.031156,-0.091712,0.036203,-0.162670,-0.020754,1
1.082714,-0.084356,0.036212,-0.155330,-0.013381,1
1.134271,-0.077287,0.036231,-0.148299,-0.006276,1
1.185829,-0.070489,0.036258,-0.141555,0.000576,0
1.237387,-0.063944,0.036292,-0.135077,0.007188,0
1.288945,-0.057638,0.036331,-0.128847,0.013571,0
1.340503,-0.051556,0.036374,-0.122849,0.019738,0
1.392060,-0.045685,0.036420,-0.117067,0.025698,0
1.443618,-0.040014,0.036467,-0.111489,0.031462,0
1.495176,-0.034531,0.036516,-0.106102,0.037039,0
1.546734,-0.029228,0.036565,-0.100895,0.042439,0
1.598291,-0.024094,0.036613,-0.095857,0.047668,0
1.649849,-0.019122,0.036662,-0.090979,0.052736,0
1.701407,-0.014302,0.036710,-0.086253,0.057649,0
1.752965,-0.009628,0.036756,-0.081670,0.062414,0
1.804523,-0.005093,0.036801,-0.077223,0.067037,0
1.856080,-0.000690,0.036844,-0.072905,0.071525,0
1.907638,0.003586,0.036886,-0.068710,0.075883,0
1.959196,0.007742,0.036925,-0.064631,0.080116,0
2.010754,0.011783,0.036962,-0.060663,0.084229,0
2.062312,0.015713,0.036997,-0.056801,0.088227,0
2.113869,0.019537,0.037029,-0.053040,0.092114,0
2.165427,0.023260,0.037058,-0.049374,0.095895,0
2.216985,0.026886,0.037085,-0.045801,0.099573,0
2.268543,0.030418,0.037109,-0.042315,0.103151,0
2.320101,0.033861,0.037130,-0.038913,0.106635,0
2.371658,0.037217,0.037147,-0.035592,0.110026,0
2.423216,0.040490,0.037162,-0.032347,0.113328,0
2.474774,0.043684,0.037174,-0.029177,0.116544,0
2.526332,0.046800,0.037182,-0.026077,0.119676,0
2.577889,0.049842,0.037187,-0.023045,0.122729,0
2.629447,0.052812,0.037189,-0.020078,0.125703,0
2.681005,0.055714,0.037188,-0.017175,0.128603,0
2.732563,0.058549,0.037184,-0.014332,0.131430,0
2.784121,0.061319,0.037177,-0.011548,0.134186,0
2.835678,0.064027,0.037167,-0.008820,0.136875,0
2.887236,0.066675,0.037154,-0.006147,0.139497,0
2.938794,0.069264,0.037139,-0.003527,0.142056,0
2.990352,0.071798,0.037121,-0.000959,0.144554,0
