days,difference,se,ci_lower,ci_upper,sig
0.000000,-0.372816,0.083143,-0.535777,-0.209855,1
0.051558,-0.316519,0.040722,-0.396334,-0.236705,1
0.103116,-0.281804,0.039325,-0.358881,-0.204727,1
0.154673,-0.251810,0.038817,-0.327892,-0.175728,1
0.206231,-0.225184,0.038541,-0.300725,-0.149643,1
0.257789,-0.201252,0.038394,-0.276503,-0.126001,1
0.309347,-0.179572,0.038334,-0.254707,-0.104436,1
0.360905,-0.159816,0.038335,-0.234953,-0.084679,1
0.412462,-0.141729,0.038374,-0.216941,-0.066517,1
0.464020,-0.125104,0.038431,-0.200429,-0.049778,1
0.515578,-0.109768,0.038495,-0.185219,-0.034318,1
0.567136,-0.095579,0.038556,-0.171149,-0.020009,1
0.618693,-0.082414,0.038607,-0.158084,-0.006744,1
0.670251,-0.070168,0.038645,-0.145912,0.005576,0
0.721809,-0.058750,0.038667,-0.134537,0.017036,0
0.773367,-0.048083,0.038671,-0.123879,0.027714,0
0.824925,-0.038095,0.038659,-0.113867,0.037676,0
0.876482,-0.028728,0.038629,-0.104442,0.046985,0
0.928040,-0.019928,0.038583,-0.095551,0.055696,0
0.979598,-0.011646,0.038522,-0.087149,0.063858,0
1.031156,-0.003841,0.038447,-0.079197,0.071515,0
1.082714,0.003525,0.038358,-0.071657,0.078707,0
1.134271,0.010486,0.038258,-0.064499,0.085471,0
1.185829,0.017072,0.038146,-0.057694,0.091839,0
1.237387,0.023312,0.038025,-0.051218,0.097841,0
1.288945,0.029229,0.037896,-0.045047,0.103504,0
1.340503,0.034846,0.037759,-0.039161,0.108853,0
1.392060,0.040184,0.037615,-0.033541,0.113910,0
1.443618,0.045262,0.037466,-0.028171,0.118694,0
1.495176,0.050096,0.037311,-0.023034,0.123226,0
1.546734,0.054702,0.037153,-0.018118,0.127522,0
1.598291,0.059094,0.036992,-0.013409,0.131598,0
1.649849,0.063286,0.036828,-0.008896,0.135468,0
1.701407,0.067289,0.036661,-0.004567,0.139145,0
1.752965,0.071115,0.036494,-0.000413,0.142643,0
1.804523,0.074773,0.036325,0.003576,0.145971,1
1.856080,0.078274,0.036157,0.007407,0.149141,1
1.907638,0.081626,0.035988,0.011090,0.152163,1
1.959196,0.084838,0.035820,0.014631,0.155044,1
2.010754,0.087916,0.035653,0.018036,0.157795,1
2.062312,0.090867,0.035487,0.021313,0.160422,1
2.113869,0.093700,0.035323,0.024467,0.162932,1
2.165427,0.096419,0.035161,0.027504,0.165333,1
2.216985,0.099030,0.035001,0.030428,0.167631,1
2.268543,0.101538,0.034844,0.033245,0.169831,1
2.320101,0.103949,0.034689,0.035958,0.171940,1
2.371658,0.106267,0.034538,0.038573,0.173962,1
2.423216,0.108497,0.034390,0.041092,0.175902,1
2.474774,0.110642,0.034246,0.043520,0.177765,1
2.526332,0.112707,0.034106,0.045860,0.179554,1
2.577889,0.114695,0.033969,0.048116,0.181275,1
2.629447,0.116610,0.033837,0.050289,0.182931,1
2.681005,0.118454,0.033709,0.052384,0.184524,1
2.732563,0.120232,0.033586,0.054403,0.186060,1
2.784121,0.121944,0.033467,0.056348,0.187540,1
2.835678,0.123596,0.033354,0.058223,0.188969,1
2.887236,0.125188,0.033245,0.060028,0.190348,1
2.938794,0.126723,0.033141,0.061766,0.191680,1
2.990352,0.128204,0.033043,0.063440,0.192968,1
3.041910,0.129633,0.032950,0.065051,0.194215,1
3.093467,0.131012,0.032862,0.066602,0.195422,1
3.145025,0.132342,0.032780,0.068093,0.196591,1
3.196583,0.133626,0.032704,0.069526,0.197726,1
3.248141,0.134866,0.032633,0.070904,0.198827,1
3.299698,0.136062,0.032569,0.072227,0.199897,1
3.351256,0.137217,0.032510,0.073498,0.200937,1
3.402814,0.138333,0.032457,0.074716,0.201949,1
3.454372,0.139410,0.032411,0.075885,0.202935,1
3.505930,0.140450,0.032370,0.077004,0.203895,1
3.557487,0.141454,0.032336,0.078075,0.204832,1
3.609045,0.142424,0.032308,0.079100,0.205747,1
3.660603,0.143360,0.032286,0.080079,0.206641,1
3.712161,0.144264,0.032271,0.081014,0.207515,1
3.763719,0.145138,0.032262,0.081904,0.208371,1
3.815276,0.145981,0.032259,0.082753,0.209209,1
3.866834,0.146795,0.032263,0.083559,0.210031,1
3.918392,0.147581,0.032273,0.084325,0.210837,1
3.969950,0.148340,0.032290,0.085051,0.211629,1
4.021508,0.149073,0.032314,0.085738,0.212408,1
4.073065,0.149780,0.032344,0.086387,0.213174,1
4.124623,0.150463,0.032380,0.086998,0.213928,1
4.176181,0.151122,0.032423,0.087572,0.214671,1
4.227739,0.151757,0.032472,0.088111,0.215403,1
4.279296,0.152370,0.032529,0.088614,0.216126,1
4.330854,0.152962,0.032591,0.089083,0.216840,1
4.382412,0.153532,0.032660,0.089518,0.217546,1
4.433970,0.154082,0.032736,0.089920,0.218243,1
4.485528,0.154611,0.032818,0.090289,0.218934,1
4.537085,0.155122,0.032906,0.090626,0.219618,1
4.588643,0.155614,0.033001,0.090932,0.220296,1
4.640201,0.156088,0.033102,0.091207,0.220968,1
4.691759,0.156543,0.033210,0.091452,0.221635,1
4.743317,0.156982,0.033324,0.091667,0.222297,1
4.794874,0.157404,0.033444,0.091854,0.222955,1
4.846432,0.157810,0.033571,0.092012,0.223608,1
4.897990,0.158200,0.033703,0.092142,0.224258,1
