days,difference,se,ci_lower,ci_upper,sig
0.000000,-0.029550,0.089973,-0.205897,0.146798,0
0.051558,0.026283,0.026864,-0.026370,0.078936,0
0.103116,0.040568,0.027046,-0.012441,0.093577,0
0.154673,0.050241,0.028598,-0.005811,0.106293,0
0.206231,0.057520,0.029658,-0.000609,0.115650,0
0.257789,0.063243,0.030218,0.004016,0.122470,1
0.309347,0.067842,0.030425,0.008210,0.127475,1
0.360905,0.071582,0.030398,0.012002,0.131163,1
0.412462,0.074640,0.030222,0.015406,0.133874,1
0.464020,0.077142,0.029950,0.018440,0.135844,1
0.515578,0.079184,0.029620,0.021128,0.137240,1
0.567136,0.080838,0.029258,0.023493,0.138184,1
0.618693,0.082164,0.028878,0.025562,0.138765,1
0.670251,0.083207,0.028493,0.027361,0.139054,1
0.721809,0.084008,0.028109,0.028913,0.139102,1
0.773367,0.084597,0.027732,0.030243,0.138951,1
0.824925,0.085002,0.027363,0.031371,0.138633,1
0.876482,0.085246,0.027005,0.032316,0.138175,1
0.928040,0.085348,0.026659,0.033098,0.137599,1
0.979598,0.085325,0.026324,0.033730,0.136921,1
1.031156,0.085192,0.026002,0.034228,0.136156,1
1.082714,0.084961,0.025692,0.034606,0.135317,1
1.134271,0.084643,0.025393,0.034874,0.134413,1
1.185829,0.084248,0.025105,0.035043,0.133454,1
1.237387,0.083785,0.024827,0.035123,0.132446,1
1.288945,0.083259,0.024560,0.035122,0.131397,1
1.340503,0.082680,0.024302,0.035049,0.130311,1
1.392060,0.082051,0.024052,0.034909,0.129194,1
1.443618,0.081379,0.023812,0.034709,0.128050,1
1.495176,0.080668,0.023579,0.034454,0.126882,1
1.546734,0.079922,0.023353,0.034150,0.125695,1
1.598291,0.079146,0.023135,0.033801,0.124491,1
1.649849,0.078342,0.022924,0.033411,0.123272,1
1.701407,0.077513,0.022719,0.032984,0.122042,1
1.752965,0.076662,0.022520,0.032522,0.120802,1
1.804523,0.075792,0.022328,0.032030,0.119554,1
1.856080,0.074905,0.022141,0.031509,0.118300,1
1.907638,0.074002,0.021959,0.030962,0.117042,1
1.959196,0.073086,0.021783,0.030391,0.115781,1
2.010754,0.072158,0.021612,0.029798,0.114519,1
2.062312,0.071220,0.021447,0.029185,0.113256,1
2.113869,0.070274,0.021286,0.028553,0.111995,1
2.165427,0.069319,0.021131,0.027903,0.110735,1
2.216985,0.068358,0.020980,0.027238,0.109479,1
2.268543,0.067392,0.020834,0.026558,0.108226,1
2.320101,0.066421,0.020693,0.025863,0.106978,1
2.371658,0.065446,0.020556,0.025156,0.105736,1
2.423216,0.064468,0.020425,0.024436,0.104501,1
2.474774,0.063488,0.020298,0.023704,0.103272,1
2.526332,0.062507,0.020176,0.022962,0.102052,1
2.577889,0.061524,0.020059,0.022209,0.100840,1
2.629447,0.060541,0.019947,0.021446,0.099637,1
2.681005,0.059558,0.019839,0.020674,0.098443,1
2.732563,0.058576,0.019737,0.019892,0.097260,1
2.784121,0.057595,0.019639,0.019102,0.096087,1
2.835678,0.056614,0.019546,0.018303,0.094925,1
2.887236,0.055636,0.019459,0.017496,0.093775,1
2.938794,0.054659,0.019377,0.016681,0.092637,1
2.990352,0.053685,0.019299,0.015857,0.091512,1
3.041910,0.052713,0.019228,0.015026,0.090399,1
3.093467,0.051743,0.019161,0.014188,0.089299,1
3.145025,0.050777,0.019100,0.013342,0.088212,1
3.196583,0.049814,0.019044,0.012488,0.087140,1
3.248141,0.048854,0.018993,0.011627,0.086081,1
3.299698,0.047897,0.018949,0.010758,0.085037,1
3.351256,0.046945,0.018909,0.009883,0.084007,1
3.402814,0.045996,0.018876,0.008999,0.082992,1
3.454372,0.045050,0.018848,0.008109,0.081992,1
3.505930,0.044109,0.018825,0.007212,0.081007,1
3.557487,0.043172,0.018809,0.006307,0.080037,1
3.609045,0.042239,0.018798,0.005395,0.079083,1
3.660603,0.041310,0.018793,0.004476,0.078145,1
3.712161,0.040386,0.018794,0.003549,0.077223,1
3.763719,0.039466,0.018801,0.002616,0.076316,1
3.815276,0.038550,0.018814,0.001675,0.075425,1
3.866834,0.037639,0.018832,0.000728,0.074551,1
3.918392,0.036733,0.018857,-0.000227,0.073692,0
3.969950,0.035831,0.018887,-0.001189,0.072850,0
4.021508,0.034933,0.018924,-0.002158,0.072024,0
4.073065,0.034040,0.018966,-0.003133,0.071214,0
4.124623,0.033152,0.019014,-0.004116,0.070420,0
4.176181,0.032268,0.019068,-0.005106,0.069642,0
4.227739,0.031389,0.019128,-0.006102,0.068880,0
4.279296,0.030515,0.019194,-0.007105,0.068135,0
4.330854,0.029645,0.019265,-0.008115,0.067405,0
4.382412,0.028780,0.019342,-0.009131,0.066691,0
4.433970,0.027920,0.019425,-0.010154,0.065993,0
4.485528,0.027064,0.019514,-0.011183,0.065311,0
4.537085,0.026213,0.019608,-0.012218,0.064644,0
4.588643,0.025366,0.019707,-0.013260,0.063993,0
4.640201,0.024525,0.019812,-0.014307,0.063357,0
4.691759,0.023687,0.019923,-0.015361,0.062736,0
4.743317,0.022855,0.020038,-0.016420,0.062130,0
4.794874,0.022027,0.020159,-0.017486,0.061539,0
4.846432,0.021203,0.020286,-0.018556,0.060963,0
4.897990,0.020384,0.020417,-0.019632,0.060401,0
4.949548,0.019570,0.020553,-0.020714,0.059854,0
5.001106,0.018760,0.020694,-0.021801,0.059321,0
5.052663,0.017955,0.020840,-0.022892,0.058801,0
5.104221,0.017154,0.020991,-0.023989,0.058296,0
5.155779,0.016357,0.021146,-0.025090,0.057804,0
5.207337,0.015565,0.021306,-0.026196,0.057325,0
5.258894,0.014777,0.021471,-0.027306,0.056860,0
5.310452,0.013994,0.021640,-0.028420,0.056408,0
5.362010,0.013215,0.021813,-0.029539,0.055968,0
5.413568,0.012440,0.021991,-0.030662,0.055541,0
5.465126,0.011669,0.022172,-0.031788,0.055127,0
5.516683,0.010903,0.022358,-0.032918,0.054724,0
5.568241,0.010141,0.022547,-0.034052,0.054334,0
5.619799,0.009383,0.022741,-0.035189,0.053955,0
5.671357,0.008629,0.022938,-0.036329,0.053588,0
5.722915,0.007880,0.023139,-0.037473,0.053232,0
5.774472,0.007134,0.023343,-0.038619,0.052887,0
5.826030,0.006393,0.023552,-0.039768,0.052554,0
5.877588,0.005655,0.023763,-0.040920,0.052231,0
5.929146,0.004922,0.023978,-0.042075,0.051918,0
5.980704,0.004192,0.024196,-0.043232,0.051617,0
6.032261,0.003467,0.024417,-0.044391,0.051325,0
6.083819,0.002745,0.024642,-0.045552,0.051043,0
6.135377,0.002028,0.024869,-0.046716,0.050771,0
6.186935,0.001314,0.025099,-0.047881,0.050509,0
6.238492,0.000604,0.025333,-0.049048,0.050256,0
6.290050,-0.000102,0.025569,-0.050217,0.050012,0
6.341608,-0.000805,0.025808,-0.051388,0.049778,0
6.393166,-0.001504,0.026049,-0.052560,0.049552,0
6.444724,-0.002199,0.026293,-0.053733,0.049335,0
6.496281,-0.002890,0.026540,-0.054908,0.049127,0
6.547839,-0.003578,0.026789,-0.056083,0.048928,0
6.599397,-0.004262,0.027040,-0.057260,0.048736,0
6.650955,-0.004943,0.027294,-0.058438,0.048553,0
6.702513,-0.005620,0.027550,-0.059617,0.048378,0
6.754070,-0.006293,0.027808,-0.060796,0.048210,0
6.805628,-0.006963,0.028068,-0.061977,0.048051,0
6.857186,-0.007629,0.028331,-0.063157,0.047899,0
6.908744,-0.008293,0.028595,-0.064339,0.047754,0
6.960302,-0.008952,0.028861,-0.065521,0.047616,0
7.011859,-0.009608,0.029130,-0.066703,0.047486,0
7.063417,-0.010261,0.029400,-0.067885,0.047363,0
7.114975,-0.010911,0.029672,-0.069068,0.047246,0
7.166533,-0.011557,0.029946,-0.070251,0.047137,0
7.218090,-0.012200,0.030221,-0.071434,0.047034,0
7.269648,-0.012840,0.030499,-0.072617,0.046937,0
7.321206,-0.013477,0.030778,-0.073801,0.046847,0
7.372764,-0.014110,0.031058,-0.074984,0.046764,0
7.424322,-0.014740,0.031340,-0.076166,0.046686,0
7.475879,-0.015367,0.031623,-0.077349,0.046615,0
7.527437,-0.015991,0.031908,-0.078532,0.046549,0
7.578995,-0.016612,0.032195,-0.079714,0.046490,0
7.630553,-0.017230,0.032483,-0.080896,0.046436,0
7.682111,-0.017845,0.032772,-0.082077,0.046388,0
7.733668,-0.018456,0.033062,-0.083258,0.046345,0
