UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A025,T4,What,137.74,-1.4041344,-1.5859368,-1.712304752056884,-1.374000107114357,-0.12724095410538583
A026,T1,What,1.0,0.85312533,-0.6328825,0.9528852051227128,0.2306181439984914,-0.24514663020112426
A026,T2,What,26.48,0.00019577265,-0.42145854,-0.0541851201122387,0.5865839530175084,0.4178034966545197
A026,T3,What,75.46,0.3868858,-0.6856185,0.4023872289788087,0.141828713962147,-0.06486050809546655
A026,T4,What,147.65,-0.0556293,-0.5625567,-0.1200988565813695,0.3490227954481643,0.2935572506061417
A027,T1,What,1.0,0.8339228,-0.38182217,0.9302124087988092,0.653318075837018,0.036269712539810095
A027,T2,What,28.26,0.33739686,-0.45206234,0.343954686136491,0.535057596089674,0.21303443926995935
A027,T3,What,74.58,-0.7617411,-1.0760665,-0.9538186332621008,-0.5155524939191978,0.0974075805411137
A027,T4,What,145.92,-0.9249458,-1.4106717,-1.1465175600287203,-1.0789134806303062,-0.18154551775184713
A028,T1,What,1.0,1.3888893,-0.12767327,1.5854720241250042,1.0812181057096646,0.02873975972509535
A028,T2,What,22.82,0.3311532,-0.37503678,0.3365826767452438,0.6647423573652779,0.2995525994467381
A028,T3,What,72.26,-0.43044564,-0.5752383,-0.5626517147563627,0.3276713081160022,0.470641101778994
A028,T4,What,138.91,-0.40401626,-0.7432959,-0.5314460377071898,0.0447196523727536,0.27535273437048985
A029,T1,What,1.0,1.4967275,0.19529736,1.7127986599660312,1.62499044635323,0.32328956325763847
A029,T2,What,28.43,-0.0183022,-0.28048995,-0.0760260320284597,0.8239269589172186,0.5797446432342294
A029,T3,What,93.26,1.1595125,-0.26848072,1.314642426783987,0.8441464045876405,-0.0068432298565312966
A029,T4,What,143.14,1.0474995,-0.5393232,1.1823865243258511,0.3881400819839161,-0.24286643285903237
A030,T1,What,1.0,0.2812619,-0.77442324,0.2776750597158848,-0.00768816727886,-0.10717584383094195
A030,T2,What,32.95,0.8832621,-0.60881066,0.9884682688164206,0.2711469090456335,-0.23444300262518053
A030,T3,What,71.93,-0.18143387,-0.6840649,-0.2686387308701372,0.1444444462608513,0.22613080912096567
A030,T4,What,150.46,-0.0007534161,-0.4550996,-0.0553058455167396,0.5299438865881534,0.38188790068494116
A031,T1,What,1.0,2.098076,0.2638275,2.422822394348168,1.7403718190570925,0.09131336832027914
A031,T2,What,32.41,-0.3397794,-0.4018008,-0.4556003422041951,0.6196808797924372,0.6121413720196425
A031,T3,What,71.56,0.16093041,-0.7150441,0.1355973561985952,0.0922860438226322,0.018327189320603343
A031,T4,What,143.85,-0.412024,-1.270624,-0.5409009302674294,-0.8431209392752367,-0.2911267495200504
A032,T1,What,1.0,0.9237079,-0.32446685,1.0362234024137822,0.7498848646027975,0.05262049852503825
A032,T2,What,57.18,-0.077504,-0.7612248,-0.1459267353945518,0.0145335022631773,0.08973888802393812
A032,T3,What,80.16,0.7994235,-0.6971033,0.8894784220680371,0.1224922294718291,-0.2872943430698169
A032,T4,What,144.51,1.3869435,-0.60140634,1.5831745806585935,0.2836132575098078,-0.4828371386272618
A033,T1,What,1.0,0.35103184,-0.5664332,0.3600537691438082,0.3424960921423412,0.08234694519115439
A033,T2,What,29.16,0.24968037,-0.58645725,0.2403861401158501,0.3087824243154437,0.11227567533081827
A033,T3,What,72.6,0.9273771,-0.24209799,1.0405556973911454,0.8885659198998137,0.13987370924595388
A033,T4,What,168.33,-0.04748927,-0.44846633,-0.1104877666749631,0.5411120499410277,0.4128564155083986
A034,T1,What,1.0,1.638878,-0.035272777,1.8806384880429083,1.236789008101716,0.0014548723763680993
A034,T2,What,26.08,0.35502133,0.07378795,0.3647642366814844,1.4204100599387792,0.7730194506012559
