contrast,estimate,SE,z,p_uncorrected,p_bonferroni,cohens_d,interpretation
What vs Where,0.03852873860471004,0.03665327740457111,1.051167626279036,0.2931816089627095,0.8795448268881285,0.0743287756705673,not significant
What vs When,-0.003508785876302224,0.03891999818262002,-0.09015380370364702,0.9281649940767174,1.0,-0.006374836594860968,not significant
Where vs When,-0.042037524481012264,0.03869761558569123,-1.0863078731020315,0.27734280494425834,0.832028414832775,-0.07681356635267819,not significant
