Domain,r_xx,r_yy,r_xy,r_diff,threshold,status
Overall,0.3195010273471073,0.6509674122712588,0.43750694105839183,0.08484954257141458,0.7,FAIL
What,0.09882556066204186,0.7325017084786393,0.5706768376258724,0.08323271953467186,0.7,FAIL
Where,0.09189326510826806,0.7311768398232109,0.6020371321949409,0.036698413941884736,0.7,FAIL
When,0.16879047208774664,0.6195407893081005,0.08719421514338546,0.3362943362620755,0.7,FAIL
