UID,TEST,theta_accuracy,Domain,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration
A019,T4,-1.264995,What,-2.2403193,154.76,-1.548020187635937,-2.475756956339898,-0.927736768703961,0.927736768703961
A020,T1,-0.01839159,What,-0.42148626,1.0,-0.07613157651990926,0.5865372819958039,0.6626688585157132,0.6626688585157132
A020,T2,-0.5171829,What,-0.37508157,26.85,-0.6650640650911093,0.6646669462879999,1.3297310113791092,1.3297310113791092
A020,T3,-0.46821594,What,-1.0575523,78.25,-0.6072478340694292,-0.4843808983188699,0.12286693575055929,0.12286693575055929
A020,T4,-2.2787354,What,-1.3997948,145.78,-2.744962966244417,-1.060600492319431,1.684362473924986,1.684362473924986
A021,T1,1.0875474,What,-0.58914065,1.0,1.2296718497439114,0.3042644943139357,-0.9254073554299758,0.9254073554299758
A021,T2,0.8355286,What,-0.54050285,30.21,0.9321084077289983,0.38615395389034873,-0.5459544538386496,0.5459544538386496
A021,T3,0.29306138,What,-0.5408941,74.19,0.2916069325872187,0.38549522238811634,0.09388828980089764,0.09388828980089764
A021,T4,0.7857295,What,-0.15621644,140.39,0.8733096530121086,1.0331611465976636,0.15985149358555495,0.15985149358555495
A022,T1,-0.07678151,What,-0.8681633,1.0,-0.14507367756227363,-0.16551444342746302,-0.020440765865189392,0.020440765865189392
A022,T2,0.13877183,What,-1.4832864,24.15,0.10943429481205262,-1.2011718586881819,-1.3106061535002345,1.3106061535002345
A022,T3,-0.30076003,What,-1.0958583,74.46,-0.40952942192978137,-0.5488751319917348,-0.1393457100619534,0.1393457100619534
A022,T4,0.26840943,What,-2.051999,141.71,0.262499901308681,-2.1586898275991255,-2.4211897289078066,2.4211897289078066
A023,T1,0.59516215,What,-0.3060042,1.0,0.6483031193659654,0.7809696675924158,0.1326665482264504,0.1326665482264504
A023,T2,-0.49034083,What,-0.5969571,25.63,-0.6333711170253093,0.2911042595519594,0.9244753765772687,0.9244753765772687
A023,T3,0.32838494,What,-0.7395715,72.2,0.3333141389457138,0.050990271176367084,-0.28232386776934676,0.28232386776934676
A023,T4,-0.06907465,What,-0.39594382,145.07,-0.13597403980220552,0.6295420356619432,0.7655160754641488,0.7655160754641488
A024,T1,0.079528205,What,-0.7741825,1.0,0.039484207864409204,-0.00728284326135878,-0.04676705112576798,0.04676705112576798
A024,T2,-0.0904471,What,-0.33664376,29.57,-0.16120890238504312,0.729383103026192,0.8905920054112352,0.8905920054112352
A024,T3,0.3260986,What,-0.54852176,91.47,0.3306146133547009,0.37265284556941536,0.04203823221471448,0.04203823221471448
A024,T4,-0.4476697,What,-0.9095712,145.65,-0.5829884935168019,-0.23523121830614077,0.34775727521066113,0.34775727521066113
A025,T1,0.9811938,What,-0.27394688,1.0,1.1040981096631028,0.8349432562470863,-0.2691548534160165,0.2691548534160165
A025,T2,1.7059261,What,-0.5362342,23.33,1.9598034686576882,0.39334090399131655,-1.5664625646663717,1.5664625646663717
A025,T3,-0.524388,What,-1.1941146,72.94,-0.6735712651732525,-0.7143052153215298,-0.0407339501482773,0.0407339501482773
A025,T4,-1.4041344,What,-1.5859368,137.74,-1.712304752056884,-1.374000107114357,0.3383046449425269,0.3383046449425269
A026,T1,0.85312533,What,-0.6328825,1.0,0.9528852051227129,0.23061814399849145,-0.7222670611242215,0.7222670611242215
A026,T2,0.00019577265,What,-0.42145854,26.48,-0.054185120112238735,0.5865839530175084,0.6407690731297472,0.6407690731297472
A026,T3,0.3868858,What,-0.6856185,75.46,0.40238722897880874,0.14182871396214705,-0.2605585150166617,0.2605585150166617
A026,T4,-0.0556293,What,-0.5625567,147.65,-0.12009885658136957,0.3490227954481643,0.4691216520295338,0.4691216520295338
A027,T1,0.8339228,What,-0.38182217,1.0,0.9302124087988092,0.653318075837018,-0.2768943329617912,0.2768943329617912
A027,T2,0.33739686,What,-0.45206234,28.26,0.343954686136491,0.535057596089674,0.19110290995318296,0.19110290995318296
A027,T3,-0.7617411,What,-1.0760665,74.58,-0.9538186332621008,-0.5155524939191978,0.43826613934290304,0.43826613934290304
A027,T4,-0.9249458,What,-1.4106717,145.92,-1.1465175600287203,-1.0789134806303062,0.06760407939841406,0.06760407939841406
A028,T1,1.3888893,What,-0.12767327,1.0,1.5854720241250042,1.0812181057096646,-0.5042539184153396,0.5042539184153396
A028,T2,0.3311532,What,-0.37503678,22.82,0.33658267674524384,0.6647423573652779,0.32815968062003403,0.32815968062003403
A028,T3,-0.43044564,What,-0.5752383,72.26,-0.5626517147563627,0.3276713081160022,0.8903230228723649,0.8903230228723649
A028,T4,-0.40401626,What,-0.7432959,138.91,-0.5314460377071898,0.04471965237275366,0.5761656900799434,0.5761656900799434
A029,T1,1.4967275,What,0.19529736,1.0,1.7127986599660312,1.62499044635323,-0.08780821361280111,0.08780821361280111
A029,T2,-0.0183022,What,-0.28048995,28.43,-0.07602603202845977,0.8239269589172186,0.8999529909456784,0.8999529909456784
A029,T3,1.1595125,What,-0.26848072,93.26,1.314642426783987,0.8441464045876405,-0.47049602219634645,0.47049602219634645
A029,T4,1.0474995,What,-0.5393232,143.14,1.1823865243258511,0.38814008198391614,-0.794246442341935,0.794246442341935
A030,T1,0.2812619,What,-0.77442324,1.0,0.2776750597158848,-0.007688167278860034,-0.2853632269947448,0.2853632269947448
A030,T2,0.8832621,What,-0.60881066,32.95,0.9884682688164206,0.2711469090456335,-0.717321359770787,0.717321359770787
A030,T3,-0.18143387,What,-0.6840649,71.93,-0.26863873087013723,0.14444444626085132,0.4130831771309885,0.4130831771309885
A030,T4,-0.0007534161,What,-0.4550996,150.46,-0.05530584551673965,0.5299438865881534,0.5852497321048931,0.5852497321048931
A031,T1,2.098076,What,0.2638275,1.0,2.422822394348168,1.7403718190570925,-0.6824505752910754,0.6824505752910754
A031,T2,-0.3397794,What,-0.4018008,32.41,-0.45560034220419515,0.6196808797924372,1.0752812219966323,1.0752812219966323
A031,T3,0.16093041,What,-0.7150441,71.56,0.13559735619859525,0.09228604382263228,-0.043311312375962974,0.043311312375962974
A031,T4,-0.412024,What,-1.270624,143.85,-0.5409009302674294,-0.8431209392752367,-0.3022200090078073,0.3022200090078073
A032,T1,0.9237079,What,-0.32446685,1.0,1.0362234024137822,0.7498848646027975,-0.28633853781098473,0.28633853781098473
A032,T2,-0.077504,What,-0.7612248,57.18,-0.14592673539455184,0.01453350226317733,0.16046023765772915,0.16046023765772915
A032,T3,0.7994235,What,-0.6971033,80.16,0.8894784220680371,0.12249222947182914,-0.7669861925962079,0.7669861925962079
A032,T4,1.3869435,What,-0.60140634,144.51,1.5831745806585937,0.2836132575098078,-1.299561323148786,1.299561323148786
A033,T1,0.35103184,What,-0.5664332,1.0,0.36005376914380827,0.3424960921423412,-0.017557677001467042,0.017557677001467042
A033,T2,0.24968037,What,-0.58645725,29.16,0.2403861401158501,0.3087824243154437,0.06839628419959362,0.06839628419959362
A033,T3,0.9273771,What,-0.24209799,72.6,1.0405556973911454,0.8885659198998137,-0.1519897774913317,0.1519897774913317
A033,T4,-0.04748927,What,-0.44846633,168.33,-0.11048776667496316,0.5411120499410277,0.6515998166159909,0.6515998166159909
A034,T1,1.638878,What,-0.035272777,1.0,1.8806384880429083,1.236789008101716,-0.6438494799411922,0.6438494799411922
A034,T2,0.35502133,What,0.07378795,26.08,0.3647642366814844,1.4204100599387792,1.055645823257295,1.055645823257295
A034,T3,0.20019667,What,-0.32593602,74.28,0.181959784242267,0.7474112836158721,0.5654514993736051,0.5654514993736051
A034,T4,-0.25343332,What,-0.5804641,145.38,-0.3536498656155635,0.3188728440026084,0.6725227096181718,0.6725227096181718
A035,T1,-0.060081527,What,-0.71035606,1.0,-0.12535568659068527,0.10017910358422938,0.22553479017491465,0.22553479017491465
A035,T2,0.87888414,What,-0.21037312,44.76,0.9832991272817271,0.9419797761892008,-0.04131935109252627,0.04131935109252627
A035,T3,-0.35612592,What,-0.7377237,79.98,-0.474900992616647,0.05410133589157421,0.5290023285082212,0.5290023285082212
