term,estimate_irt,SE_irt,p_irt,sig_irt,estimate_ctt,SE_ctt,p_ctt,sig_ctt,agreement,beta_ratio,discrepancy_flag
Intercept,0.7966526312333829,0.0960999530154198,1.1340689361054157e-16,True,0.8321713583681688,0.0156886749622506,0.0,True,True,1.0445849618042378,False
C(domain)[T.Where],0.0690783083929684,0.0769304433723944,0.3692217927916004,False,-0.1705588689570077,0.0167203908150431,1.9694819668982422e-24,True,False,-2.46906551310931,True
log_TSVR,-0.2390799330953778,0.0205264227737156,2.3650229190354766e-31,True,-0.0346606873073936,0.0036539298681829,2.403798541798084e-21,True,True,0.14497530954873644,True
log_TSVR:C(domain)[T.Where],-0.0074576164449049,0.0205314950934862,0.7164344803605562,False,-0.0080788053967003,0.0044624027489151,0.0702312977852088,False,True,1.0832959104808617,False
