UID,HCE_rate_mean,baseline_accuracy,baseline_confidence,Age,confidence_bias
A010,0.0034722222222222,2.7277744,0.9966144,22.0,-2.007106896992833
A011,0.03124999999999995,0.99576205,2.008585,21.0,1.154087853526222
A012,0.04513888888888885,1.5109797,1.096769,21.0,-0.5076042857741236
A013,0.04166666666666665,0.2579466,0.14108829,22.0,-0.21390604730223373
A014,0.0694444444444444,0.9670465,1.5729513,22.0,0.6722010929314179
A015,0.024305555555555476,1.7906865,1.4229563,23.0,-0.439881238395205
A016,0.055555555555555504,1.3865802,0.6762369,21.0,-0.863042358090976
A017,0.1284722222222222,-0.12061626,1.2367781,24.0,1.5098197868451315
A018,0.020833333333333273,0.34396127,0.4011214,23.0,-0.004445230468795358
A019,0.013888888888888826,-0.44238952,-0.13678566,20.0,0.25289785980317525
A020,0.06597222222222217,-0.036810145,0.4385481,26.0,0.4719807044219901
A021,0.0416666666666666,1.366235,1.2973111,28.0,-0.10646035827388944
A022,0.006944444444444425,0.1020859,-1.0273978,28.0,-1.4169639309277628
A023,0.03819444444444437,0.8812526,0.8757261,26.0,-0.05383342612722358
A024,0.04513888888888885,0.33348504,0.5364075,29.0,0.1672193021080977
A025,0.010416666666666624,0.99917114,0.7685537,26.0,-0.31425672020102935
A026,0.03819444444444437,1.0569059,0.56117547,29.0,-0.6247065096997633
A027,0.055555555555555525,0.9770042,1.0715036,28.0,0.06868894518011542
A028,0.017361111111111025,1.5710772,1.2547947,26.0,-0.38919468520332756
A029,0.0416666666666666,1.7016916,1.6053915,25.0,-0.1234048004316981
A030,0.020833333333333277,0.33380765,0.23597223,31.0,-0.18796043467262685
A031,0.04861111111111108,2.2557483,2.0878112,32.0,-0.18259436957770592
A032,0.024305555555555476,0.8067235,0.3052368,33.0,-0.6429800799730763
A033,0.027777777777777724,0.43369794,0.77137077,32.0,0.33095584418490315
A034,0.09722222222222218,2.0359054,2.0106363,33.0,-0.024187515213252464
A035,0.03472222222222215,-0.06479133,0.8264408,34.0,0.961843593282174
A036,0.0,1.3283472,-0.8724763,30.0,-2.6259679326433965
A037,0.031249999999999924,1.1801162,0.981827,31.0,-0.26777749413033985
A038,0.12152777777777775,1.2059275,1.2398889,32.0,0.007693980215018326
A039,0.0277777777777777,2.174663,2.2039258,31.0,0.04657913040826145
A040,0.04513888888888885,-0.5069201,0.10722337,38.0,0.6143226998812624
A041,0.03819444444444437,1.1962991,1.1639924,35.0,-0.0710101686051201
A042,0.0034722222222222,-0.8806226,-0.26355729,38.0,0.6006323133468565
A043,0.11805555555555552,1.0349586,2.2976968,38.0,1.451035206672968
A044,0.0,-0.0888245,-0.48998752,38.0,-0.5655751951079543
A045,0.045138888888888826,-0.9017756,-0.1593461,37.0,0.7477169533763042
A046,0.07638888888888885,-0.7687857,0.676205,38.0,1.5835405234556594
A047,0.055555555555555525,-0.7466336,0.3895279,36.0,1.2198298519636486
A048,0.04166666666666662,1.0764405,0.724293,38.0,-0.45423930090444653
A049,0.01736111111111105,2.1010969,1.5637307,35.0,-0.6259830824846713
A050,0.04513888888888885,-0.39878848,0.035831243,41.0,0.4072652729039521
A051,0.06249999999999996,1.5230782,1.7638129,41.0,0.26644003186116494
A052,0.0277777777777777,0.58457315,1.0086244,43.0,0.4398889880551841
A053,0.0034722222222222,1.401935,0.7935923,44.0,-0.7418755289152488
A054,0.06249999999999995,0.52522403,1.6660749,43.0,1.283705855862676
A055,0.0104166666666666,0.28537354,0.8933571,44.0,0.643388968606909
A056,0.020833333333333277,0.5282342,0.35512546,42.0,-0.2679400920593613
A057,0.034722222222222175,0.4946756,0.7148236,40.0,0.19495616161846258
A058,0.020833333333333277,1.0215306,0.6129219,42.0,-0.5234385003771563
A059,0.0208333333333333,0.99710035,0.35930577,43.0,-0.7952271993936807
A060,0.0833333333333333,-0.051358394,1.1899056,48.0,1.3758467622865016
A061,0.09027777777777775,2.529091,3.035337,47.0,0.626152449018833
A062,0.024305555555555497,1.5359104,0.8056381,48.0,-0.8797289596338826
A063,0.0,0.86206603,-0.22373737,45.0,-1.3305186243929927
A064,0.0416666666666666,0.83211017,0.97024375,47.0,0.11357480245704571
A065,0.027777777777777752,-2.2385516,-0.13690929,47.0,2.2916293659623683
A066,0.02083333333333325,0.46571386,0.46811906,47.0,-0.06352613123009046
A067,0.01736111111111105,0.6627066,0.24262358,48.0,-0.5534482763369569
A068,0.06597222222222218,1.3038205,2.2656133,49.0,1.1079514326553621
A069,0.0486111111111111,-0.7867887,0.25422466,46.0,1.1056182201399587
A070,0.027777777777777728,0.5967721,0.26595566,52.0,-0.45104889948744814
A071,0.05902777777777773,1.1001538,1.4062483,50.0,0.32423104599852043
A072,0.09027777777777776,0.9622242,1.1476082,50.0,0.17534556752557418
A073,0.034722222222222154,0.8751058,0.005702734,51.0,-1.0743520942399154
A074,0.04166666666666662,1.1391835,0.4057072,53.0,-0.9017100411926722
A075,0.020833333333333252,0.4822121,0.21868351,53.0,-0.37683673053995936
A076,0.010416666666666624,-0.39436588,-0.25764796,54.0,0.055646617413029675
A077,0.031249999999999927,1.257486,1.0828195,52.0,-0.23633031017220668
A078,0.017361111111111025,0.05510661,-0.9361496,50.0,-1.2558723622893009
A079,0.07291666666666663,0.49688977,0.3822094,50.0,-0.20037400220423862
A080,0.04861111111111105,0.35685366,1.1243324,56.0,0.8350311664135044
A081,0.0833333333333333,0.56923956,1.2758523,55.0,0.7728902926498387
A082,0.0,0.47511065,0.1739859,58.0,-0.42156346123933425
A083,0.03819444444444438,1.9135383,1.2734162,58.0,-0.7559406042065182
A084,0.0069444444444444,0.37614724,-0.42285675,59.0,-1.0140972566949942
A085,0.0833333333333333,0.29977113,0.8677166,58.0,0.5967644458581509
A086,0.034722222222222175,0.9054527,1.277961,58.0,0.39373503251620795
A087,0.01736111111111105,1.164813,1.4973053,59.0,0.3583726054387707
A088,0.020833333333333273,2.00997,0.25304648,56.0,-2.070457991099503
A089,0.024305555555555476,1.6034564,1.3327537,56.0,-0.3338798437138403
A090,0.0034722222222222,0.20163605,-0.65424925,61.0,-1.0892785055570329
A091,0.03819444444444438,0.64397514,0.9867957,63.0,0.3466803486388101
A092,0.05208333333333327,-0.28513366,0.22590114,60.0,0.5027244923455196
A093,0.0694444444444444,0.56161565,1.615065,64.0,1.1821540318413482
A094,0.0069444444444444,-0.70889944,-0.15748604,60.0,0.5309741600197841
