UID,HCE_rate_mean,z_baseline_accuracy,z_baseline_confidence,z_Age,z_confidence_bias
A010,0.0034722222222222,2.346453483849118,0.33934658685628466,-1.5481049000156297,-2.0859341248961902
A011,0.03124999999999995,0.3803942557145605,1.5344821092407825,-1.6166961671851303,1.1994135640734327
A012,0.04513888888888885,0.9652332814179863,0.4576289956438626,-1.6166961671851303,-0.5275399647254481
A013,0.04166666666666665,-0.4571222170361975,-0.6710282643384312,-1.5481049000156297,-0.22230700530096464
A014,0.0694444444444444,0.34779837262604835,1.0199994655574662,-1.5481049000156297,0.698601156041549
A015,0.024305555555555476,1.2827368692601786,0.8428556308649736,-1.4795136328461291,-0.4571571586171632
A016,0.055555555555555504,0.8240236734435831,-0.039018684647392846,-1.6166961671851303,-0.8969375316631545
A017,0.1284722222222222,-0.8868402870788336,0.6229794997662979,-1.4109223656766283,1.5691165331265349
A018,0.020833333333333273,-0.35948438223181595,-0.3639296127006113,-1.4795136328461291,-0.004619812697460975
A019,0.013888888888888826,-1.252094776857697,-0.9991969170545218,-1.685287434354631,0.26283018441470635
A020,0.06597222222222217,-0.7917094493744397,-0.3197287449524496,-1.2737398313376271,0.49051730085798534
A021,0.0416666666666666,0.8009292259887233,0.6944688677148338,-1.1365572969986257,-0.11064148830582883
A022,0.006944444444444425,-0.6340443778617321,-2.051008308789495,-1.1365572969986257,-1.47261385115943
A023,0.03819444444444437,0.25041114047804813,0.19657771435082455,-1.2737398313376271,-0.05594768309904087
A024,0.04513888888888885,-0.3713762654897847,-0.20415696338168698,-1.0679660298291251,0.17378668227945984
A025,0.010416666666666624,0.3842640161432556,0.07000729594222624,-1.2737398313376271,-0.3265988561084708
A026,0.03819444444444437,0.4498004759047199,-0.17490603379504333,-1.0679660298291251,-0.6492412679065108
A027,0.055555555555555525,0.3591016569103639,0.4277906020904793,-1.1365572969986257,0.07138663863344674
A028,0.017361111111111025,1.0334517583028748,0.6442570730995473,-1.2737398313376271,-0.40447993891615364
A029,0.0416666666666666,1.181716085891104,1.058311285459406,-1.3423310985071277,-0.12825140742735577
A030,0.020833333333333277,-0.3710100611913058,-0.5589704958639327,-0.9307834954901238,-0.19534240323790483
A031,0.04861111111111108,1.8106424835260746,1.6280481139483687,-0.8621922283206233,-0.18976559100399726
A032,0.024305555555555476,0.16581092107455297,-0.47716915889852324,-0.7936009611511226,-0.6682325153950737
A033,0.027777777777777724,-0.25762159346153635,0.07333425072336679,-0.8621922283206233,0.3439538224164552
A034,0.09722222222222218,1.5610922061941241,1.5369046909808717,-0.7936009611511226,-0.025137457030994244
A035,0.03472222222222215,-0.8234717326996077,0.1383718605825662,-0.7250096939816218,0.9996190920603579
A036,0.0,0.7579216464967431,-1.8680462861466531,-0.9993747626596245,-2.7291003432805803
A037,0.031249999999999924,0.5896601872492881,0.3218826931189483,-0.9307834954901238,-0.27829420232800894
A038,0.12152777777777775,0.6189593689526689,0.6266533491676872,-0.8621922283206233,0.007996154021904943
A039,0.0277777777777777,1.7186001246300429,1.7651792550383043,-0.9307834954901238,0.048408481766543825
A040,0.04513888888888885,-1.3253453759691152,-0.7110226760878527,-0.4506446253036193,0.6384496437636731
A041,0.03819444444444437,0.6080298829867226,0.5370197143816025,-0.6564184268121213,-0.07379902591634685
A042,0.0034722222222222,-1.749546305426665,-1.1489139920798084,-0.4506446253036193,0.6242215802270858
A043,0.11805555555555552,0.42488743663127715,1.875922643304245,-0.4506446253036193,1.508023244083221
A044,0.0,-0.8507525056454973,-1.4163277007534516,-0.4506446253036193,-0.5877876267766698
A045,0.045138888888888826,-1.7735577109185081,-1.025840757542204,-0.51923589247312,0.7770828305895734
A046,0.07638888888888885,-1.6225968819476917,-0.039056358492032366,-0.4506446253036193,1.6457325820468895
A047,0.055555555555555525,-1.597451368044422,-0.37762151608077343,-0.5878271596426206,1.2677375174139158
A048,0.04166666666666662,0.47197478695851636,0.017735486054069813,-0.4506446253036193,-0.4720791204719565
A049,0.01736111111111105,1.635093035443947,1.0091099529592757,-0.6564184268121213,-0.6505679768819734
A050,0.04513888888888885,-1.2026019270819643,-0.7953366541780122,-0.24487082379511735,0.4232602318831783
A051,0.06249999999999996,0.9789666520672117,1.2454066839283766,-0.24487082379511735,0.27690421249128727
A052,0.0277777777777777,-0.08635861204154864,0.35353037601363546,-0.10768828945611604,0.4571652126377189
A053,0.0034722222222222,0.8414533680044562,0.09957783908920749,-0.03909702228661539,-0.7710119896993478
A054,0.06249999999999995,-0.15372758031574443,1.1299782755469314,-0.10768828945611604,1.3341221910427161
A055,0.0104166666666666,-0.4259890738536487,0.21739989475326033,-0.03909702228661539,0.6686574627438525
A056,0.020833333333333277,-0.1503106459579993,-0.4182507380173606,-0.1762795566256167,-0.2784631861371381
A057,0.034722222222222175,-0.18840402053080554,0.006552141087657037,-0.31346209096461797,0.20261288075289774
A058,0.020833333333333277,0.4096449106092249,-0.11379358976793141,-0.1762795566256167,-0.5439960531534644
A059,0.0208333333333333,0.3819134002316377,-0.41331379916204297,-0.10768828945611604,-0.826458996651452
A060,0.0833333333333333,-0.808223603675735,0.5676231586107667,0.2352680463913872,1.4298818445501051
A061,0.09027777777777775,2.1209219903541965,2.7470744393730295,0.16667677922188656,0.6507439951268172
A062,0.024305555555555497,0.9935328676183122,0.11380390798442953,0.2352680463913872,-0.9142794837231293
A063,0.0,0.2286318887280536,-1.101886735664939,0.02949424488288526,-1.382773486847916
A064,0.0416666666666666,0.19462809251395213,0.30820289497099784,0.16667677922188656,0.11803534556552361
A065,0.027777777777777752,-3.2909722898323372,-0.9993429238699691,0.16667677922188656,2.3816309451365476
A066,0.02083333333333325,-0.22127936128102235,-0.2848054925111128,0.16667677922188656,-0.06602106004120463
A067,0.01736111111111105,0.0023330132799972278,-0.5511152630569597,0.2352680463913872,-0.5751844347233878
A068,0.06597222222222218,0.7300806528279116,1.8380320854832737,0.30385931356088786,1.1514651788432846
A069,0.0486111111111111,-1.643032627849911,-0.5374144077099523,0.09808551205238591,1.1490403316097832
A070,0.027777777777777728,-0.07251121758096518,-0.5235601170684133,0.5096331150693898,-0.4687634190522638
A071,0.05902777777777773,0.4988924658622051,0.8231235118607255,0.3724505807303885,0.33696491413208207
A072,0.09027777777777776,0.34232443508984467,0.5176700026154188,0.3724505807303885,0.18223209909690724
A073,0.034722222222222154,0.24343372321915996,-0.8309183710207555,0.44104184789988915,-1.116546258142189
