domain,var_intercept,var_slope,cov_int_slope,var_residual
What,0.2390542547393879,0.05681018754199039,0.0005782019500107515,0.039552624484990834
Where,0.2676232163485009,0.05953891046466731,0.00040280042584296,0.04144414057565465
When,0.15618498390524052,1.6462263256515626e-06,0.0003565228520612497,0.1344266756040956
