TEST,mean_gamma,sd_gamma,CI_lower,CI_upper,N,mean_TSVR_hours
T1,0.728466717187473,0.12031061830761267,0.7045944803582275,0.7523389540167186,100,1.0
T2,0.6850821633330798,0.17522608382391236,0.650313506746091,0.7198508199200686,100,28.769699999999997
T3,0.6919064238856982,0.17032930694365025,0.6581093940680666,0.7257034537033299,100,78.6681
T4,0.6623814912995428,0.1991865895175278,0.6228585505561548,0.7019044320429308,100,151.37520000000004
