model,converged,beta,se,z,p,AIC,BIC
Random Slopes,True,-0.008518299811823286,0.0032875319997247247,-2.5910925924178225,0.009567174651197084,,
Random Intercepts,True,-0.008611039693784711,0.0031150336307238713,-2.76434886893458,0.005703652184954263,,
