UID,TEST,gamma,n_items,TSVR_hours,TSVR_days
A010,T1,0.8643533123028391,72,1.0,0.041666666666666664
A010,T2,0.836947094535993,72,21.9,0.9125
A010,T3,0.7838899803536346,72,80.88,3.3699999999999997
A010,T4,0.75,72,145.31,6.054583333333333
A011,T1,0.8113695090439277,72,1.0,0.041666666666666664
A011,T2,0.6712598425196851,72,24.57,1.02375
A011,T3,0.7705779334500875,72,72.55,3.0229166666666667
A011,T4,0.6761363636363636,72,148.85,6.202083333333333
A012,T1,0.7670682730923695,72,1.0,0.041666666666666664
A012,T2,0.4689265536723164,72,25.6,1.0666666666666667
A012,T3,0.8754152823920266,72,166.33,6.930416666666667
A012,T4,0.5241935483870968,72,166.87,6.952916666666667
A013,T1,0.6555661274976213,72,1.0,0.041666666666666664
A013,T2,0.3326551373346897,72,24.77,1.0320833333333332
A013,T3,0.6897810218978102,72,79.66,3.3191666666666664
A013,T4,0.6792828685258964,72,147.13,6.130416666666666
A014,T1,0.7738446411012783,72,1.0,0.041666666666666664
A014,T2,0.7339712918660287,72,25.66,1.0691666666666666
A014,T3,0.8250428816466552,72,70.56,2.94
A014,T4,0.6766698935140368,72,148.87,6.202916666666667
A015,T1,0.7436548223350253,72,1.0,0.041666666666666664
A015,T2,0.9470068694798822,72,23.69,0.9870833333333334
A015,T3,0.8585635359116022,72,70.59,2.94125
A015,T4,0.7152542372881356,72,146.54,6.105833333333333
A016,T1,0.7159880834160874,72,1.0,0.041666666666666664
A016,T2,0.7688172043010753,72,32.85,1.3687500000000001
A016,T3,0.45419103313840153,72,80.64,3.36
A016,T4,0.6708860759493671,72,150.8,6.283333333333334
A017,T1,0.7087378640776699,72,1.0,0.041666666666666664
A017,T2,0.8452200303490136,72,20.61,0.85875
A017,T3,0.7864406779661017,72,61.28,2.5533333333333332
A017,T4,0.8354114713216958,72,140.49,5.853750000000001
A018,T1,0.8427672955974843,72,1.0,0.041666666666666664
A018,T2,0.8124341412012644,72,34.03,1.4179166666666667
A018,T3,0.6742934051144011,72,83.64,3.485
A018,T4,0.9670468948035488,72,150.87,6.28625
A019,T1,0.6673866090712743,72,1.0,0.041666666666666664
A019,T2,0.5261707988980716,72,28.69,1.1954166666666668
A019,T3,0.6701570680628273,72,83.68,3.486666666666667
A019,T4,0.09358288770053476,72,154.76,6.448333333333333
A020,T1,0.7621832358674464,72,1.0,0.041666666666666664
A020,T2,0.7917860553963706,72,26.85,1.1187500000000001
A020,T3,0.6356275303643725,72,78.25,3.2604166666666665
A020,T4,0.589171974522293,72,145.78,6.074166666666667
A021,T1,0.6532333645735707,72,1.0,0.041666666666666664
A021,T2,0.6,72,30.21,1.25875
A021,T3,0.779185520361991,72,74.19,3.09125
A021,T4,0.9087719298245615,72,140.39,5.8495833333333325
A022,T1,0.9354838709677419,72,1.0,0.041666666666666664
A022,T2,0.689795918367347,72,24.15,1.0062499999999999
A022,T3,0.9848053181386515,72,74.46,3.1024999999999996
A022,T4,0.876577840112202,72,141.71,5.904583333333334
A023,T1,0.7785714285714286,72,1.0,0.041666666666666664
A023,T2,0.6971279373368147,72,25.63,1.0679166666666666
A023,T3,0.5727788279773157,72,72.2,3.0083333333333333
A023,T4,0.7690288713910761,72,145.07,6.044583333333333
A024,T1,0.6303939962476548,72,1.0,0.041666666666666664
A024,T2,0.8355674709562109,72,29.57,1.2320833333333334
A024,T3,0.7529953917050691,72,91.47,3.81125
A024,T4,0.2545045045045045,72,145.65,6.0687500000000005
A025,T1,0.49391727493917276,72,1.0,0.041666666666666664
A025,T2,0.8653136531365314,72,23.33,0.9720833333333333
A025,T3,0.7208872458410351,72,72.94,3.0391666666666666
A025,T4,0.9355704697986578,72,137.74,5.739166666666667
A026,T1,0.5507692307692308,72,1.0,0.041666666666666664
A026,T2,0.8434476693051891,72,26.48,1.1033333333333333
A026,T3,0.8581560283687943,72,75.46,3.1441666666666666
A026,T4,0.7486238532110092,72,147.65,6.152083333333334
A027,T1,0.5485961123110151,72,1.0,0.041666666666666664
A027,T2,0.7039848197343453,72,28.26,1.1775
A027,T3,0.6764132553606238,72,74.58,3.1075
A027,T4,0.8098098098098098,72,145.92,6.079999999999999
A028,T1,0.854066985645933,72,1.0,0.041666666666666664
A028,T2,0.5955284552845529,72,22.82,0.9508333333333333
A028,T3,0.6521739130434783,72,72.26,3.0108333333333337
A028,T4,0.7945066124109867,72,138.91,5.787916666666667
A029,T1,0.850356294536817,72,1.0,0.041666666666666664
A029,T2,0.5968289920724802,72,28.43,1.1845833333333333
A029,T3,0.8358531317494601,72,93.26,3.8858333333333337
A029,T4,0.8825622775800712,72,143.14,5.964166666666666
A030,T1,0.8031358885017421,72,1.0,0.041666666666666664
A030,T2,0.800383877159309,72,32.95,1.3729166666666668
A030,T3,0.6669750231267345,72,71.93,2.9970833333333338
A030,T4,0.8044444444444444,72,150.46,6.269166666666667
A031,T1,0.7526080476900149,72,1.0,0.041666666666666664
A031,T2,0.8084210526315789,72,32.41,1.3504166666666666
A031,T3,0.6360189573459716,72,71.56,2.981666666666667
A031,T4,0.664804469273743,72,143.85,5.9937499999999995
A032,T1,0.8120672601384767,72,1.0,0.041666666666666664
A032,T2,0.8730904817861339,72,57.18,2.3825
A032,T3,0.7674418604651163,72,80.16,3.34
A032,T4,0.7551420176297747,72,144.51,6.021249999999999
A033,T1,0.7934782608695652,72,1.0,0.041666666666666664
A033,T2,0.5411423039690223,72,29.16,1.215
A033,T3,0.905090595340811,72,72.6,3.025
A033,T4,0.6061269146608315,72,168.33,7.013750000000001
A034,T1,0.6840490797546013,72,1.0,0.041666666666666664
A034,T2,0.7862767154105736,72,26.08,1.0866666666666667
A034,T3,0.47474747474747475,72,74.28,3.095
A034,T4,0.7363636363636363,72,145.38,6.0575
A035,T1,0.7248201438848921,72,1.0,0.041666666666666664
A035,T2,0.8337850045167118,72,44.76,1.865
A035,T3,0.7391304347826086,72,79.98,3.3325
A035,T4,0.5967741935483871,72,152.47,6.352916666666666
A036,T1,0.8076062639821029,72,1.0,0.041666666666666664
A036,T2,0.8350515463917526,72,21.63,0.90125
A036,T3,0.7442116868798236,72,71.47,2.9779166666666668
A036,T4,0.7835051546391752,72,143.85,5.9937499999999995
A037,T1,0.7595959595959596,72,1.0,0.041666666666666664
A037,T2,0.676266137040715,72,23.7,0.9874999999999999
A037,T3,0.5372972972972972,72,72.08,3.0033333333333334
A037,T4,0.8723849372384938,72,143.66,5.985833333333333
A038,T1,0.6871945259042033,72,1.0,0.041666666666666664
A038,T2,0.7238095238095238,72,71.85,2.99375
A038,T3,0.5858930602957907,72,72.86,3.035833333333333
A038,T4,0.5080321285140562,72,152.89,6.370416666666666
A039,T1,0.9466666666666667,72,1.0,0.041666666666666664
A039,T2,0.8716452742123687,72,28.65,1.1937499999999999
A039,T3,0.7862068965517242,72,98.84,4.118333333333333
A039,T4,0.7537117903930131,72,246.24,10.26
A040,T1,0.7164339419978518,72,1.0,0.041666666666666664
A040,T2,0.5927505330490405,72,26.26,1.0941666666666667
A040,T3,0.35901926444833626,72,71.28,2.97
A040,T4,0.9569471624266145,72,143.53,5.980416666666667
A041,T1,0.8187565858798735,72,1.0,0.041666666666666664
A041,T2,0.8186528497409327,72,31.78,1.3241666666666667
A041,T3,0.7820636451301832,72,75.74,3.1558333333333333
A041,T4,0.9422382671480144,72,141.84,5.91
A042,T1,0.828819068255688,72,1.0,0.041666666666666664
A042,T2,0.7042716319824753,72,28.93,1.2054166666666666
A042,T3,0.6613756613756614,72,72.17,3.0070833333333336
A042,T4,0.6117381489841986,72,146.02,6.084166666666667
A043,T1,0.8062678062678063,72,1.0,0.041666666666666664
A043,T2,0.4657142857142857,72,25.62,1.0675000000000001
A043,T3,0.6108597285067874,72,64.94,2.705833333333333
A043,T4,0.5026232948583421,72,149.33,6.222083333333334
A044,T1,0.806640625,72,1.0,0.041666666666666664
A044,T2,0.8181818181818182,72,47.66,1.9858333333333331
A044,T3,0.7567221510883483,72,91.63,3.8179166666666666
A044,T4,0.593094944512947,72,155.27,6.4695833333333335
A045,T1,0.7870182555780934,72,1.0,0.041666666666666664
A045,T2,0.4186284544524053,72,24.66,1.0275
A045,T3,0.36648648648648646,72,72.23,3.0095833333333335
A045,T4,0.6354916067146283,72,151.52,6.3133333333333335
A046,T1,0.5984848484848485,72,1.0,0.041666666666666664
A046,T2,0.0944206008583691,72,24.32,1.0133333333333334
A046,T3,0.10091743119266056,72,73.05,3.0437499999999997
A046,T4,0.6316440049443758,72,147.94,6.164166666666667
A047,T1,0.706959706959707,72,1.0,0.041666666666666664
A047,T2,0.42748815165876775,72,23.46,0.9775
A047,T3,0.38626609442060084,72,76.85,3.202083333333333
A047,T4,0.45062429057888764,72,144.22,6.009166666666666
A048,T1,0.8176691729323309,72,1.0,0.041666666666666664
A048,T2,0.5875875875875876,72,23.91,0.99625
A048,T3,0.6532567049808429,72,81.15,3.38125
A048,T4,0.45918367346938777,72,146.3,6.095833333333334
A049,T1,0.837696335078534,72,1.0,0.041666666666666664
A049,T2,0.7852882703777336,72,27.12,1.1300000000000001
A049,T3,0.8145315487571702,72,111.38,4.640833333333333
A049,T4,0.7083333333333334,72,168.86,7.035833333333334
A050,T1,0.7298969072164948,72,1.0,0.041666666666666664
A050,T2,0.6709511568123393,72,24.73,1.0304166666666668
A050,T3,0.8895463510848126,72,93.39,3.89125
A050,T4,0.7237237237237237,72,148.69,6.195416666666667
A051,T1,0.8442367601246106,72,1.0,0.041666666666666664
A051,T2,0.7379454926624738,72,17.16,0.715
A051,T3,0.7671111111111111,72,65.63,2.734583333333333
A051,T4,0.6192139737991267,72,146.99,6.124583333333334
A052,T1,0.7045244690674054,72,1.0,0.041666666666666664
A052,T2,0.7568331762488218,72,31.76,1.3233333333333335
A052,T3,0.6801470588235294,72,80.98,3.374166666666667
A052,T4,0.7196652719665272,72,153.27,6.38625
A053,T1,0.8235294117647058,72,1.0,0.041666666666666664
A053,T2,0.22029372496662217,72,32.71,1.3629166666666668
A053,T3,1.0,72,78.28,3.2616666666666667
A053,T4,0.7584541062801933,72,148.9,6.204166666666667
A054,T1,0.6021080368906456,72,1.0,0.041666666666666664
A054,T2,0.8201438848920863,72,16.9,0.7041666666666666
A054,T3,0.8065661047027507,72,72.83,3.0345833333333334
A054,T4,0.8605577689243028,72,136.83,5.701250000000001
A055,T1,0.7059360730593607,72,1.0,0.041666666666666664
A055,T2,0.6577114427860696,72,23.24,0.9683333333333333
A055,T3,0.7286432160804021,72,74.48,3.1033333333333335
A055,T4,0.8554216867469879,72,149.21,6.217083333333334
A056,T1,0.7666034155597723,72,1.0,0.041666666666666664
A056,T2,0.7404129793510325,72,33.61,1.4004166666666666
A056,T3,0.435847208619001,72,71.46,2.9774999999999996
A056,T4,0.6774193548387096,72,147.84,6.16
A057,T1,0.7760279965004374,72,1.0,0.041666666666666664
A057,T2,0.7420634920634921,72,24.78,1.0325
A057,T3,0.896414342629482,72,73.83,3.07625
A057,T4,0.8186666666666667,72,145.06,6.0441666666666665
A058,T1,0.7818181818181819,72,1.0,0.041666666666666664
A058,T2,0.7610389610389611,72,22.96,0.9566666666666667
A058,T3,0.8274428274428275,72,66.28,2.7616666666666667
A058,T4,0.9617224880382775,72,143.48,5.978333333333333
A059,T1,0.7827004219409283,72,1.0,0.041666666666666664
A059,T2,0.7208053691275168,72,30.4,1.2666666666666666
A059,T3,0.8013698630136986,72,79.78,3.3241666666666667
A059,T4,0.7718631178707225,72,151.93,6.330416666666667
A060,T1,0.6225234619395204,72,1.0,0.041666666666666664
A060,T2,0.6631578947368421,72,24.87,1.0362500000000001
A060,T3,0.5035897435897436,72,94.68,3.9450000000000003
A060,T4,0.6199524940617577,72,143.91,5.99625
A061,T1,0.43243243243243246,72,1.0,0.041666666666666664
A061,T2,0.7091906721536351,72,35.16,1.4649999999999999
A061,T3,0.8151750972762646,72,82.55,3.439583333333333
A061,T4,0.47440273037542663,72,146.56,6.1066666666666665
A062,T1,0.7816091954022989,72,1.0,0.041666666666666664
A062,T2,0.7675312199807877,72,44.69,1.8620833333333333
A062,T3,0.7419354838709677,72,92.72,3.8633333333333333
A062,T4,0.6563380281690141,72,149.18,6.215833333333333
A063,T1,0.9452054794520548,72,1.0,0.041666666666666664
A063,T2,0.732749178532311,72,21.98,0.9158333333333334
A063,T3,0.8309572301425662,72,69.99,2.91625
A063,T4,0.5308310991957105,72,141.09,5.87875
A064,T1,0.38823529411764707,72,1.0,0.041666666666666664
A064,T2,0.6817724068479355,72,37.65,1.5687499999999999
A064,T3,0.5517241379310345,72,82.99,3.4579166666666663
A064,T4,0.721618953603159,72,156.21,6.50875
A065,T1,0.4431057563587684,72,1.0,0.041666666666666664
A065,T2,0.4129692832764505,72,32.31,1.3462500000000002
A065,T3,0.20074349442379183,72,106.41,4.43375
A065,T4,0.13122171945701358,72,187.43,7.809583333333333
A066,T1,0.6112676056338028,72,1.0,0.041666666666666664
A066,T2,0.8819503849443969,72,23.35,0.9729166666666668
A066,T3,0.7253668763102725,72,73.79,3.0745833333333334
A066,T4,0.7110834371108343,72,164.93,6.872083333333333
A067,T1,0.6349809885931559,72,1.0,0.041666666666666664
A067,T2,0.7255434782608695,72,29.91,1.24625
A067,T3,0.6744913928012519,72,73.19,3.049583333333333
A067,T4,0.6715686274509803,72,144.19,6.007916666666667
A068,T1,0.7578027465667915,72,1.0,0.041666666666666664
A068,T2,0.707035755478662,72,30.49,1.2704166666666665
A068,T3,0.824381926683717,72,82.98,3.4575
A068,T4,0.43137254901960786,72,155.59,6.482916666666667
A069,T1,0.5412474849094567,72,1.0,0.041666666666666664
A069,T2,0.06080206985769728,72,24.96,1.04
A069,T3,0.7740863787375415,72,79.75,3.3229166666666665
A069,T4,-0.01278772378516624,72,140.22,5.8425
A070,T1,0.5211267605633803,72,1.0,0.041666666666666664
A070,T2,0.8100208768267223,72,24.25,1.0104166666666667
A070,T3,0.6500711237553343,72,81.92,3.4133333333333336
A070,T4,0.8659003831417624,72,149.2,6.216666666666666
A071,T1,0.8086606243705942,72,1.0,0.041666666666666664
A071,T2,0.8069565217391305,72,30.92,1.2883333333333333
A071,T3,0.5015075376884423,72,79.96,3.3316666666666666
A071,T4,0.8323586744639376,72,153.27,6.38625
A072,T1,0.8705882352941177,72,1.0,0.041666666666666664
A072,T2,0.5793025871766029,72,33.76,1.4066666666666665
A072,T3,0.6502415458937199,72,83.54,3.4808333333333334
A072,T4,0.4966634890371783,72,154.89,6.453749999999999
A073,T1,0.901213171577123,72,1.0,0.041666666666666664
A073,T2,0.4197292069632495,72,66.66,2.7775
A073,T3,0.7775590551181102,72,66.9,2.7875
A073,T4,0.5734406438631791,72,140.12,5.838333333333334
A074,T1,0.8741396263520157,72,1.0,0.041666666666666664
A074,T2,0.6229166666666667,72,29.33,1.2220833333333332
A074,T3,0.915068493150685,72,73.02,3.0425
A074,T4,0.7209821428571429,72,147.21,6.13375
A075,T1,0.9204946996466431,72,1.0,0.041666666666666664
A075,T2,0.8290105667627281,72,28.68,1.195
A075,T3,0.7230769230769231,72,71.37,2.9737500000000003
A075,T4,0.6813048933500627,72,244.53,10.18875
A076,T1,0.599601593625498,72,1.0,0.041666666666666664
A076,T2,0.48911798396334477,72,27.3,1.1375
A076,T3,0.5138888888888888,72,74.88,3.1199999999999997
A076,T4,0.39285714285714285,72,149.28,6.22
A077,T1,0.65625,72,1.0,0.041666666666666664
A077,T2,0.7666666666666667,72,53.88,2.245
A077,T3,0.6696878147029205,72,78.36,3.265
A077,T4,0.8009756097560976,72,149.75,6.239583333333333
A078,T1,0.8648111332007953,72,1.0,0.041666666666666664
A078,T2,0.5404814004376368,72,26.17,1.0904166666666668
A078,T3,0.7209302325581395,72,72.3,3.0124999999999997
A078,T4,0.525965379494008,72,140.08,5.836666666666667
A079,T1,0.5637450199203188,72,1.0,0.041666666666666664
A079,T2,0.5621890547263682,72,26.11,1.0879166666666666
A079,T3,0.5580678314491264,72,74.0,3.0833333333333335
